code,description,amount,page,section
3640,Total liabilities and shareholder equity . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . =,"31,578",12,schedule_100
1001,. . . . Cash . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"26,292",12,schedule_100
1121,. . . . Inventory . . . . . . . . of . . goods . . . . . for . . . sale . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"2,847",12,schedule_100
1484,. . . . Prepaid . . . . . . . expenses . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,649,12,schedule_100
1599,. . . . Total . . . . current . . . . . . assets . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"29,788",12,schedule_100
1740,". . . . Machinery, . . . . . . . . . equipment, . . . . . . . . . . furniture . . . . . . . and . . . fixtures . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +","2,298",12,schedule_100
1741,. . . . Accum . . . . . . amort . . . . . - . machinery/equip/furn/fixtures . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,-508,12,schedule_100
2008,. . . . Total . . . . tangible . . . . . . . capital . . . . . . assets . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"2,298",12,schedule_100
2009,. . . . Total . . . . accum . . . . . . amort . . . . . of . . tangible . . . . . . . capital . . . . . . assets . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,-508,12,schedule_100
2599,. . . . Total . . . . assets . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . + =,"31,578",12,schedule_100
2620,. . . . Amounts . . . . . . . payable . . . . . . . and . . . . accrued . . . . . . . liabilities . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"2,687",12,schedule_100
2680,. . . . Taxes . . . . . payable . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"6,757",12,schedule_100
2781,. . . . Due . . . . to . . individual . . . . . . . . shareholder(s) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"3,578",12,schedule_100
3139,. . . . Total . . . . current . . . . . . liabilities . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"13,022",12,schedule_100
3499,. . . . Total . . . . liabilities . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . + =,"13,022",12,schedule_100
3500,. . . . Common . . . . . . . . shares . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,100,12,schedule_100
3600,. . . . Retained . . . . . . . . earnings . . . . . . . / . deficit . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"18,456",12,schedule_100
3620,. . . . Total . . . . shareholder . . . . . . . . . . equity . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . + =,"18,556",12,schedule_100
3680,. . . . Net . . . income . . . . . . . / . loss . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"18,456",12,schedule_100
3849,. . . . Retained . . . . . . . . earnings . . . . . . . / . deficit . . . . . - . end . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . + =,"18,456",12,schedule_100
