code,description,amount,page,section
3640,Total liabilities and shareholder equity . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . =,"62,031",12,schedule_100
1001,. . . . Cash . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"12,472",12,schedule_100
1121,. . . . Inventory . . . . . . . . of . . goods . . . . . for . . . sale . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"10,015",12,schedule_100
1301,. . . . Due . . . . from . . . . individual . . . . . . . . shareholder(s) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"2,000",12,schedule_100
1484,. . . . Prepaid . . . . . . . expenses . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"1,490",12,schedule_100
1599,. . . . Total . . . . current . . . . . . assets . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"25,977",12,schedule_100
2599,. . . . Total . . . . assets . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . + =,"25,977",12,schedule_100
2620,. . . . Amounts . . . . . . . payable . . . . . . . and . . . . accrued . . . . . . . liabilities . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"10,013",12,schedule_100
2680,. . . . Taxes . . . . . payable . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"2,663",12,schedule_100
2781,. . . . Due . . . . to . . individual . . . . . . . . shareholder(s) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"5,097",12,schedule_100
3139,. . . . Total . . . . current . . . . . . liabilities . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"17,773",12,schedule_100
3499,. . . . Total . . . . liabilities . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . + =,"17,773",12,schedule_100
3500,. . . . Common . . . . . . . . shares . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,100,12,schedule_100
3600,. . . . Retained . . . . . . . . earnings . . . . . . . / . deficit . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"44,158",12,schedule_100
3620,. . . . Total . . . . shareholder . . . . . . . . . . equity . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . + =,"44,258",12,schedule_100
3660,. . . . Retained . . . . . . . . earnings . . . . . . . / . deficit . . . . . - . start . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"8,104",12,schedule_100
3680,. . . . Net . . . income . . . . . . . / . loss . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,"36,054",12,schedule_100
3849,. . . . Retained . . . . . . . . earnings . . . . . . . / . deficit . . . . . - . end . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . + =,"44,158",12,schedule_100
