bank_txn_id,bank_date,wave_bill_id,allocated_cents,allocated_amount,method
1608,2023-10-20,14,3319,33.19,FIFO_LOOKBACK_240D
1608,2023-10-20,20,4370,43.70,FIFO_LOOKBACK_240D
1608,2023-10-20,28,2451,24.51,FIFO_LOOKBACK_240D
1577,2023-10-23,47,10740,107.40,FIFO_LOOKBACK_240D
1577,2023-10-23,51,5876,58.76,FIFO_LOOKBACK_240D
1577,2023-10-23,52,7684,76.84,FIFO_LOOKBACK_240D
1577,2023-10-23,77,2996,29.96,FIFO_LOOKBACK_240D
1581,2023-10-23,58,8437,84.37,FIFO_LOOKBACK_240D
1581,2023-10-23,97,5216,52.16,FIFO_LOOKBACK_240D
1557,2023-10-25,103,2753,27.53,FIFO_LOOKBACK_240D
1554,2023-10-27,102,1432,14.32,FIFO_LOOKBACK_240D
1517,2023-11-08,120,11092,110.92,FIFO_LOOKBACK_240D
1517,2023-11-08,119,7601,76.01,FIFO_LOOKBACK_240D
1517,2023-11-08,118,18539,185.39,FIFO_LOOKBACK_240D
1474,2023-12-01,133,14249,142.49,FIFO_LOOKBACK_240D
1370,2024-01-22,173,5449,54.49,FIFO_LOOKBACK_240D
1370,2024-01-22,170,4823,48.23,FIFO_LOOKBACK_240D
1337,2024-02-01,158,31240,312.40,FIFO_LOOKBACK_240D
1337,2024-02-01,186,5352,53.52,FIFO_LOOKBACK_240D
1144,2024-04-16,295,2988,29.88,FIFO_LOOKBACK_240D
1144,2024-04-16,292,9492,94.92,FIFO_LOOKBACK_240D
1147,2024-04-16,294,15260,152.60,FIFO_LOOKBACK_240D
1127,2024-04-23,300,4137,41.37,FIFO_LOOKBACK_240D
1102,2024-05-21,309,2008,20.08,FIFO_LOOKBACK_240D
1096,2024-05-28,271,23656,236.56,FIFO_LOOKBACK_240D
1067,2024-08-19,302,22259,222.59,FIFO_LOOKBACK_240D
576,2025-02-10,594,2101,21.01,FIFO_LOOKBACK_240D
577,2025-02-10,608,2625,26.25,FIFO_LOOKBACK_240D
516,2025-02-27,621,12986,129.86,FIFO_LOOKBACK_240D
516,2025-02-27,620,19324,193.24,FIFO_LOOKBACK_240D
516,2025-02-27,623,4927,49.27,FIFO_LOOKBACK_240D
516,2025-02-27,633,1561,15.61,FIFO_LOOKBACK_240D
459,2025-03-17,644,2760,27.60,FIFO_LOOKBACK_240D
462,2025-03-17,643,6617,66.17,FIFO_LOOKBACK_240D
462,2025-03-17,641,4495,44.95,FIFO_LOOKBACK_240D
462,2025-03-17,655,5108,51.08,FIFO_LOOKBACK_240D
393,2025-04-11,665,11658,116.58,FIFO_LOOKBACK_240D
394,2025-04-11,673,9302,93.02,FIFO_LOOKBACK_240D
395,2025-04-11,681,7226,72.26,FIFO_LOOKBACK_240D
396,2025-04-11,683,6855,68.55,FIFO_LOOKBACK_240D
354,2025-05-05,690,2783,27.83,FIFO_LOOKBACK_240D
350,2025-05-13,689,33391,333.91,FIFO_LOOKBACK_240D
1603,2023-10-20,41,9254,92.54,FIFO_LOOKBACK_240D
1318,2024-02-12,190,4001,40.01,FIFO_LOOKBACK_240D
1292,2024-02-22,189,187393,1873.93,FIFO_LOOKBACK_240D
1219,2024-03-14,244,80755,807.55,FIFO_LOOKBACK_240D
995,2024-09-27,231,166598,1665.98,FIFO_LOOKBACK_240D
771,2024-12-03,492,21846,218.46,FIFO_LOOKBACK_240D
771,2024-12-03,488,2466,24.66,FIFO_LOOKBACK_240D
774,2024-12-03,494,2476,24.76,FIFO_LOOKBACK_240D
753,2024-12-09,515,7579,75.79,FIFO_LOOKBACK_240D
753,2024-12-09,508,6000,60.00,FIFO_LOOKBACK_240D
468,2025-03-17,634,4766,47.66,FIFO_LOOKBACK_240D
