month,card_key,bank_cents,bank_amount,bill_cents,bill_amount,gap_cents,gap_amount,candidate_count,candidate_cc_txn_ids
2023-10,154,736900,7369.00,541557,5415.57,195343,1953.43,2,"4096,4114"
2023-10,318,187238,1872.38,174198,1741.98,13040,130.40,2,"1517,1561"
2023-11,318,371269,3712.69,345280,3452.80,25989,259.89,4,"1433,1437,1481,1484"
2023-12,154,471708,4717.08,269282,2692.82,202426,2024.26,1,3974
2023-12,318,103385,1033.85,3608,36.08,99777,997.77,2,"1407,1408"
2024-01,154,532043,5320.43,520725,5207.25,11318,113.18,4,"3893,3895,3909,3911"
2024-01,318,166753,1667.53,132788,1327.88,33965,339.65,2,"1313,1361"
2024-02,154,617791,6177.91,613790,6137.90,4001,40.01,3,"3831,3848,3854"
2024-02,318,280839,2808.39,222652,2226.52,58187,581.87,1,1260
2024-05,154,103394,1033.94,95308,953.08,8086,80.86,4,"3685,3689,3696,3705"
2024-05,318,110329,1103.29,41390,413.90,68939,689.39,4,"1030,1052,1065,1066"
2024-09,154,593354,5933.54,554052,5540.52,39302,393.02,3,"3495,3496,3497"
2024-09,318,7097,70.97,3044,30.44,4053,40.53,0,
2024-11,154,583384,5833.84,459833,4598.33,123551,1235.51,4,"3325,3339,3340,3358"
2024-11,318,170148,1701.48,156800,1568.00,13348,133.48,2,"737,772"
2024-12,154,531715,5317.15,368037,3680.37,163678,1636.78,5,"3241,3282,3283,3307,3308"
2024-12,318,78384,783.84,68884,688.84,9500,95.00,3,"691,692,695"
2025-01,154,513492,5134.92,466980,4669.80,46512,465.12,0,
2025-01,318,216395,2163.95,189536,1895.36,26859,268.59,5,"622,628,631,671,682"
2025-04,318,135218,1352.18,68953,689.53,66265,662.65,1,441
2025-05,318,61046,610.46,9486,94.86,51560,515.60,0,
