GIFI_Code,Description,Amount
1001,Cash,26292
1121,Inventory of goods for sale,2847
1484,Prepaid expenses,649
2599,Total assets,29788
2781,Due to individual shareholder(s),3578
2680,Taxes payable,6767
2620,Amounts payable and accrued liabilities,2687
3499,Total liabilities,13032
3500,Common shares,100
3600,Retained earnings / deficit,16656
3620,Total shareholder equity,16756
3640,Total liabilities and shareholder equity,29788
8000,Trade sales of goods and services,181235
8299,Total revenue,181235
8518,Cost of sales,109279
8519,Gross profit / loss,71956
8520,Advertising and promotion,1606
8523,Meals and entertainment,518
8622,Employers portion of employee benefits,1463
8690,Insurance,1851
8710,Interest and bank charges,2218
8810,Office expenses,3020
8813,Data processing,1135
8860,Professional fees,879
8911,Real estate rental,8235
8960,Repairs and maintenance,458
9060,Salaries and wages,23485
9130,Supplies,5561
9131,Small tools,23
9270,Other expenses,346
9275,"Delivery, freight and express",100
9281,Vehicle expenses,4403
9367,Total operating expenses,55301
9368,Total expenses,164580
9999,Net income / loss after taxes/extraord item,16655
3660,Retained earnings / deficit - start,0
3680,Net income / loss,16655
3740,Other items affecting retained earnings (rounding),1
3849,Retained earnings / deficit - end,16656
