wave_bill_id,entry_date,bill_total,bill_total_cents,settlement_amount,settlement_amount_cents,match_type,bank_txn_id,cc_txn_id,shareholder_code,shareholder_basis,journal_entry_id
3,2023-06-08,21.08,2108,21.08,2108,CC_PURCHASE,,1865,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_3
9,2023-06-19,5.74,574,5.74,574,CC_PURCHASE,,1846,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_9
10,2023-07-06,794.88,79488,794.88,79488,CC_PURCHASE,,1806,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_10
12,2023-10-25,38.19,3819,38.19,3819,CC_PAYMENT_TRANSFER,1557,,2410,cc_payment_links,WAVE_BILL_CC_SETTLE_12
14,2023-07-10,33.19,3319,33.19,3319,CC_PURCHASE,,1793,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_14
15,2023-07-24,994.88,99488,994.88,99488,CC_PURCHASE,,4153,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_15
17,2023-08-01,26.44,2644,26.44,2644,CC_PURCHASE,,1764,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_17
20,2023-08-10,43.70,4370,43.70,4370,CC_PURCHASE,,1737,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_20
21,2023-08-14,8.59,859,8.59,859,CC_PURCHASE,,1734,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_21
22,2023-11-01,8.59,859,8.59,859,CC_PAYMENT_TRANSFER,1538,,2410,cc_payment_links,WAVE_BILL_CC_SETTLE_22
23,2023-08-14,582.38,58238,582.38,58238,CC_PURCHASE,,4152,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_23
26,2023-08-14,643.68,64368,643.68,64368,CC_PURCHASE,,1730,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_26
27,2023-08-14,21.69,2169,21.69,2169,CC_PURCHASE,,1728,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_27
