schedule,code,description,attempt_val,packet_val,match,notes
100,1001,Cash,12472,12472,YES,
100,1121,Inventory of goods for sale,10015,10015,YES,
100,1301,Due from individual shareholder(s),2000,2000,YES,
100,1484,Prepaid expenses,1490,1490,YES,
100,2599,Total assets,25977,25977,YES,
100,2620,Amounts payable and accrued liabilities,10013,10013,YES,
100,2680,Taxes payable,2663,2663,YES,
100,2781,Due to individual shareholder(s),5097,5097,YES,
100,3499,Total liabilities,17773,17773,YES,
100,3500,Common shares,100,100,YES,
100,3600,Retained earnings/deficit,8104,8104,YES,
100,3620,Total shareholder equity,8204,8204,YES,
100,3640,Total liabilities and shareholder equity,25977,25977,YES,Balance sheet balances
125,8000,Trade sales of goods and services,230907,230907,YES,
125,8299,Total revenue,230907,230907,YES,
125,8518,Cost of sales,110284,110284,YES,
125,8519,Gross profit/loss,120623,120623,YES,
125,8520,Advertising and promotion,798,798,YES,
125,8523,Meals and entertainment,408,408,YES,
125,8622,Employer's portion of employee benefits,3610,3610,YES,
125,8690,Insurance,1951,1951,YES,
125,8710,Interest and bank charges,6694,6694,YES,Includes 5300+6210+6000+8100
125,8810,Office expenses,3903,3903,YES,
125,8813,Data processing,1878,1878,YES,
125,8860,Professional fees,353,353,YES,
125,8911,Real estate rental,7137,7137,YES,
125,8960,Repairs and maintenance,603,603,YES,
125,9060,Salaries and wages,54899,54899,YES,
125,9130,Supplies,4629,4629,YES,
125,9131,Small tools,479,479,YES,
125,9225,Telephone and telecommunications,465,465,YES,
125,9270,Other expenses,293,293,YES,
125,9275,Delivery freight and express,136,136,YES,
125,9281,Vehicle expenses,4038,4038,YES,
125,9367,Total operating expenses,92274,92274,YES,
125,9368,Total expenses,202558,202558,YES,
125,9999,Net income/loss after taxes,28349,28349,YES,
