field,attempt_value,project_expected_value,delta,likely_cause,label,notes
0002,3,,,Entry/mechanics (extra line / classification),Description of the operation,
1001,12472,12472,0,OK,Cash,
1120,,,,OK,,
1121,10015,10015,0,OK,Inventory of goods for sale,
1301,2000,2000,0,OK,Due from individual shareholder(s),
1480,,,,OK,,
1484,1490,1490,0,OK,Prepaid expenses,
1599,25977,,,Entry/mechanics (extra line / classification),. . . . Total . . . . current . . . . . . assets . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,
2599,25977,25977,0,OK,Total assets,"Difference to (3499+3620) equals 36,054"
2620,10013,10013,0,OK,Amounts payable and accrued liabilities,
2680,2663,2663,0,OK,"Taxes payable (GST/HST, etc.)",
2780,,,,OK,,
2781,5097,5097,0,OK,Due to individual shareholder(s),
3139,17773,,,Entry/mechanics (extra line / classification),. . . . Total . . . . current . . . . . . liabilities . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,
3499,17773,17773,0,OK,Total liabilities,
3500,100,100,0,OK,Common shares,
3600,44158,8104,36054,Entry/mechanics (retained earnings linkage),Retained earnings/deficit,
3620,44258,8204,36054,Entry/mechanics (retained earnings linkage),Total shareholder equity,
3640,62031,25977,36054,Entry/mechanics (retained earnings linkage),Total liabilities and shareholder equity,
3660,8104,16656,-8552,Entry/mechanics (retained earnings linkage),Retained earnings/deficit - Start,
3680,36054,28349,7705,Entry/mechanics (retained earnings linkage),Net income/loss,
3700,,36900,,Entry/mechanics (missing dividends),Dividends declared,Project expects dividends declared; blank on attempt
3740,,-1,,Entry/mechanics or missing entry,Other items affecting retained earnings (rounding),
3849,44158,8104,36054,Entry/mechanics (retained earnings linkage),Retained earnings/deficit - End,
8000,230907,230907,0,OK,Trade sales of goods and services,
8089,230907,,,Entry/mechanics (extra line / classification),. . . . Total . . . . sales . . . . . of . . goods . . . . . and . . . . services . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,
8299,230907,230907,0,OK,Total revenue,
8300,2847,,,Entry/mechanics (extra line / classification),. . . . Opening . . . . . . . inventory . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,
8320,112866,,,Entry/mechanics (extra line / classification),. . . . Purchases . . . . . . . . . / . cost . . . . of . . materials . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,
8500,-10015,,,Entry/mechanics (extra line / classification),. . . . Closing . . . . . . inventory . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,
8518,105698,105698,0,OK,Cost of sales,
8519,125209,125209,0,OK,Gross profit/loss,
8520,798,798,0,OK,Advertising and promotion,
8523,408,408,0,OK,Meals and entertainment,
8622,3610,3610,0,OK,Employer's portion of employee benefits,
8690,1951,1951,0,OK,Insurance,
8710,6694,6694,0,OK,Interest and bank charges,
8810,3903,3903,0,OK,Office expenses,
8813,1878,1878,0,OK,Data processing,
8860,353,353,0,OK,Professional fees,
8911,7137,7137,0,OK,Real estate rental,
8960,981,981,0,OK,Repairs and maintenance,
9060,54899,54899,0,OK,Salaries and wages,
9130,5348,5348,0,OK,Supplies,
9131,479,479,0,OK,Small tools,
9220,465,,,Entry/mechanics (extra line / classification),. . . . Utilities . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,Present on attempt; not in project packet for FY2025
9225,465,465,0,OK,Telephone and telecommunications,
9270,3782,3782,0,OK,Other expenses,
9275,136,136,0,OK,"Delivery, freight and express",
9281,4038,4038,0,OK,Vehicle expenses,
9367,89155,96860,-7705,Entry/mechanics (total vs detail mismatch),Total operating expenses,"Diagnostics shows internal subtotal 97,325; 9367=89,155"
9368,194853,202558,-7705,Entry/mechanics (total vs detail mismatch),Total expenses,
9369,36054,,,Entry/mechanics (driven by 9367 mismatch),Net non-farming income . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . +,
9970,36054,,,Entry/mechanics (driven by 9367 mismatch),Net income/loss before taxes and extraordinary items . . . . . . . . . . . . . . . . . . . . . . . . . . . . =,
9999,36054,28349,7705,Entry/mechanics (driven by 9367 mismatch),Net income/loss after taxes,
