fy,vendor_key,wave_bill_id,source_row,invoice_date,vendor_raw,invoice_number,net_amount,tax_amount,account_code,amount,method,profile_id
FY2024,COSTCO,15,16,2023-07-23,Costco - Bill 22134501302122307231334,22134501302122307231334,875.67,119.21,2210,119.21,TAX_ITC,
FY2024,COSTCO,15,16,2023-07-23,Costco - Bill 22134501302122307231334,22134501302122307231334,875.67,119.21,5002,16.85,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,15,16,2023-07-23,Costco - Bill 22134501302122307231334,22134501302122307231334,875.67,119.21,5004,198.97,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,15,16,2023-07-23,Costco - Bill 22134501302122307231334,22134501302122307231334,875.67,119.21,5005,14.22,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,15,16,2023-07-23,Costco - Bill 22134501302122307231334,22134501302122307231334,875.67,119.21,5007,9.38,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,15,16,2023-07-23,Costco - Bill 22134501302122307231334,22134501302122307231334,875.67,119.21,5013,22.20,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,15,16,2023-07-23,Costco - Bill 22134501302122307231334,22134501302122307231334,875.67,119.21,5014,14.93,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,15,16,2023-07-23,Costco - Bill 22134501302122307231334,22134501302122307231334,875.67,119.21,5016,13.93,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,15,16,2023-07-23,Costco - Bill 22134501302122307231334,22134501302122307231334,875.67,119.21,5021,11.37,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,15,16,2023-07-23,Costco - Bill 22134501302122307231334,22134501302122307231334,875.67,119.21,5031,1.85,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,15,16,2023-07-23,Costco - Bill 22134501302122307231334,22134501302122307231334,875.67,119.21,5032,218.62,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,15,16,2023-07-23,Costco - Bill 22134501302122307231334,22134501302122307231334,875.67,119.21,5033,4.55,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,15,16,2023-07-23,Costco - Bill 22134501302122307231334,22134501302122307231334,875.67,119.21,5034,204.71,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,15,16,2023-07-23,Costco - Bill 22134501302122307231334,22134501302122307231334,875.67,119.21,5035,11.94,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,15,16,2023-07-23,Costco - Bill 22134501302122307231334,22134501302122307231334,875.67,119.21,5039,11.23,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,15,16,2023-07-23,Costco - Bill 22134501302122307231334,22134501302122307231334,875.67,119.21,5099,88.84,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,15,16,2023-07-23,Costco - Bill 22134501302122307231334,22134501302122307231334,875.67,119.21,5100,22.75,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,15,16,2023-07-23,Costco - Bill 22134501302122307231334,22134501302122307231334,875.67,119.21,5205,7.11,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,15,16,2023-07-23,Costco - Bill 22134501302122307231334,22134501302122307231334,875.67,119.21,9000,2.22,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,23,24,2023-08-11,Costco - Bill 22134501201752308111243,22134501201752308111243,526.08,56.30,2210,56.30,TAX_ITC,
FY2024,COSTCO,23,24,2023-08-11,Costco - Bill 22134501201752308111243,22134501201752308111243,526.08,56.30,5002,10.12,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,23,24,2023-08-11,Costco - Bill 22134501201752308111243,22134501201752308111243,526.08,56.30,5004,119.54,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,23,24,2023-08-11,Costco - Bill 22134501201752308111243,22134501201752308111243,526.08,56.30,5005,8.54,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,23,24,2023-08-11,Costco - Bill 22134501201752308111243,22134501201752308111243,526.08,56.30,5007,5.64,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,23,24,2023-08-11,Costco - Bill 22134501201752308111243,22134501201752308111243,526.08,56.30,5013,13.34,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,23,24,2023-08-11,Costco - Bill 22134501201752308111243,22134501201752308111243,526.08,56.30,5014,8.97,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,23,24,2023-08-11,Costco - Bill 22134501201752308111243,22134501201752308111243,526.08,56.30,5016,8.37,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,23,24,2023-08-11,Costco - Bill 22134501201752308111243,22134501201752308111243,526.08,56.30,5021,6.83,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,23,24,2023-08-11,Costco - Bill 22134501201752308111243,22134501201752308111243,526.08,56.30,5031,1.11,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,23,24,2023-08-11,Costco - Bill 22134501201752308111243,22134501201752308111243,526.08,56.30,5032,131.34,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,23,24,2023-08-11,Costco - Bill 22134501201752308111243,22134501201752308111243,526.08,56.30,5033,2.73,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,23,24,2023-08-11,Costco - Bill 22134501201752308111243,22134501201752308111243,526.08,56.30,5034,122.99,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,23,24,2023-08-11,Costco - Bill 22134501201752308111243,22134501201752308111243,526.08,56.30,5035,7.17,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,23,24,2023-08-11,Costco - Bill 22134501201752308111243,22134501201752308111243,526.08,56.30,5039,6.75,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,23,24,2023-08-11,Costco - Bill 22134501201752308111243,22134501201752308111243,526.08,56.30,5099,53.37,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,23,24,2023-08-11,Costco - Bill 22134501201752308111243,22134501201752308111243,526.08,56.30,5100,13.67,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,23,24,2023-08-11,Costco - Bill 22134501201752308111243,22134501201752308111243,526.08,56.30,5205,4.27,VENDOR_PROFILE_ESTIMATE,36
FY2024,COSTCO,23,24,2023-08-11,Costco - Bill 22134501201752308111243,22134501201752308111243,526.08,56.30,9000,1.33,VENDOR_PROFILE_ESTIMATE,36
