wave_bill_id,invoice_date,vendor,invoice_number,bill_total_cents,allocation_total_cents,ap_line_cents,journal_entry_id,status
15,2023-07-23,Costco - Bill 22134501302122307231334,22134501302122307231334,99488,99488,99488,WAVE_BILL_ACCRUAL_15,posted
23,2023-08-11,Costco - Bill 22134501201752308111243,22134501201752308111243,58238,58238,58238,WAVE_BILL_ACCRUAL_23,posted
29,2023-08-21,Costco - Bill 22134501000312308211156,22134501000312308211156,112951,112951,112951,WAVE_BILL_ACCRUAL_29,posted
41,2023-09-07,Costco - Bill,,9254,9254,9254,WAVE_BILL_ACCRUAL_41,posted
45,2023-09-08,Costco - Bill 22134501101702309081257,22134501101702309081257,152352,152352,152352,WAVE_BILL_ACCRUAL_45,posted
61,2023-09-21,Costco - Bill 22134501302212309211505,22134501302212309211505,234693,234693,234693,WAVE_BILL_ACCRUAL_61,posted
71,2023-09-27,Costco - Bill 22134501202012309271442,22134501202012309271442,121536,121536,121536,WAVE_BILL_ACCRUAL_71,posted
80,2023-10-06,Costco - Bill 22055101203462310061725,22055101203462310061725,85132,85132,85132,WAVE_BILL_ACCRUAL_80,posted
99,2023-10-21,Costco - Bill,,6254,6254,6254,WAVE_BILL_ACCRUAL_99,posted
100,2023-10-21,Costco - Bill 22134501402602310211624,22134501402602310211624,137182,137182,137182,WAVE_BILL_ACCRUAL_100,posted
108,2023-10-27,Costco - Bill 22134501301362310271311,22134501301362310271311,197798,197798,197798,WAVE_BILL_ACCRUAL_108,posted
113,2023-11-02,Costco - Bill 22134500804842311022002,22134500804842311022002,136617,136617,136617,WAVE_BILL_ACCRUAL_113,posted
114,2023-11-02,Costco - Bill 22134519400272311021858,22134519400272311021858,13800,13800,13800,WAVE_BILL_ACCRUAL_114,posted
124,2023-11-10,Costco - Bill 22134501203702311101654,22134501203702311101654,165922,165922,165922,WAVE_BILL_ACCRUAL_124,posted
128,2023-11-17,Costco - Bill 22134500703462311171643,22134500703462311171643,212938,212938,212938,WAVE_BILL_ACCRUAL_128,posted
130,2023-11-17,Costco - Bill,,10230,10230,10230,WAVE_BILL_ACCRUAL_130,posted
138,2023-12-03,Costco - Bill 22134500801272312031227,22134500801272312031227,119488,119488,119488,WAVE_BILL_ACCRUAL_138,posted
143,2023-12-08,Costco - Bill 22134500703182312081530,22134500703182312081530,121236,121236,121236,WAVE_BILL_ACCRUAL_143,posted
161,2024-01-06,Costco - Bill,,199638,199638,199638,WAVE_BILL_ACCRUAL_161,posted
172,2024-01-19,Costco - Bill 22134500602282401191441,22134500602282401191441,152197,152197,152197,WAVE_BILL_ACCRUAL_172,posted
179,2024-01-24,Costco - Bill,,148980,148980,148980,WAVE_BILL_ACCRUAL_179,posted
189,2024-02-01,Costco - Bill,,187393,187393,187393,WAVE_BILL_ACCRUAL_189,posted
210,2024-02-15,Costco - Bill,,224931,224931,224931,WAVE_BILL_ACCRUAL_210,posted
231,2024-02-27,Costco - Bill,,166598,166598,166598,WAVE_BILL_ACCRUAL_231,posted
237,2024-03-03,Costco - Bill,,80499,80499,80499,WAVE_BILL_ACCRUAL_237,posted
240,2024-03-05,Costco - Bill,,29889,29889,29889,WAVE_BILL_ACCRUAL_240,posted
242,2024-03-05,Costco - Bill,,123876,123876,123876,WAVE_BILL_ACCRUAL_242,posted
712,2024-03-06,Costco - Receipt,COSTCO-RECEIPT-20240306,15072,15072,15072,WAVE_BILL_ACCRUAL_712,posted
255,2024-03-13,Costco - Bill,,161259,161259,161259,WAVE_BILL_ACCRUAL_255,posted
256,2024-03-13,Costco - Bill,,63249,63249,63249,WAVE_BILL_ACCRUAL_256,posted
268,2024-03-21,Costco - Bill,,132574,132574,132574,WAVE_BILL_ACCRUAL_268,posted
279,2024-04-03,Costco - Bill,,125173,125173,125173,WAVE_BILL_ACCRUAL_279,posted
280,2024-04-03,Costco - Bill,,81189,81189,81189,WAVE_BILL_ACCRUAL_280,posted
289,2024-04-10,Costco - Bill,,66747,66747,66747,WAVE_BILL_ACCRUAL_289,posted
290,2024-04-10,Costco - Bill,,2743,2743,2743,WAVE_BILL_ACCRUAL_290,posted
311,2024-05-08,Costco - Bill,,85830,85830,85830,WAVE_BILL_ACCRUAL_311,posted
333,2024-08-18,Costco - Bill,,118554,118554,118554,WAVE_BILL_ACCRUAL_333,posted
340,2024-08-28,Costco - Bill,,139042,139042,139042,WAVE_BILL_ACCRUAL_340,posted
354,2024-09-05,Costco - Bill,,92534,92534,92534,WAVE_BILL_ACCRUAL_354,posted
373,2024-09-18,Costco - Bill,,174220,174220,174220,WAVE_BILL_ACCRUAL_373,posted
387,2024-09-25,Costco - Bill,,178197,178197,178197,WAVE_BILL_ACCRUAL_387,posted
408,2024-10-05,Costco - Bill,,208323,208323,208323,WAVE_BILL_ACCRUAL_408,posted
425,2024-10-16,Costco - Bill,,50456,50456,50456,WAVE_BILL_ACCRUAL_425,posted
426,2024-10-16,Costco - Bill,,186909,186909,186909,WAVE_BILL_ACCRUAL_426,posted
436,2024-10-23,Costco - Bill,,147283,147283,147283,WAVE_BILL_ACCRUAL_436,posted
437,2024-10-23,Costco - Bill,,132347,132347,132347,WAVE_BILL_ACCRUAL_437,posted
451,2024-10-28,Costco - Bill,,47932,47932,47932,WAVE_BILL_ACCRUAL_451,posted
454,2024-10-30,Costco - Bill,,167289,167289,167289,WAVE_BILL_ACCRUAL_454,posted
477,2024-11-13,Costco - Bill,,178776,178776,178776,WAVE_BILL_ACCRUAL_477,posted
482,2024-11-18,Costco - Bill,,25176,25176,25176,WAVE_BILL_ACCRUAL_482,posted
486,2024-11-22,Costco - Bill,,65474,65474,65474,WAVE_BILL_ACCRUAL_486,posted
488,2024-11-22,Costco - Bill,,2466,2466,2466,WAVE_BILL_ACCRUAL_488,posted
495,2024-11-24,Costco - Bill,,11695,11695,11695,WAVE_BILL_ACCRUAL_495,posted
499,2024-11-29,Costco - Bill,,36859,36859,36859,WAVE_BILL_ACCRUAL_499,posted
512,2024-12-04,Costco - Bill,,81221,81221,81221,WAVE_BILL_ACCRUAL_512,posted
532,2024-12-13,Costco - Bill,,215203,215203,215203,WAVE_BILL_ACCRUAL_532,posted
536,2024-12-17,Costco - Bill,,33091,33091,33091,WAVE_BILL_ACCRUAL_536,posted
779,2024-12-20,Costco - Bill (Manual),COSTCO-MANUAL-2024-12-20,40000,40000,40000,WAVE_BILL_ACCRUAL_779,posted
558,2025-01-09,Costco - Bill,,241547,241547,241547,WAVE_BILL_ACCRUAL_558,posted
575,2025-01-17,Costco - Bill,,56601,56601,56601,WAVE_BILL_ACCRUAL_575,posted
577,2025-01-17,Costco - Bill,,12189,12189,12189,WAVE_BILL_ACCRUAL_577,posted
603,2025-02-05,Costco - Bill,,231434,231434,231434,WAVE_BILL_ACCRUAL_603,posted
613,2025-02-12,Costco - Bill,,439125,439125,439125,WAVE_BILL_ACCRUAL_613,posted
629,2025-02-25,Costco - Bill,,195820,195820,195820,WAVE_BILL_ACCRUAL_629,posted
647,2025-03-09,Costco - Bill,,186991,186991,186991,WAVE_BILL_ACCRUAL_647,posted
664,2025-03-19,Costco - Bill,,253183,253183,253183,WAVE_BILL_ACCRUAL_664,posted
