account_code,account_name,account_type,parent_code,gifi_code,t2125_line,is_active,requires_receipt,is_tax_account,created_at,updated_at
1000,Business Bank - CIBC Chequing,asset,"",1001,"",true,false,false,2025-11-12 01:23:03.593031,2025-12-02 07:55:36.301051
1010,Business Bank - Savings,asset,"",1060,"",true,false,false,2025-12-02 07:55:36.301051,2025-12-02 07:55:36.301051
1050,Shopify Payments - Clearing,asset,"",1001,"",true,false,false,2025-12-02 07:55:36.301051,2025-12-02 07:55:36.301051
1060,External Terminal - Clearing,asset,"",1001,"",true,false,false,2025-12-02 07:55:36.301051,2025-12-02 07:55:36.301051
1070,Cash on Hand,asset,"",1001,"",true,false,false,2025-12-02 07:55:36.301051,2025-12-02 07:55:36.301051
1080,Gift Card Clearing,asset,"",1001,"",true,false,false,2025-12-02 07:55:36.301051,2025-12-02 07:55:36.301051
1100,Accounts Receivable,asset,"",1200,"",true,false,false,2025-11-21 13:45:53.438153,2025-12-02 07:55:36.301051
1180,Due from Other Entity,asset,"",1080,"",true,false,false,2025-12-02 07:55:36.301051,2025-12-02 07:55:36.301051
1200,Inventory - Food,asset,"",1420,"",true,false,false,2025-12-02 07:55:36.301051,2025-12-02 07:55:36.301051
1210,Inventory - Beverage,asset,"",1420,"",true,false,false,2025-12-02 07:55:36.301051,2025-12-02 07:55:36.301051
1220,Inventory - Supplements,asset,"",1420,"",true,false,false,2025-12-02 07:55:36.301051,2025-12-02 07:55:36.301051
1230,Inventory - Retail Goods,asset,"",1420,"",true,false,false,2025-12-02 07:55:36.301051,2025-12-02 07:55:36.301051
1300,Prepaid Expenses,asset,"",1510,"",true,false,false,2025-12-02 07:55:36.301051,2025-12-02 07:55:36.301051
1400,Security Deposits,asset,"",1540,"",true,false,false,2025-12-02 07:55:36.301051,2025-12-02 07:55:36.301051
1500,Equipment & Fixtures,asset,"",1620,"",true,false,false,2025-12-02 07:55:36.301051,2025-12-02 07:55:36.301051
1510,Accumulated Depreciation - Equipment,asset,1500,1625,"",true,false,false,2025-12-02 07:55:36.301051,2025-12-02 07:55:36.301051
1600,Leasehold Improvements,asset,"",1620,"",true,false,false,2025-12-02 07:55:36.301051,2025-12-02 07:55:36.301051
1610,Accumulated Amortization - Leasehold,asset,1600,1625,"",true,false,false,2025-12-02 07:55:36.301051,2025-12-02 07:55:36.301051
1700,Vehicles,asset,"",1620,"",true,false,false,2025-12-02 07:55:36.301051,2025-12-02 07:55:36.301051
1710,Accumulated Depreciation - Vehicles,asset,1700,1625,"",true,false,false,2025-12-02 07:55:36.301051,2025-12-02 07:55:36.301051
2000,Accounts Payable,liability,"",2600,"",true,false,false,2025-11-12 01:23:03.593031,2025-12-02 07:55:36.301051
2010,A/P - Capital Foodservice,liability,2000,2600,"",true,false,false,2025-12-02 07:55:36.301051,2025-12-02 07:55:36.301051
2020,A/P - GFS,liability,2000,2600,"",true,false,false,2025-12-02 07:55:36.301051,2025-12-02 07:55:36.301051
2030,A/P - Pepsi,liability,2000,2600,"",true,false,false,2025-12-02 07:55:36.301051,2025-12-02 07:55:36.301051
