action,source_row,invoice_number,invoice_date,vendor_raw,total_cents,tax_cents,net_cents,notes
UPDATE,2,,2023-06-01,Town of Amherst - Bill ,80500,10500,70000,auto-sync from current DB
UPDATE,12,2506676,2023-06-29,Capital Foods - Bill 2506676,120080,15583,104497,manual override
UPDATE,14,,2023-07-01,Town of Amherst - Bill ,40250,5250,35000,auto-sync from current DB
UPDATE,19,,2023-07-31,CIBC - Bill july fees,1425,0,1425,auto-sync from current DB
UPDATE,20,,2023-08-01,Town of Amherst - Bill ,40250,5250,35000,auto-sync from current DB
UPDATE,32,,2023-08-31,CIBC - Bill August Fees,1100,0,1100,auto-sync from current DB
UPDATE,43,2520102,2023-09-07,Capital Foods - Bill 2520102,103745,10047,93698,manual override
UPDATE,73,2523999,2023-09-28,Capital Foods - Bill 2523999,109656,7050,102606,manual override
UPDATE,87,2526446,2023-10-12,Capital Foods - Bill 2526446,104085,13576,90509,manual override
UPDATE,95,,2023-10-17,Amazon - Bill ,16785,195,16590,auto-sync from current DB
UPDATE,107,19963,2023-10-25,Black Cat Importers - Bill 19963,63181,8249,54932,auto-sync from current DB
UPDATE,132,2530298,2023-11-20,Capital Foods - Bill 2530298,95687,4105,91582,manual override
UPDATE,152,,2023-12-31,Shopify - Bill canteen order screen,12818,1619,11199,auto-sync from current DB
UPDATE,210,,2024-02-15,Cafe Archibald - Bill ,5292,585,4707,auto-sync from current DB
UPDATE,225,9007044619,2024-02-23,GFS - Bill 9007044619,5949,0,5949,manual override
UPDATE,282,,2024-04-03,Circle K - Bill ,11141,1413,9728,auto-sync from current DB
UPDATE,615,,2025-02-12,Atlantic Superstore - Bill,103368,330,103038,manual override
UPDATE,617,,2025-02-13,Costco - Bill,191538,1322,190216,manual override
UPDATE,628,,2025-02-28,Bell - Bill,13268,1730,11538,manual override
UPDATE,675,,2025-03-31,Bell - Bill,13268,1730,11538,manual override
UPDATE,692,,2025-04-30,Bell - Bill,13153,1615,11538,manual override
UPDATE,696,,2025-04-30,Bell - Late Fee,386,0,386,manual override
UPDATE,706,,2025-05-31,Bell - Bill,13153,1615,11538,manual override
UPDATE,281,,2024-04-03,Costco - Bill,81189,0,81189,corrected from $812.89 to $811.89
UPDATE,677,,2025-03-31,CIBC - Bill Q1 Account Fees,19500,0,19500,corrected from $135 to $195 (3x$65 monthly fees)
INSERT,,9005357713-CR,2023-12-18,GFS Credit Memo 9005357713,-68034,0,-68034,auto-sync from current DB
INSERT,,2597723,2024-12-11,Capital Foods - Credit Memo 2597723,-4812,0,-4812,Credit memo missing from Wave - offsets invoice 2596503
INSERT,,CIBC-FEES-2023-09,2023-09-30,CIBC - Bill September Fees,7925,0,7925,auto-sync from current DB
INSERT,,FUEL-TRIANGLE-20231206,2023-12-06,Fuel - Triangle,12072,0,12072,auto-sync from current DB
INSERT,,FUEL-TRIANGLE-20231228,2023-12-28,Fuel - Triangle,12072,0,12072,auto-sync from current DB
INSERT,,COSTCO-RECEIPT-20240306,2024-03-06,Costco - Receipt,15072,0,15072,auto-sync from current DB
INSERT,,PHARMASAVE-RECEIPT-20241111,2024-11-11,Pharmasave - Bill,3144,0,3144,auto-sync from current DB
INSERT,,FUEL-RECEIPT-20241112,2024-11-12,Fuel - Receipt,3011,0,3011,auto-sync from current DB
INSERT,,FUEL-RECEIPT-20250227,2025-02-27,Fuel - Receipt,5997,0,5997,auto-sync from current DB
INSERT,,CIBC-FEES-2023-06,2023-06-30,CIBC - Bill June Fees,947,0,947,auto-sync from current DB
INSERT,,STUB-WALMART-COGS-20230814,2023-08-14,Walmart - Bill ,3447,0,3447,COGS purchase (Interac debit) placeholder; no HST captured in Wave
INSERT,,STUB-DOLLARAMA-COGS-20230814,2023-08-14,Dollarama - Bill ,5014,0,5014,COGS purchase (Interac debit) placeholder; no HST captured in Wave
INSERT,,STUB-GFS-CASH-COGS-20231011,2023-10-11,GFS - Bill,40000,0,40000,Cash COGS (frozen) paid from till; never hit bank
INSERT,,STUB-GFS-CASH-COGS-20241022-1,2024-10-22,GFS Cash - Cheese Curds (COGS) #1,50000,0,50000,"Cash COGS purchase reimbursed to Thomas; part of $3,000 e-transfer on 2024-10-22 (bank_txn_id 909); no HST/ITC"
INSERT,,STUB-GFS-CASH-COGS-20241022-2,2024-10-22,GFS Cash - Cheese Curds (COGS) #2,50000,0,50000,"Cash COGS purchase reimbursed to Thomas; part of $3,000 e-transfer on 2024-10-22 (bank_txn_id 909); no HST/ITC"
