bank_txn_id,bank_date,bank_amount,cc_card_last4,wave_alloc_rows,wave_bill_count,allocated_any,allocated_cc_alloc_v1,allocated_manual_split_v1,unallocated_gap,coverage_pct,bank_description
350,2025-05-13,408.58,0318,0,0,0.00,0.00,0.00,408.58,0.0,Internet Banking INTERNET TRANSFER000000124759 4500*********318
357,2025-05-05,51.07,0318,0,0,0.00,0.00,0.00,51.07,0.0,Internet Banking INTERNET TRANSFER000000223103 4500*********318
356,2025-05-05,51.08,0318,1,1,51.08,51.08,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000238360 4500*********318
355,2025-05-05,50.70,0318,0,0,0.00,0.00,0.00,50.70,0.0,Internet Banking INTERNET TRANSFER000000224154 4500*********318
354,2025-05-05,49.03,0318,0,0,0.00,0.00,0.00,49.03,0.0,Internet Banking INTERNET TRANSFER000000212363 4500*********318
372,2025-04-24,45.99,0318,0,0,0.00,0.00,0.00,45.99,0.0,Internet Banking INTERNET TRANSFER000000219119 4500*********318
371,2025-04-24,121.94,0318,0,0,0.00,0.00,0.00,121.94,0.0,Internet Banking INTERNET TRANSFER000000224206 4500*********318
369,2025-04-24,27.83,0318,1,1,27.83,27.83,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000226086 4500*********318
368,2025-04-24,333.91,0318,1,1,333.91,333.91,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000239082 4500*********318
366,2025-04-24,19.45,0318,1,1,19.45,19.45,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000239588 4500*********318
397,2025-04-11,132.68,0318,0,0,0.00,0.00,0.00,132.68,0.0,Internet Banking INTERNET TRANSFER000000209412 4500*********318
396,2025-04-11,132.68,0318,0,0,0.00,0.00,0.00,132.68,0.0,Internet Banking INTERNET TRANSFER000000223432 4500*********318
395,2025-04-11,131.53,0318,0,0,0.00,0.00,0.00,131.53,0.0,Internet Banking INTERNET TRANSFER000000232524 4500*********318
394,2025-04-11,132.68,0318,0,0,0.00,0.00,0.00,132.68,0.0,Internet Banking INTERNET TRANSFER000000232671 4500*********318
393,2025-04-11,132.68,0318,0,0,0.00,0.00,0.00,132.68,0.0,Internet Banking INTERNET TRANSFER000000209665 4500*********318
406,2025-04-08,68.55,0318,1,1,68.55,68.55,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000131654 4500*********318
404,2025-04-08,72.26,0318,1,1,72.26,72.26,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000123303 4500*********318
431,2025-03-26,97.19,0318,1,1,97.19,97.19,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000221837 4500*********318
430,2025-03-26,8.92,0318,1,1,8.92,8.92,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000221991 4500*********318
429,2025-03-26,93.02,0318,1,1,93.02,93.02,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000207570 4500*********318
428,2025-03-26,59.52,0318,1,1,59.52,59.52,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000207786 4500*********318
450,2025-03-20,682.18,0318,1,1,682.18,682.18,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000215345 4500*********318
449,2025-03-20,166.28,0318,1,1,166.28,166.28,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000228795 4500*********318
448,2025-03-20,2531.83,8154,0,0,0.00,0.00,0.00,2531.83,0.0,Internet Banking INTERNET TRANSFER000000229549 5268*********154
447,2025-03-20,116.58,0318,0,0,0.00,0.00,0.00,116.58,0.0,Internet Banking INTERNET TRANSFER000000232002 4500*********318
446,2025-03-20,34.49,0318,1,1,34.49,34.49,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000232270 4500*********318
444,2025-03-20,20.68,0318,1,1,20.68,20.68,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000216612 4500*********318
443,2025-03-20,12.64,0318,1,1,12.64,12.64,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000200055 4500*********318
442,2025-03-20,120.68,0318,1,1,120.68,120.68,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000200356 4500*********318
454,2025-03-18,1236.86,0318,1,1,1236.86,0.00,1236.86,0.00,100.0,Internet Banking INTERNET TRANSFER000000119217 4500*********318
453,2025-03-18,157.07,0318,1,1,157.07,0.00,157.07,0.00,100.0,Internet Banking INTERNET TRANSFER000000123208 4500*********318
475,2025-03-17,44.95,0318,1,1,44.95,44.95,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000223004 4500*********318
472,2025-03-17,305.31,0318,1,1,305.31,305.31,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000224078 4500*********318
471,2025-03-17,66.17,0318,1,1,66.17,66.17,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000238346 4500*********318
