cc_card_last4,merchant_parsed,purchase_count,purchase_amount
0318,SP STOCKUP MARKET,5,13991.15
0318,PESCIENCE 8888850195,9,13594.04
0318,ISWEET 4168234030,18,11280.47
0318,PACIFIC DISTRIBUTION WHOL,15,11255.49
0318,TITAN DISTRIBUTION CONCORD,4,7707.16
0318,PURITY LIFE HEALTH,6,4449.58
0318,NOVA SCOTIA PWR/EZ-PAY,22,4311.07
0318,ALIBABA.COM VANCOUVER,1,4014.61
0318,BLACK CAT IMPORTERS,5,4003.74
0318,SP SPROOS WHISTLER,5,3207.87
0318,FREIGHTCOM INC. BOLTON,99,2172.28
0318,SP HEALANDCO.CO WHISTLER,4,2064.73
0318,CAPITAL FOOD SERVICE,2,1997.72
0318,AMHERST SUPERSTORE #31,9,1827.83
0318,PC EXPRESS 0312,2,1731.54
0318,SHOPIFY INC/314479490 OTTAWA,1,1601.56
0318,NEEDEN CANADA 450-286-1814,1,1565.73
0318,BELL ALIANT OBM,11,1509.18
0318,"CIRA NUTRITION 709-7390002,",1,1489.46
0318,SHOPIFY INC/211278217 OTTAWA,1,1480.21
0318,CARTER'S SPORT CRESTING,2,1437.76
0318,AMHERST PHARMA SAVE,45,1356.80
0318,SHOPIFY INC/205087327 OTTAWA,1,1200.01
0318,BELL ALIANT OBB,9,1014.97
0318,SP SPROOS BRAMPTON,1,995.58
0318,SAGA SCIENCES CANADA,1,859.98
0318,REGISTRY OF JOINT,10,840.10
0318,PACIFIC DISTRIBUTION W,1,825.14
0318,MONCTON CASH &,3,787.05
0318,BELL ALIANT REP,3,744.92
0318,NAYAX*DISTRIBUTION QM INC,1,607.20
0318,SQ *9428-0534 QUEBEC,1,525.92
0318,WAL-MART SUPERCENTER#5789 AMHERST,7,472.98
0318,BELL ALIANT ONLINE,1,449.94
0318,OPENAI *CHATGPT SUBSCR,12,395.51
0318,DOLLARAMA # 209,6,390.35
0318,GRINDSTONEBLENDS.COM LONDON,1,376.30
0318,SP ECHO SALES,1,331.15
0318,WE LIKE WORK,1,307.74
0318,GOOGLE *GSUITE_CURLYS. 855-222-8603,16,278.88
0318,CDN TIRE STORE,4,264.42
0318,"CHATGPT SUBSCRIPTION HTTPSOPENAI.C,",8,256.65
0318,AMHERST HOME HARDWARE,2,237.05
0318,AMHERST GOLF CLUB,1,200.00
0318,PAYZANT HM HWRE,1,190.42
0318,HARRISON'S HOME HARDWARE,4,181.65
0318,SEATDATA* TRIAL OVER,1,179.61
0318,"CHATGPT SUBSCRIPTION OPENAI.COM,",5,158.71
0318,GOOGLE*GSUITE CURLYS.C CC,9,152.88
0318,PAYPAL *DIGITALINSP 4029357733,1,149.86
0318,APPLE.COM/CA 800-676-2775,1,148.35
0318,WWW COSTCO CA,1,138.00
0318,COSTCO *ANNUAL RENEWAL,1,138.00
0318,CIRCLE K /,3,113.00
0318,SHOPIFY INC/204656621 OTTAWA,1,97.23
0318,GOOGLE *WAVE FINANCIAL,7,88.55
0318,CANADIAN TIRE 33,1,88.35
0318,KUBRA/EZ-PAY 905-624-2220,22,75.45
0318,FEDEX YQMA DIEPPE,2,69.94
0318,SP CANADA MATS,1,68.08
0318,IMPOTEXPERT / UFILE,2,63.23
0318,COOKE SALES 902-423-8886,1,58.58
0318,GEENI CLOUD BY,2,55.58
0318,STUDIOTAX SOFTWARE GLOUCESTER,3,54.33
0318,"SHOPIFY/353833366 OTTAWA, ON",1,49.03
0318,DUNCAN'S PUB AMHERST,2,45.00
0318,EVENTBRITE/MADCHILDLIV SAINT JOHN,1,40.61
0318,CATTAIL RIDGE FAMILY,1,40.00
0318,SHOPIFY INC/244573181 OTTAWA,1,36.07
0318,SHOPIFY INC/285756734 OTTAWA,1,33.26
0318,HIGHLAND MARKET AMHERST,2,32.68
0318,WWW.BAREMETAL.COM VICTORIA,2,31.02
0318,FEDEX78906002 T1800 4633339,1,28.78
0318,GUYS FRENCHYS AMHERST,1,28.75
0318,GIANT TIGER #200,1,25.30
0318,IFOODEQUIPMENT.CA MONCTON,1,24.12
0318,VALUE VILLAGE #,1,21.81
0318,SHOPIFY INC/227113144 OTTAWA,1,12.86
0318,SHOPIFY INC/205393535 OTTAWA,1,12.77
0318,SHOPIFY INC/201204163 OTTAWA,1,12.77
0318,GOOGLE*WAVE FINANCIAL G.CO/HELPPAY#,1,12.65
0318,SHOPIFY INC/222723813 OTTAWA,1,12.62
0318,SHOPIFY INC/218316968 OTTAWA,1,12.62
0318,SHOPIFY INC/213943204 OTTAWA,1,12.52
0318,SHOPIFY INC/209654211 OTTAWA,1,12.39
0318,CORP CANADA/17699130 OTTAWA,1,12.00
0318,CORP CANADA/17699070 OTTAWA,1,12.00
0318,FIVERREU NICOSIA,1,11.84
0318,J SAVARD* EXPLAIN,1,5.86
0318,CPC / SCP,1,5.84
8154,PEAK PERFORMANCE MISSISSAUGA,3,9659.14
8154,WAL-MART #5789 AMHERST,68,5572.91
8154,COSTCO WHOLESALE W1345,31,4819.82
8154,CARTER'S SPORT CRESTIN,2,4427.99
8154,JJ CANDY 418-5635821,1,4377.50
8154,KENT AMHERST AMHERST,7,3368.49
8154,ROGERS ******8651 888-764-3771,9,2196.55
8154,IN *ALCAMI ELEMENTS,2,1656.00
8154,BELL ALIANT ONLINE,4,1564.03
8154,DOLLARAMA # 209,30,1505.10
8154,ALLEGRA MARKETING PRIN,1,1449.00
8154,LS SWEET DREAMS,1,1345.48
8154,WINNERS 259 MONCTON,10,1157.29
8154,AMHERST SUPERSTORE #31,23,1035.12
8154,AMHERST VETERINARY HOS,7,930.32
8154,WALMART.CA MISSISSAUGA,1,827.26
8154,SQ *T.M. BEAUTY,4,758.69
8154,CANADIAN TIRE 33,5,606.75
8154,HART - AMHERST,3,592.07
8154,ISWEET 4168234030,1,561.17
8154,TEMPLE OF EDEN,2,524.40
8154,NSLC #2302 AMHERST,5,474.36
8154,"CERTIFIED COLLECTIBLES SARASOTA,",1,417.32
8154,HIGHLAND MARKET AMHERST,14,390.40
8154,GIANT TIGER #200,5,337.55
8154,PROXI WEST AMHERST,11,335.13
8154,MCDONALD'S #5841 Q04,15,334.56
8154,COSTCO GAS W1345,5,305.50
8154,ATLANTIC HOCKEY GRO,1,300.00
8154,WE LIKE WORK,3,241.97
8154,LAWTONS #2562 AMHERST,6,235.34
8154,LEMON NAILS AMHERST,2,207.58
8154,YMCA OF CUMBERLANSD,1,200.00
8154,BET 365 GIBRALTAR,1,200.00
8154,SQ *ROTARY CLUB,3,195.50
8154,SOBEYS #729 AMHERST,5,195.19
8154,CHARM DIAMOND CENTRES,1,171.35
8154,RODD MONCTON MONCTON,1,166.62
8154,BOOKING.COM AMSTERDAM,1,161.03
8154,AMSTERDAM INN &,1,155.93
8154,THE OLD WAREHOUSE,3,145.96
8154,B WOOS KITCHEN,3,142.11
8154,NEEDS # 4610,3,140.84
8154,MOBIL@ - 4174,4,133.87
8154,FREDDIE'S PIZZA &,5,132.80
8154,STORE AMHERST,3,127.63
8154,MARSHALLS 730 MONCTON,1,126.45
8154,DISNEY PLUS 1,8,118.11
8154,PAYZANT HM HWRE,1,115.39
8154,NOVA SCOTIA REAL,1,115.00
8154,CHRISTMAS DISCOUNTERS AMHERST,3,114.37
8154,SHEIN.COM TORONTO,2,112.11
8154,MARITIME FUN GROUP,1,107.99
8154,CUMBERLAND HONDA AMHERST,1,103.36
8154,AMHERST PHARMA SAVE,2,103.17
8154,PURCHASE INTEREST,3,98.86
8154,WESTIN NOVA SCOTIAN,1,92.35
8154,MTY GROUP /,2,91.35
8154,FH* TREEGO MONCTON,1,89.04
8154,WEST AMHERST ESSO,2,86.19
8154,NEEDS 182 AMHERST,3,83.92
8154,CIRCLE K /,3,83.87
8154,SHELL 4551 AMHERST,3,82.39
8154,RW & CO.,1,82.00
8154,CAVENDISH PIZZA DELIGH,1,79.51
8154,COSTCO WHOLESALE W551,2,77.75
8154,PAYPAL *ALIPAYCANAD 4029357733,1,69.21
8154,GARAGE #119 DIEPPE,1,68.94
8154,BEST BUY #81,1,67.83
8154,FOX HARB'R RESORT,1,67.29
8154,PIZZA DELIGHT -,1,60.14
8154,MYSTERY MONCTON MONCTON,1,59.78
8154,THE ELM TREE,1,58.32
8154,KFC 1048 AMHERST,1,55.19
8154,SOFTMOC #43 DIEPPE,1,54.61
8154,DAIRY QUEEN #,2,42.92
8154,DELUXE FRENCH FRIES,1,42.35
8154,DISNEY PLUS BURBANK,3,41.37
8154,BRIDGE ADULT SERVICES,1,40.50
8154,033 BOATHOUSE CHAMPLAI,1,40.46
8154,SQ *ADAM'S TIRE,1,40.25
8154,SQ *RIDDLE'S TAKEOUT,2,39.16
8154,WINEGARDEN ESTATE LIMI,2,38.99
8154,KENS RITE STOP,3,38.57
8154,COLES 176 AMHERST,1,36.69
8154,AVENIR CENTRE MONCTON,1,36.08
8154,MARSHALLS 729 DARTMOUTH,1,34.49
8154,GAMESTOP 878 DIEPPE,1,34.49
8154,ALCOOL NB LIQUOR,1,33.45
8154,NEW YORK FRIES,1,30.45
8154,SUPERSTORE HALIFAX STH,2,25.81
8154,ECLIPSE 35 AMHERST,1,25.00
8154,EASYFINANCIAL AMHERST,1,25.00
8154,SUPER 8 AMHERST,1,24.00
8154,A&W #7220 DIEPPE,1,23.89
8154,TIM HORTONS #5540,2,22.68
8154,SQ *RED'S APRON,1,22.32
8154,NSLC #2301 AMHERST,1,21.79
8154,DUNCAN'S PUB AMHERST,1,21.37
8154,CPC SCP DIAPCUST/CU840,1,20.28
8154,CIRCLE K #2511,1,17.81
8154,FIVEELEVEN WEST SUMMERSIDE,1,17.25
8154,MARITIMES EVENT RENTAL,1,15.00
8154,TIM HORTONS #0237,1,13.66
8154,A&W AMHERST AMHERST,1,13.33
8154,SQ *SHIPWRECK FUDGE,1,10.50
8154,ROBIN'S DONUTS PORT,1,9.97
8154,HARRISON'S HOME HARDWA,1,9.10
8154,MARCO POLO LAND,1,7.75
8154,CASH ADV/BT/CONV CHQ,1,7.50
8154,CERETTIS GROCERY BORDEN-CARLET,1,7.10
8154,SQ *CUMBERLAND HEALTH,1,6.00
8154,IWK - HEALTH,1,5.00
8154,CASH INTEREST,1,0.36
