cc_purchase_txn_id,cc_date,cc_card_last4,amount,merchant_parsed,description,wave_bill_id,wave_row,wave_vendor_category,wave_bill_total
387,2025-05-12,0318,408.58,BELL ALIANT OBM,"BELL ALIANT OBM VERDUN, QC",674,675,BELL,132.68
387,2025-05-12,0318,408.58,BELL ALIANT OBM,"BELL ALIANT OBM VERDUN, QC",691,692,BELL,131.53
387,2025-05-12,0318,408.58,BELL ALIANT OBM,"BELL ALIANT OBM VERDUN, QC",695,696,BELL,3.86
387,2025-05-12,0318,408.58,BELL ALIANT OBM,"BELL ALIANT OBM VERDUN, QC",715,,OTHER,59.97
463,2025-03-24,0318,116.58,SOBEYS #729 AMHERST,"SOBEYS #729 AMHERST, NS",665,666,OTHER,116.58
460,2025-03-24,0318,81.8,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 807 AMHERST, NS",669,670,PHARMASAVE,81.8
1114,2024-04-25,0318,222.59,NOVA SCOTIA ONLINE,"NOVA SCOTIA ONLINE HALIFAX, NS",302,303,GOV_NS,222.59
1123,2024-04-23,0318,41.37,CANADIAN TIRE 33,"CANADIAN TIRE 33 AMHERST, NS",300,301,OTHER,41.37
1140,2024-04-15,0318,152.6,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",294,295,OTHER,152.6
1277,2024-02-13,0318,61.05,REGISTRY OF JOINT,"REGISTRY OF JOINT STOC HALIFAX, NS",201,202,GOV_NS,61.05
1343,2024-01-15,0318,7.38,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 807 AMHERST, NS",167,168,PHARMASAVE,7.38
1360,2024-01-08,0318,312.4,DOLLARAMA # 209,"DOLLARAMA # 209 AMHERST, NS",158,159,DOLLARAMA,312.4
1628,2023-09-18,0318,76.84,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",52,53,OTHER,76.84
1728,2023-08-14,0318,21.69,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 807 AMHERST, NS",27,28,PHARMASAVE,21.69
1727,2023-08-14,0318,24.51,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 807 AMHERST, NS",28,29,PHARMASAVE,24.51
1737,2023-08-10,0318,43.7,WAL-MART ONLINE PHOTO,"WAL-MART ONLINE PHOTO MISSISSAUGA, ON",20,21,WALMART,43.7
1793,2023-07-10,0318,33.19,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 807 AMHERST, NS",14,15,PHARMASAVE,33.19
1865,2023-06-08,0318,21.08,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 807 AMHERST, NS",3,4,PHARMASAVE,21.08
400,2025-04-28,4337,45.59,AMZN MKTP CA*N29772UG2,"AMZN Mktp CA*N29772UG2 WWW.AMAZON.CA, ON",692,693,AMAZON,45.59
551,2025-02-24,4337,282.0,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",626,627,OTHER,282.0
567,2025-02-18,4337,30.0,MOBIL@ - 4174,"MOBIL@ - 4174 AMHERST, NS",609,610,OTHER,30.0
569,2025-02-14,4337,50.7,"SHOPIFY/329781612 OTTAWA, ON","SHOPIFY/329781612 OTTAWA, ON 34.48 USD @ 1.470417",617,618,OTHER,50.7
604,2025-02-04,4337,39.02,CANADIAN TIRE 33,"CANADIAN TIRE 33 AMHERST, NS",598,599,OTHER,39.02
607,2025-02-03,4337,72.22,AMZN MKTP CA*Z782S3NB0,"AMZN Mktp CA*Z782S3NB0 WWW.AMAZON.CA, ON",596,597,AMAZON,72.22
632,2025-01-29,4337,185.03,WAL-MART SUPERCENTER#5789 AMHERST,"WAL-MART SUPERCENTER#5789 AMHERST, NS",592,593,WALMART,185.03
647,2025-01-27,4337,228.83,CHRISTMAS DISCOUNTERS AMHERST,"CHRISTMAS DISCOUNTERS AMHERST, NS",587,588,OTHER,228.83
645,2025-01-27,4337,146.15,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",588,589,OTHER,146.15
643,2025-01-27,4337,16.4,AMHERST SUPERSTORE #31,"AMHERST SUPERSTORE #31 AMHERST, NS",591,592,OTHER,16.4
641,2025-01-27,4337,90.9,SOBEYS #729 AMHERST,"SOBEYS #729 AMHERST, NS",590,591,OTHER,90.9
656,2025-01-21,4337,28.0,WAL-MART SUPERCENTER#5789 AMHERST,"WAL-MART SUPERCENTER#5789 AMHERST, NS",582,583,WALMART,28.0
664,2025-01-16,4337,29.21,WAL-MART SUPERCENTER#5789 AMHERST,"WAL-MART SUPERCENTER#5789 AMHERST, NS",570,571,WALMART,29.21
665,2025-01-15,4337,51.07,"SHOPIFY/317975573 OTTAWA, ON","SHOPIFY/317975573 OTTAWA, ON 34.48 USD @ 1.481148",571,572,OTHER,51.07
668,2025-01-13,4337,407.1,DOLLARAMA # 209,"DOLLARAMA # 209 AMHERST, NS",567,568,DOLLARAMA,407.1
728,2024-11-27,4337,64.98,CIRCLE K /,"CIRCLE K / IRVING #QPS208 OXFORD, NS",496,497,OTHER,64.98
732,2024-11-25,4337,30.02,PROXI SACKVILLE SACKVILLE,"PROXI SACKVILLE SACKVILLE, NB",489,490,OTHER,30.02
779,2024-10-28,4337,105.9,AMZN MKTP CA*F305I4VN3,"AMZN Mktp CA*F305I4VN3 WWW.AMAZON.CA, ON",440,441,AMAZON,105.9
808,2024-10-17,4337,32.74,SOBEYS #729 AMHERST,"SOBEYS #729 AMHERST, NS",422,423,OTHER,32.74
879,2024-08-21,4337,101.78,AMZN MKTP CA*R43D70EQ2,"AMZN Mktp CA*R43D70EQ2 WWW.AMAZON.CA, ON",335,336,AMAZON,101.78
1583,2023-10-04,4337,19.54,AMZN MKTP CA*T91TD3Z71,"AMZN Mktp CA*T91TD3Z71 WWW.AMAZON.CA, ON",76,77,AMAZON,19.54
1619,2023-09-20,4337,25.32,AMAZON.CA*TX7I793H1 AMAZON.CA,"Amazon.ca*TX7I793H1 AMAZON.CA, ON",60,61,AMAZON,25.32
1658,2023-09-05,4337,29.95,AMZN MKTP CA*TL6CQ3832,"AMZN Mktp CA*TL6CQ3832 WWW.AMAZON.CA, ON",38,39,AMAZON,29.95
1657,2023-09-05,4337,29.95,AMZN MKTP CA*TL9XJ2V40,"AMZN Mktp CA*TL9XJ2V40 WWW.AMAZON.CA, ON",37,38,AMAZON,29.95
1671,2023-08-31,4337,19.54,AMZN MKTP CA*T345F3R60,"AMZN Mktp CA*T345F3R60 WWW.AMAZON.CA, ON",30,31,AMAZON,19.54
1730,2023-08-14,4337,643.68,MONCTONCASH&CARRY#301 MONCTON,"MONCTONCASH&CARRY#301 MONCTON, NB",26,27,WHOLESALE_CLUB,643.68
1764,2023-08-01,4337,26.44,AMAZON.CA*TH63J5P41 AMAZON.CA,"Amazon.ca*TH63J5P41 AMAZON.CA, ON",17,18,AMAZON,26.44
1806,2023-07-06,4337,794.88,JE HASTINGS LIMITED,"JE HASTINGS LIMITED 506-8568888, NB",10,11,HASTINGS,794.88
2983,2025-03-20,7022,2531.83,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",664,665,COSTCO,2531.83
3003,2025-03-10,7022,1869.91,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",647,648,COSTCO,1869.91
3040,2025-02-26,7022,1958.2,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",629,630,COSTCO,1958.2
3060,2025-02-14,7022,59.97,GO-MART AMHERST,"GO-MART Amherst, NS",618,619,OTHER,59.97
3066,2025-02-13,7022,4391.25,COSTCO WHOLESALE W1345,"COSTCO WHOLESALE W1345 MONCTON, NB",613,614,COSTCO,4391.25
3087,2025-02-06,7022,11.69,AMHERST PHARMA SAVE,"AMHERST PHARMA SAVE 80 AMHERST, NS",600,601,PHARMASAVE,11.69
