bank_txn_id,txn_date,fy,amount,memo_code,guess_kind,txn_type,manual_classification,txn_category,verified,explanation,description,notes
862,2024-11-05,FY2025,-830.06,EMPTX-4836406,PAYROLL_REMIT,PAYROLL_REMIT,CRA_PAYMENT,PAYROLL_REMIT,1,CRA payroll remittance for 2024-10,Electronic Funds Transfer DEBIT MEMO EMPTX-4836406 GPFS-GOVERNMENT PAYMENT,CRA remittance (HST or payroll)
834,2024-11-13,FY2025,-3064.77,GST-B-2076907,GST_HST_REMIT,PAYROLL_REMIT,CRA_PAYMENT,PAYROLL_REMIT,0,CRA payroll remittance - $3064.77,Electronic Funds Transfer DEBIT MEMO GST-B-2076907 GPFS-GOVERNMENT PAYMENT,CRA remittance (HST or payroll)
835,2024-11-13,FY2025,-3774.16,GST-B-2076406,GST_HST_REMIT,PAYROLL_REMIT,CRA_PAYMENT,PAYROLL_REMIT,0,CRA payroll remittance - $3774.16,Electronic Funds Transfer DEBIT MEMO GST-B-2076406 GPFS-GOVERNMENT PAYMENT,CRA remittance (HST or payroll)
798,2024-11-29,FY2025,-2542.18,GST-B-8510988,GST_HST_REMIT,PAYROLL_REMIT,CRA_PAYMENT,PAYROLL_REMIT,0,CRA payroll remittance - $2542.18,Electronic Funds Transfer DEBIT MEMO GST-B-8510988 GPFS-GOVERNMENT PAYMENT,CRA remittance (HST or payroll)
789,2024-12-02,FY2025,-8.00,,SERVICE_FEE,PAYROLL_REMIT,BANK_FEE,PAYROLL_REMIT,0,CRA payroll remittance - $8.00,Electronic Funds Transfer DEBIT MEMO GPFS-SERVICE CHARGE,CIBC account fee
761,2024-12-05,FY2025,-2289.89,EMPTX-4036939,PAYROLL_REMIT,PAYROLL_REMIT,CRA_PAYMENT,PAYROLL_REMIT,0,CRA payroll remittance - $2289.89,Electronic Funds Transfer DEBIT MEMO EMPTX-4036939 GPFS-GOVERNMENT PAYMENT,CRA remittance (HST or payroll)
689,2025-01-06,FY2025,-2.00,,SERVICE_FEE,PAYROLL_REMIT,BANK_FEE,PAYROLL_REMIT,0,CRA payroll remittance - $2.00,Electronic Funds Transfer DEBIT MEMO GPFS-SERVICE CHARGE,CIBC account fee
657,2025-01-15,FY2025,-2572.87,EMPTX-5907647,PAYROLL_REMIT,PAYROLL_REMIT,CRA_PAYMENT,PAYROLL_REMIT,0,CRA payroll remittance - $2572.87,Electronic Funds Transfer DEBIT MEMO EMPTX-5907647 GPFS-GOVERNMENT PAYMENT,CRA remittance (HST or payroll)
591,2025-02-03,FY2025,-2.00,,SERVICE_FEE,PAYROLL_REMIT,BANK_FEE,BANK_FEE,1,CIBC GPFS service charge,Electronic Funds Transfer DEBIT MEMO GPFS-SERVICE CHARGE,CIBC account fee
568,2025-02-11,FY2025,-796.00,EMPTX-992230,PAYROLL_REMIT,PAYROLL_REMIT,CRA_PAYMENT,PAYROLL_REMIT,0,CRA payroll remittance - $796.00,Electronic Funds Transfer DEBIT MEMO EMPTX- 992230 GPFS-GOVERNMENT PAYMENT,CRA remittance (HST or payroll)
505,2025-03-03,FY2025,-2.00,,SERVICE_FEE,PAYROLL_REMIT,BANK_FEE,PAYROLL_REMIT,0,CRA payroll remittance - $2.00,Electronic Funds Transfer DEBIT MEMO GPFS-SERVICE CHARGE,CIBC account fee
503,2025-03-04,FY2025,-589.74,EMPTX-3387504,PAYROLL_REMIT,PAYROLL_REMIT,CRA_PAYMENT,PAYROLL_REMIT,0,CRA payroll remittance - $589.74,Electronic Funds Transfer DEBIT MEMO EMPTX-3387504 GPFS-GOVERNMENT PAYMENT,CRA remittance (HST or payroll)
504,2025-03-04,FY2025,-772.79,EMPBD-3385149,PAYROLL_REMIT,PAYROLL_REMIT,CRA_PAYMENT,PAYROLL_REMIT,0,CRA payroll remittance - $772.79,Electronic Funds Transfer DEBIT MEMO EMPBD-3385149 GPFS-GOVERNMENT PAYMENT,CRA remittance (HST or payroll)
458,2025-03-17,FY2025,-27.29,EMPTX-4517739,PAYROLL_REMIT,PAYROLL_REMIT,CRA_PAYMENT,PAYROLL_REMIT,0,CRA payroll remittance - $27.29,Electronic Funds Transfer DEBIT MEMO EMPTX-4517739 GPFS-GOVERNMENT PAYMENT,CRA remittance (HST or payroll)
416,2025-04-01,FY2025,-6.00,,SERVICE_FEE,PAYROLL_REMIT,BANK_FEE,PAYROLL_REMIT,0,CRA payroll remittance - $6.00,Electronic Funds Transfer DEBIT MEMO GPFS-SERVICE CHARGE,CIBC GPFS Service Charge (wave_bill 678)
387,2025-04-14,FY2025,-1240.32,EMPTX-3019812,PAYROLL_REMIT,PAYROLL_REMIT,CRA_PAYMENT,PAYROLL_REMIT,0,CRA payroll remittance - $1240.32,Electronic Funds Transfer DEBIT MEMO EMPTX-3019812 GPFS-GOVERNMENT PAYMENT,CRA remittance (HST or payroll)
375,2025-04-22,FY2025,-8231.53,GST34-1427613,GST_HST_REMIT,PAYROLL_REMIT,CRA_PAYMENT,PAYROLL_REMIT,0,CRA payroll remittance - $8231.53,Electronic Funds Transfer DEBIT MEMO GST34-1427613 GPFS-GOVERNMENT PAYMENT,CRA remittance (HST or payroll)
360,2025-05-01,FY2025,-4.00,,SERVICE_FEE,PAYROLL_REMIT,BANK_FEE,PAYROLL_REMIT,0,CRA payroll remittance - $4.00,Electronic Funds Transfer DEBIT MEMO GPFS-SERVICE CHARGE,CIBC GPFS Service Charge (wave_bill 697)
352,2025-05-06,FY2025,-929.60,EMPTX-5083390,PAYROLL_REMIT,PAYROLL_REMIT,CRA_PAYMENT,PAYROLL_REMIT,0,CRA payroll remittance - $929.60,Electronic Funds Transfer DEBIT MEMO EMPTX-5083390 GPFS-GOVERNMENT PAYMENT,CRA remittance (HST or payroll)
