source_row,fiscal_year,raw_invoice_date,raw_vendor_raw,raw_total,raw_tax,raw_net
7,FY2024,2023-06-09,Pacific Distribution Wholesale - Bill 48923,591.74,77.18,514.56
54,FY2024,2023-09-15,Pharmasave - Bill,27.07,1.00,26.07
94,FY2024,2023-10-16,Walmart - Bill,242.61,29.55,213.06
150,FY2024,2023-12-20,GFS - Bill 9005536027,50.83,0.00,50.83
387,FY2025,2024-09-25,Shell Gas - Bill,28.97,2.43,26.54
463,FY2025,2024-11-06,GFS - Bill 9015480379,1275.54,16.80,1258.74
521,FY2025,2024-12-07,Pharmasave - Bill,27.77,0.00,27.77
545,FY2025,2024-12-31,Bell - Bill,331.61,17.24,314.37
590,FY2025,2025-01-24,Bell - Bill,132.69,17.31,115.38
617,FY2025,2025-02-13,GFS - Bill,1915.38,13.22,1902.16
