id,bank_line_id,bank_txn_id,txn_date,amount_cents,txn_type,description,raw_json,created_at,updated_at
ba63a98e-9878-57de-bcfa-f87cdba76263,211a5b1a-72ee-5f15-9a15-2d52114c8a19,1696,2023-06-14,63005,SHOPIFY,Electronic Funds Transfer MISC PAYMENT Shopify,"{""bank_txn_id"": 1696, ""credit_cents"": 63005, ""debit_cents"": null, ""description"": ""Electronic Funds Transfer MISC PAYMENT Shopify"", ""txn_date"": ""2023-06-14"", ""txn_type"": ""SHOPIFY""}",2026-01-15T21:39:20+00:00,2026-01-16T00:04:55+00:00
44773dc3-2782-5d97-9c6f-98459a69df48,bae4cadf-9453-574f-99b1-f56dfe043741,1695,2023-06-21,92942,SHOPIFY,Electronic Funds Transfer MISC PAYMENT Shopify,"{""bank_txn_id"": 1695, ""credit_cents"": 92942, ""debit_cents"": null, ""description"": ""Electronic Funds Transfer MISC PAYMENT Shopify"", ""txn_date"": ""2023-06-21"", ""txn_type"": ""SHOPIFY""}",2026-01-15T21:39:20+00:00,2026-01-16T00:04:55+00:00
e5bcdeb4-09ec-54a3-9364-a0aa6ac515c3,551a0df7-01d9-5821-9d75-91f35d2347d1,1694,2023-06-27,51545,DEPOSIT,Branch Transaction DEPOSIT,"{""bank_txn_id"": 1694, ""credit_cents"": 51545, ""debit_cents"": null, ""description"": ""Branch Transaction DEPOSIT"", ""txn_date"": ""2023-06-27"", ""txn_type"": ""DEPOSIT""}",2026-01-15T21:39:20+00:00,2026-01-16T00:04:55+00:00
1b96a32c-cc80-5216-8b1f-fd9b48f76cde,07fdc4a2-9f11-5349-a2a0-683cc4944658,1687,2023-07-06,61243,SHOPIFY,Electronic Funds Transfer MISC PAYMENT Shopify,"{""bank_txn_id"": 1687, ""credit_cents"": 61243, ""debit_cents"": null, ""description"": ""Electronic Funds Transfer MISC PAYMENT Shopify"", ""txn_date"": ""2023-07-06"", ""txn_type"": ""SHOPIFY""}",2026-01-15T21:39:20+00:00,2026-01-16T00:04:55+00:00
2b819cfb-95ab-5899-a649-9cbc915c5052,22e0148f-1e1a-5a70-be6b-5769456bbeb1,1682,2023-08-01,7748,SHOPIFY,Electronic Funds Transfer MISC PAYMENT Shopify,"{""bank_txn_id"": 1682, ""credit_cents"": 7748, ""debit_cents"": null, ""description"": ""Electronic Funds Transfer MISC PAYMENT Shopify"", ""txn_date"": ""2023-08-01"", ""txn_type"": ""SHOPIFY""}",2026-01-15T21:39:20+00:00,2026-01-16T00:04:55+00:00
5c34cb77-6648-52e8-9f01-99669fe46d29,44982b1a-f5a5-5af1-8bda-7aac62c12b76,1678,2023-08-16,40257,SHOPIFY,Electronic Funds Transfer MISC PAYMENT Shopify,"{""bank_txn_id"": 1678, ""credit_cents"": 40257, ""debit_cents"": null, ""description"": ""Electronic Funds Transfer MISC PAYMENT Shopify"", ""txn_date"": ""2023-08-16"", ""txn_type"": ""SHOPIFY""}",2026-01-15T21:39:20+00:00,2026-01-16T00:04:55+00:00
02cbe0b1-4e4d-5153-a94a-2a27caa7b1ca,f6eb7a06-49d1-5b67-896f-4c7149d1eba9,1675,2023-09-07,90003,SHOPIFY,Electronic Funds Transfer MISC PAYMENT Shopify,"{""bank_txn_id"": 1675, ""credit_cents"": 90003, ""debit_cents"": null, ""description"": ""Electronic Funds Transfer MISC PAYMENT Shopify"", ""txn_date"": ""2023-09-07"", ""txn_type"": ""SHOPIFY""}",2026-01-15T21:39:20+00:00,2026-01-16T00:04:55+00:00
1dbb5dc4-0304-5b9d-83ff-2f6cceee1ae7,bd303a41-d55c-5081-b4a4-f2ee9f6f03db,1674,2023-09-08,23923,SHOPIFY,Electronic Funds Transfer MISC PAYMENT Shopify,"{""bank_txn_id"": 1674, ""credit_cents"": 23923, ""debit_cents"": null, ""description"": ""Electronic Funds Transfer MISC PAYMENT Shopify"", ""txn_date"": ""2023-09-08"", ""txn_type"": ""SHOPIFY""}",2026-01-15T21:39:20+00:00,2026-01-16T00:04:55+00:00
7e2c70dc-aa73-5044-9eb0-12976553f2d4,731de869-ff78-5146-8c5d-3f4767d26d57,1671,2023-09-11,250000,DEPOSIT,Branch Transaction DEPOSIT,"{""bank_txn_id"": 1671, ""credit_cents"": 250000, ""debit_cents"": null, ""description"": ""Branch Transaction DEPOSIT"", ""txn_date"": ""2023-09-11"", ""txn_type"": ""DEPOSIT""}",2026-01-15T21:39:20+00:00,2026-01-16T00:04:55+00:00
503c53c2-88df-5643-bec0-0943ebae33c5,bda18941-3e50-50e5-a259-98e5e7d824fa,1673,2023-09-11,17095,SHOPIFY,Electronic Funds Transfer MISC PAYMENT Shopify,"{""bank_txn_id"": 1673, ""credit_cents"": 17095, ""debit_cents"": null, ""description"": ""Electronic Funds Transfer MISC PAYMENT Shopify"", ""txn_date"": ""2023-09-11"", ""txn_type"": ""SHOPIFY""}",2026-01-15T21:39:20+00:00,2026-01-16T00:04:55+00:00
