id,bank_item_id,allocation_category,amount_cents,notes,created_at
00f39667-8752-5d6d-9887-7ec5450b5758,a44a8db5-8e7f-55c2-a604-b326ebe3bea0,OTHER,-36318,GFS invoice 9003246118,2026-01-16T00:06:29+00:00
aae6ef12-7df8-5fe0-9b10-ac9b91b82ec1,234ca5dc-60ce-5b0b-8a70-d223e32835ba,OTHER,-19282,GFS invoice 9012388498,2026-01-16T00:06:29+00:00
c869facc-9cd5-566a-9c8d-3408f580ce57,234ca5dc-60ce-5b0b-8a70-d223e32835ba,OTHER,-4383,GFS invoice 9012419964,2026-01-16T00:06:29+00:00
bf8c599b-d58f-52df-a3ef-685a06ed7c42,0a0cba80-2147-54c3-a479-cd8f57d372cd,OTHER,-12312,GFS invoice 9012713784,2026-01-16T00:06:29+00:00
80cfa0ed-dc79-54e6-9830-01165c86f1ea,08f1b6fe-11d8-5312-8ade-900f2595635d,OTHER,-45207,GFS invoice 9013501649,2026-01-16T00:06:29+00:00
50aae3a0-8749-5659-a510-b0e2697fba0d,c96c5ed0-f99d-5984-8079-2eedd64ce580,OTHER,-40280,GFS invoice 9013663225,2026-01-16T00:06:29+00:00
37e83848-464e-565f-8290-655839d33486,c96c5ed0-f99d-5984-8079-2eedd64ce580,OTHER,-15879,GFS invoice 9013664381,2026-01-16T00:06:29+00:00
bd3e3535-c168-547c-bf47-f94fc69ba25d,bed24e12-9be4-5258-a20e-deea567a6a58,OTHER,-13152,GFS invoice 9013824877,2026-01-16T00:06:29+00:00
29c7d4d1-4257-5e9e-bec6-d4dc555375ee,bed24e12-9be4-5258-a20e-deea567a6a58,OTHER,-61625,GFS invoice 9013837326,2026-01-16T00:06:29+00:00
0c05659f-7160-5ff7-b344-4f66a4b6f892,bed24e12-9be4-5258-a20e-deea567a6a58,OTHER,-15764,GFS invoice 9014036877,2026-01-16T00:06:29+00:00
f0f282a6-489b-58cb-8e1e-4ed86a38e232,0ce21ad0-67b8-5c6f-87a6-efd0c1af12cc,OTHER,-48132,GFS invoice 9014096231,2026-01-16T00:06:29+00:00
df50b658-05e6-578f-9e62-e1ee2265268f,0ce21ad0-67b8-5c6f-87a6-efd0c1af12cc,OTHER,-66365,GFS invoice 9014294880,2026-01-16T00:06:29+00:00
0b812ce4-b5b6-59f3-bf09-1959ca7724fd,339c747e-3cf4-59cc-a584-f9474c7cc5e0,OTHER,-51940,GFS invoice 9014383591,2026-01-16T00:06:29+00:00
2cc52b07-317b-51d7-84bf-ddf91d0daf2a,339c747e-3cf4-59cc-a584-f9474c7cc5e0,OTHER,-9091,GFS invoice 9014406188,2026-01-16T00:06:29+00:00
039fad0f-66ad-5e51-8a23-255f9f183f91,339c747e-3cf4-59cc-a584-f9474c7cc5e0,OTHER,-20020,GFS invoice 9014549646,2026-01-16T00:06:29+00:00
d43ca9f9-0ae4-534d-b6bb-a16a6b833188,0881dc3d-a37c-542c-aa70-71503cbf4b72,OTHER,-90312,GFS invoice 9014589017,2026-01-16T00:06:29+00:00
579fa5dc-c39e-5ec7-9389-0f3365b15858,0881dc3d-a37c-542c-aa70-71503cbf4b72,OTHER,-12084,GFS invoice 9014609851,2026-01-16T00:06:29+00:00
b204af81-0f1a-5c3a-b80e-5e2f01daf1f7,0881dc3d-a37c-542c-aa70-71503cbf4b72,OTHER,-57063,GFS invoice 9014750800,2026-01-16T00:06:29+00:00
6ba26f7c-e49c-53e2-87ca-924fad5b3b06,0881dc3d-a37c-542c-aa70-71503cbf4b72,OTHER,-28305,GFS invoice 9014783184,2026-01-16T00:06:29+00:00
9f71b371-52e2-5c8a-9f01-22f96d82e831,6fa65c80-874a-564f-9647-a91f5b3699ba,OTHER,-78939,GFS invoice 9014962246,2026-01-16T00:06:29+00:00
20f94a37-0e33-56a8-9d0a-c60153327ecf,6fa65c80-874a-564f-9647-a91f5b3699ba,OTHER,-46951,GFS invoice 9015055269,2026-01-16T00:06:29+00:00
88325959-4d99-524a-a6b9-6bc3a1a4db7e,72aa84f2-6367-51ef-9b25-2a96d71f9380,OTHER,-96158,GFS invoice 9015111433,2026-01-16T00:06:29+00:00
4b731afd-bc14-56ae-a47e-0d7321eda94b,72aa84f2-6367-51ef-9b25-2a96d71f9380,OTHER,-38552,GFS invoice 9015204709,2026-01-16T00:06:29+00:00
2a7e0b96-cfb6-54fd-92f1-ebc3820e8f2e,72aa84f2-6367-51ef-9b25-2a96d71f9380,OTHER,-60957,GFS invoice 9015302439,2026-01-16T00:06:29+00:00
0a97a8b9-c4c6-5376-9be1-af1015a1c354,4b679081-4a09-5688-a742-5e6968450f6f,OTHER,11984,GFS invoice 2001780129,2026-01-16T00:06:29+00:00
0513276d-816c-593b-9f67-06d56060df7a,4b679081-4a09-5688-a742-5e6968450f6f,OTHER,-127554,GFS invoice 9015480379,2026-01-16T00:06:29+00:00
4fbdbb84-a1d7-5642-81ba-335627bf0404,4b679081-4a09-5688-a742-5e6968450f6f,OTHER,-69073,GFS invoice 9015554603,2026-01-16T00:06:29+00:00
2c3b019f-9730-5875-b61c-df898c555a31,da5f9d61-e604-5c96-8960-768576b8910a,OTHER,-85783,GFS invoice 9015806407,2026-01-16T00:06:29+00:00
12f9c9ab-6916-567c-b757-c5db3ae5f681,da5f9d61-e604-5c96-8960-768576b8910a,OTHER,-6911,GFS invoice 9015806844,2026-01-16T00:06:29+00:00
ce9e28c2-ada2-51f1-b686-606a6a0ffacf,8e063313-da21-54b6-bf7a-1718cd5988c0,OTHER,-137572,GFS invoice 9015983805,2026-01-16T00:06:29+00:00
aa9e27eb-ba7a-516c-be63-af146a2fd749,0fa05da1-d4db-580a-8796-33604a80ff97,OTHER,-79374,GFS invoice 9016098857,2026-01-16T00:06:29+00:00
33da8123-b77f-5647-ac28-876854103aa9,0fa05da1-d4db-580a-8796-33604a80ff97,OTHER,-6397,GFS invoice 9016122014,2026-01-16T00:06:29+00:00
0d8ae41a-c504-5bf4-bdcc-5464e69f4531,0fa05da1-d4db-580a-8796-33604a80ff97,OTHER,-92656,GFS invoice 9016230977,2026-01-16T00:06:29+00:00
3b4477c4-d8c2-5e4f-8c44-8f4cea4e820e,1d486620-c928-586b-b4a3-15344b50672d,OTHER,-99331,GFS invoice 9016490855,2026-01-16T00:06:29+00:00
fb92fe3a-b929-585d-8136-87886b02f164,1d486620-c928-586b-b4a3-15344b50672d,OTHER,-20020,GFS invoice 9016564992,2026-01-16T00:06:29+00:00
eb8acf20-ab34-5f9a-9d3e-d89f60e88a5a,bf66ccf8-f0b6-5a1f-afc1-22578cf4f99d,OTHER,-127503,GFS invoice 9016753711,2026-01-16T00:06:29+00:00
03f4f6bb-941d-5caf-97b1-4f5c9fb67cba,cbcc0f2d-84c6-5790-86a7-38f6cb57bd51,OTHER,-155470,GFS invoice 9016950083,2026-01-16T00:06:29+00:00
43f23508-f5b0-5ead-bd5c-72a7fcb12842,cbcc0f2d-84c6-5790-86a7-38f6cb57bd51,OTHER,-53092,GFS invoice 9017022468,2026-01-16T00:06:29+00:00
fcb37d4a-429a-5185-b254-876328d93c74,f3872bd7-ad19-50e6-9abf-6063827a6d67,OTHER,-21962,GFS invoice 9017091772,2026-01-16T00:06:29+00:00
9da19947-2c86-50c0-b816-f10c5ec27990,f3872bd7-ad19-50e6-9abf-6063827a6d67,OTHER,-94431,GFS invoice 9017258411,2026-01-16T00:06:29+00:00
50828d8e-c529-5bae-991b-485b5177af9e,df131f63-e122-51cc-bbe1-9b4acd69a8ac,OTHER,-46643,GFS invoice 9017524422,2026-01-16T00:06:29+00:00
035a86a6-7bae-5db1-a9d8-373893d34771,23387e61-4fca-5eb1-b56d-bbc62121f161,OTHER,-36319,GFS invoice 9017785533,2026-01-16T00:06:29+00:00
131b03b9-2cb9-5a2a-a534-c56fec78e1f1,23387e61-4fca-5eb1-b56d-bbc62121f161,OTHER,-92546,GFS invoice 9017847614,2026-01-16T00:06:29+00:00
9ddb0e40-7e94-5cb4-bd31-5b926db7e559,3b32b958-5759-576b-bdf0-ddbd9f92ea4a,OTHER,-114776,GFS invoice 9018093147,2026-01-16T00:06:29+00:00
1ab58d03-b93a-5a18-92b3-b8f6e8a701b9,3b32b958-5759-576b-bdf0-ddbd9f92ea4a,OTHER,-44544,GFS invoice 9018118048,2026-01-16T00:06:29+00:00
b415ce2a-e273-5138-997a-c20db4105eed,5cffdd86-8e97-5e68-af62-1d31424055c1,OTHER,-57056,GFS invoice 9018308927,2026-01-16T00:06:29+00:00
