id,notification_id,invoice_number,tran_date,disc_date,due_date,customer_po,tran_amount_cents,disc_amount_cents,net_amount_cents,created_at,updated_at
69f262e5-7fb6-5d9b-9f0e-9f49fe0d4cd2,f9721773-d9bd-57af-9ce6-70c89711773b,9003246118,2023-09-01,,2023-09-15,,36318,0,36318,2026-01-16T00:04:29+00:00,2026-01-16T00:04:29+00:00
4e948a50-470a-55d1-bb1c-67565083a397,e4cf8b8e-d598-5202-af4f-6fa1d4122bdf,9002908697,2023-08-11,,2023-08-25,,12391,0,12391,2026-01-16T00:04:29+00:00,2026-01-16T00:04:29+00:00
eb9fe70b-7aab-5980-9f7a-303a63efcaa1,e4cf8b8e-d598-5202-af4f-6fa1d4122bdf,9002912093,2023-08-11,,2023-08-25,,115764,0,115764,2026-01-16T00:04:29+00:00,2026-01-16T00:04:29+00:00
4976a5d8-c7b3-58ca-aa12-f384e8deba9f,ee986bd7-e648-52b8-addc-c50e79fb7b01,9000928937,2023-02-13,,2023-03-03,,31560,0,31560,2026-01-16T00:04:29+00:00,2026-01-16T00:04:29+00:00
e10c4d2b-9eb9-52b9-9e2f-32e8f003c0dd,ee986bd7-e648-52b8-addc-c50e79fb7b01,9000949831,2023-02-15,,2023-03-03,,34420,0,34420,2026-01-16T00:04:29+00:00,2026-01-16T00:04:29+00:00
a456dc11-303a-543c-931a-befc210a2cd3,ee986bd7-e648-52b8-addc-c50e79fb7b01,9000958348,2023-02-16,,2023-03-03,,130599,0,130599,2026-01-16T00:04:29+00:00,2026-01-16T00:04:29+00:00
b67eba82-4748-5d73-bf1c-72506f1e3744,ee986bd7-e648-52b8-addc-c50e79fb7b01,9000961592,2023-02-16,,2023-03-03,,11468,0,11468,2026-01-16T00:04:29+00:00,2026-01-16T00:04:29+00:00
f6783118-7e56-5fdf-b693-1678f79bad93,b60f7a77-31e4-505e-85f9-b8ad3ef5aaac,9000805757,2023-01-30,,2023-02-17,,24684,0,24684,2026-01-16T00:04:29+00:00,2026-01-16T00:04:29+00:00
19cc6359-ffde-5eaa-a88c-3c0eb2616ee9,b60f7a77-31e4-505e-85f9-b8ad3ef5aaac,9000835048,2023-02-02,,2023-02-17,,25358,0,25358,2026-01-16T00:04:29+00:00,2026-01-16T00:04:29+00:00
022463d4-446e-5db8-829e-b6547220a514,b60f7a77-31e4-505e-85f9-b8ad3ef5aaac,9000850185,2023-02-03,,2023-02-17,,62017,0,62017,2026-01-16T00:04:29+00:00,2026-01-16T00:04:29+00:00
4c860f4c-6102-5a5f-9907-13bb91803458,bca6c0e6-d6f2-50a2-8fd5-573605a64ec9,9000790770,2023-01-27,,2023-02-10,,44708,0,44708,2026-01-16T00:04:29+00:00,2026-01-16T00:04:29+00:00
f324a0cd-6cf3-5466-8cd7-e18f60a8239f,acc9e781-5381-5e4a-be8d-e2f7df392fcc,9000743849,2023-01-19,,2023-02-03,,94550,0,94550,2026-01-16T00:04:29+00:00,2026-01-16T00:04:29+00:00
77953525-6fe1-530b-a3a1-73b8af79ddcb,56caf768-264d-5e4d-95f0-e8fc04cbc069,9000662675,2023-01-05,,2023-01-20,,101490,0,101490,2026-01-16T00:04:29+00:00,2026-01-16T00:04:29+00:00
a8a7c18e-33b9-5a28-af96-8aa5e0360b9f,52882265-d98f-56f9-a2e5-146c8955cd6a,9002081541,2023-06-08,,2023-06-23,,26568,0,26568,2026-01-16T00:04:29+00:00,2026-01-16T00:04:29+00:00
f2d76358-ea84-5662-84d9-f4a16f15de2f,bce2e106-cef0-5d53-88ac-4c33ec43e914,9002186430,2023-06-16,,2023-06-30,,14004,0,14004,2026-01-16T00:04:29+00:00,2026-01-16T00:04:29+00:00
72015e95-dcf2-5950-961f-6aa8deb2fe1e,bce2e106-cef0-5d53-88ac-4c33ec43e914,9002189920,2023-06-16,,2023-06-30,,10250,0,10250,2026-01-16T00:04:29+00:00,2026-01-16T00:04:29+00:00
4480c2e9-933a-5705-a78d-edae8cc3b88e,9f85a148-d69a-566c-a266-17536cf9df4f,9001887078,2023-05-23,,2023-06-09,,15500,0,15500,2026-01-16T00:04:29+00:00,2026-01-16T00:04:29+00:00
cc0a4e8c-f993-5428-8009-f668426c73f9,b4d5568b-a2a4-51ac-852a-f8aa9294c16c,9001456694,2023-04-13,,2023-04-28,,152961,0,152961,2026-01-16T00:04:29+00:00,2026-01-16T00:04:29+00:00
31a2a5b6-6098-5e51-bdda-5bc35d1ce322,b4d5568b-a2a4-51ac-852a-f8aa9294c16c,9001473020,2023-04-14,,2023-04-28,,15188,0,15188,2026-01-16T00:04:29+00:00,2026-01-16T00:04:29+00:00
b1076a14-ce0f-5039-9468-8c7085e16ee0,57dbfcbe-0f74-5384-a424-3d7fa5b13c7e,9001280741,2023-03-24,,2023-04-07,,22684,0,22684,2026-01-16T00:04:29+00:00,2026-01-16T00:04:29+00:00
555832cc-81dd-54fd-97e7-009175698e0d,5a542993-0d1e-5549-a48f-fbf53d063a63,9001141258,2023-03-09,,2023-03-24,,146385,0,146385,2026-01-16T00:04:29+00:00,2026-01-16T00:04:29+00:00
3b8e839c-c6a5-5c43-9f9c-456837121d53,126b9e86-461d-55ed-846c-c7cef96e1173,9001045444,2023-02-27,,2023-03-17,,7323,0,7323,2026-01-16T00:04:29+00:00,2026-01-16T00:04:29+00:00
