id,report_id,source_row,payment_gateway,digital_wallet,credit_card_type,credit_card_tier,billing_country,order_sales_channel,transactions_count,gross_payments_cents,refunded_payments_cents,net_payments_cents,raw_json,created_at,updated_at
6b2f598d-8118-509e-ba77-0f530845a7c4,c80f058d-157d-5623-8fa7-480094b82621,1,shopify_payments,,interac,standard,,Point of Sale,1045,1040232,0,1040232,"{""Billing country"": """", ""Credit card tier"": ""standard"", ""Credit card type"": ""interac"", ""Digital wallet"": """", ""Gross payments"": ""10402.32"", ""Net payments"": ""10402.32"", ""Order sales channel"": ""Point of Sale"", ""Payment gateway"": ""shopify_payments"", ""Refunded payments"": ""0"", ""Transactions"": ""1045""}",2026-01-15T17:12:44+00:00,2026-01-15T17:12:44+00:00
728fa973-5cd8-5846-8ec9-81477a3dc3db,c80f058d-157d-5623-8fa7-480094b82621,2,cash,,,,,Point of Sale,987,844395,-3999,840396,"{""Billing country"": """", ""Credit card tier"": """", ""Credit card type"": """", ""Digital wallet"": """", ""Gross payments"": ""8443.95"", ""Net payments"": ""8403.96"", ""Order sales channel"": ""Point of Sale"", ""Payment gateway"": ""cash"", ""Refunded payments"": ""-39.99"", ""Transactions"": ""987""}",2026-01-15T17:12:44+00:00,2026-01-15T17:12:44+00:00
f12e20cd-c2dc-5a70-9946-7cc087ae7114,c80f058d-157d-5623-8fa7-480094b82621,3,shopify_payments,,visa,standard,,Point of Sale,162,144970,0,144970,"{""Billing country"": """", ""Credit card tier"": ""standard"", ""Credit card type"": ""visa"", ""Digital wallet"": """", ""Gross payments"": ""1449.7"", ""Net payments"": ""1449.7"", ""Order sales channel"": ""Point of Sale"", ""Payment gateway"": ""shopify_payments"", ""Refunded payments"": ""0"", ""Transactions"": ""162""}",2026-01-15T17:12:44+00:00,2026-01-15T17:12:44+00:00
254b5e95-6ee7-5e66-a322-f901ba54d689,c80f058d-157d-5623-8fa7-480094b82621,4,shopify_payments,,master,standard,,Point of Sale,99,108125,0,108125,"{""Billing country"": """", ""Credit card tier"": ""standard"", ""Credit card type"": ""master"", ""Digital wallet"": """", ""Gross payments"": ""1081.25"", ""Net payments"": ""1081.25"", ""Order sales channel"": ""Point of Sale"", ""Payment gateway"": ""shopify_payments"", ""Refunded payments"": ""0"", ""Transactions"": ""99""}",2026-01-15T17:12:44+00:00,2026-01-15T17:12:44+00:00
ea5a4cab-fc72-5826-b4cd-35b94c307afe,c80f058d-157d-5623-8fa7-480094b82621,5,shopify_payments,shopify_pay,visa,standard,Canada,Online Store,5,11146,0,11146,"{""Billing country"": ""Canada"", ""Credit card tier"": ""standard"", ""Credit card type"": ""visa"", ""Digital wallet"": ""shopify_pay"", ""Gross payments"": ""111.46"", ""Net payments"": ""111.46"", ""Order sales channel"": ""Online Store"", ""Payment gateway"": ""shopify_payments"", ""Refunded payments"": ""0"", ""Transactions"": ""5""}",2026-01-15T17:12:44+00:00,2026-01-15T17:12:44+00:00
e304ae77-b944-5198-831e-7c5ae9f90b2a,c80f058d-157d-5623-8fa7-480094b82621,6,paypal,,,,Canada,Online Store,4,8491,0,8491,"{""Billing country"": ""Canada"", ""Credit card tier"": """", ""Credit card type"": """", ""Digital wallet"": """", ""Gross payments"": ""84.91"", ""Net payments"": ""84.91"", ""Order sales channel"": ""Online Store"", ""Payment gateway"": ""paypal"", ""Refunded payments"": ""0"", ""Transactions"": ""4""}",2026-01-15T17:12:44+00:00,2026-01-15T17:12:44+00:00
1b856561-adf3-5207-beee-8b3f9d9963e1,c80f058d-157d-5623-8fa7-480094b82621,7,shopify_payments,,visa,standard,Canada,Online Store,3,6895,0,6895,"{""Billing country"": ""Canada"", ""Credit card tier"": ""standard"", ""Credit card type"": ""visa"", ""Digital wallet"": """", ""Gross payments"": ""68.95"", ""Net payments"": ""68.95"", ""Order sales channel"": ""Online Store"", ""Payment gateway"": ""shopify_payments"", ""Refunded payments"": ""0"", ""Transactions"": ""3""}",2026-01-15T17:12:44+00:00,2026-01-15T17:12:44+00:00
e245af28-437e-5304-8c99-245e39612d98,c80f058d-157d-5623-8fa7-480094b82621,8,shopify_payments,,american_express,premium,,Point of Sale,4,5699,0,5699,"{""Billing country"": """", ""Credit card tier"": ""premium"", ""Credit card type"": ""american_express"", ""Digital wallet"": """", ""Gross payments"": ""56.99"", ""Net payments"": ""56.99"", ""Order sales channel"": ""Point of Sale"", ""Payment gateway"": ""shopify_payments"", ""Refunded payments"": ""0"", ""Transactions"": ""4""}",2026-01-15T17:12:44+00:00,2026-01-15T17:12:44+00:00
e6934bb7-91f9-5530-9c3e-f5348b310194,c80f058d-157d-5623-8fa7-480094b82621,9,gift_card,,,,,Point of Sale,6,3247,0,3247,"{""Billing country"": """", ""Credit card tier"": """", ""Credit card type"": """", ""Digital wallet"": """", ""Gross payments"": ""32.47"", ""Net payments"": ""32.47"", ""Order sales channel"": ""Point of Sale"", ""Payment gateway"": ""gift_card"", ""Refunded payments"": ""0"", ""Transactions"": ""6""}",2026-01-15T17:12:44+00:00,2026-01-15T17:12:44+00:00
7a6575bf-2578-51a4-8fe9-aef76d2362bc,c80f058d-157d-5623-8fa7-480094b82621,10,shopify_payments,shopify_pay,visa,standard,Canada,Shop,2,2677,0,2677,"{""Billing country"": ""Canada"", ""Credit card tier"": ""standard"", ""Credit card type"": ""visa"", ""Digital wallet"": ""shopify_pay"", ""Gross payments"": ""26.77"", ""Net payments"": ""26.77"", ""Order sales channel"": ""Shop"", ""Payment gateway"": ""shopify_payments"", ""Refunded payments"": ""0"", ""Transactions"": ""2""}",2026-01-15T17:12:44+00:00,2026-01-15T17:12:44+00:00
