id,import_batch_id,source_row,payout_date,status_raw,status_norm,currency,charges_cents,refunds_cents,adjustments_cents,marketplace_sales_tax_cents,advances_cents,reserved_funds_cents,fees_cents,retried_amount_cents,total_cents,raw_json,created_at,updated_at
c6d7da05-dfda-518e-a99c-f1d8bc51f35f,2022795c-0f60-5603-97b6-41f2b0a0522a,1,2025-12-04,in_transit,in_transit,CAD,22599,0,0,0,0,0,247,0,22352,"{""Adjustments"": ""0.00"", ""Advances"": ""0.00"", ""Charges"": ""225.99"", ""Currency"": ""CAD"", ""Fees"": ""2.47"", ""Marketplace Sales Tax"": ""0.00"", ""Payout Date"": ""2025-12-04"", ""Refunds"": ""0.00"", ""Reserved Funds"": ""0.00"", ""Retried Amount"": ""0.00"", ""Status"": ""in_transit"", ""Total"": ""223.52""}",2026-01-15T17:12:40+00:00,2026-01-15T17:12:40+00:00
0fa7af68-b0e6-5a3c-b92d-1afbdb9f3e9d,2022795c-0f60-5603-97b6-41f2b0a0522a,2,2025-12-03,paid,paid,CAD,212142,0,0,0,0,0,2718,0,209424,"{""Adjustments"": ""0.00"", ""Advances"": ""0.00"", ""Charges"": ""2121.42"", ""Currency"": ""CAD"", ""Fees"": ""27.18"", ""Marketplace Sales Tax"": ""0.00"", ""Payout Date"": ""2025-12-03"", ""Refunds"": ""0.00"", ""Reserved Funds"": ""0.00"", ""Retried Amount"": ""0.00"", ""Status"": ""paid"", ""Total"": ""2094.24""}",2026-01-15T17:12:40+00:00,2026-01-15T17:12:40+00:00
6eeee2e5-135d-5a0e-aa28-2f18e6596c49,2022795c-0f60-5603-97b6-41f2b0a0522a,3,2025-12-02,paid,paid,CAD,29468,0,0,0,0,0,470,0,28998,"{""Adjustments"": ""0.00"", ""Advances"": ""0.00"", ""Charges"": ""294.68"", ""Currency"": ""CAD"", ""Fees"": ""4.70"", ""Marketplace Sales Tax"": ""0.00"", ""Payout Date"": ""2025-12-02"", ""Refunds"": ""0.00"", ""Reserved Funds"": ""0.00"", ""Retried Amount"": ""0.00"", ""Status"": ""paid"", ""Total"": ""289.98""}",2026-01-15T17:12:40+00:00,2026-01-15T17:12:40+00:00
cee558d3-2bf9-55f6-ab1c-55197daba70d,2022795c-0f60-5603-97b6-41f2b0a0522a,4,2025-12-01,paid,paid,CAD,15423,0,0,0,0,0,264,0,15159,"{""Adjustments"": ""0.00"", ""Advances"": ""0.00"", ""Charges"": ""154.23"", ""Currency"": ""CAD"", ""Fees"": ""2.64"", ""Marketplace Sales Tax"": ""0.00"", ""Payout Date"": ""2025-12-01"", ""Refunds"": ""0.00"", ""Reserved Funds"": ""0.00"", ""Retried Amount"": ""0.00"", ""Status"": ""paid"", ""Total"": ""151.59""}",2026-01-15T17:12:40+00:00,2026-01-15T17:12:40+00:00
26b8940b-90ac-5024-9f52-a8a6ac06abc0,2022795c-0f60-5603-97b6-41f2b0a0522a,5,2025-11-28,paid,paid,CAD,6481,0,0,0,0,0,112,0,6369,"{""Adjustments"": ""0.00"", ""Advances"": ""0.00"", ""Charges"": ""64.81"", ""Currency"": ""CAD"", ""Fees"": ""1.12"", ""Marketplace Sales Tax"": ""0.00"", ""Payout Date"": ""2025-11-28"", ""Refunds"": ""0.00"", ""Reserved Funds"": ""0.00"", ""Retried Amount"": ""0.00"", ""Status"": ""paid"", ""Total"": ""63.69""}",2026-01-15T17:12:40+00:00,2026-01-15T17:12:40+00:00
c80d2953-3833-5c1e-9a51-9865d6f4f8fc,2022795c-0f60-5603-97b6-41f2b0a0522a,6,2025-11-27,paid,paid,CAD,29509,0,0,0,0,0,430,0,29079,"{""Adjustments"": ""0.00"", ""Advances"": ""0.00"", ""Charges"": ""295.09"", ""Currency"": ""CAD"", ""Fees"": ""4.30"", ""Marketplace Sales Tax"": ""0.00"", ""Payout Date"": ""2025-11-27"", ""Refunds"": ""0.00"", ""Reserved Funds"": ""0.00"", ""Retried Amount"": ""0.00"", ""Status"": ""paid"", ""Total"": ""290.79""}",2026-01-15T17:12:40+00:00,2026-01-15T17:12:40+00:00
bb829caf-0387-5fda-a171-b7146e397794,2022795c-0f60-5603-97b6-41f2b0a0522a,7,2025-11-26,paid,paid,CAD,278304,0,0,0,0,0,3581,0,274723,"{""Adjustments"": ""0.00"", ""Advances"": ""0.00"", ""Charges"": ""2783.04"", ""Currency"": ""CAD"", ""Fees"": ""35.81"", ""Marketplace Sales Tax"": ""0.00"", ""Payout Date"": ""2025-11-26"", ""Refunds"": ""0.00"", ""Reserved Funds"": ""0.00"", ""Retried Amount"": ""0.00"", ""Status"": ""paid"", ""Total"": ""2747.23""}",2026-01-15T17:12:40+00:00,2026-01-15T17:12:40+00:00
3e54da7e-2f27-59b5-baa9-d3386b8f93cb,2022795c-0f60-5603-97b6-41f2b0a0522a,8,2025-11-25,paid,paid,CAD,156980,0,0,0,0,0,1796,0,155184,"{""Adjustments"": ""0.00"", ""Advances"": ""0.00"", ""Charges"": ""1569.80"", ""Currency"": ""CAD"", ""Fees"": ""17.96"", ""Marketplace Sales Tax"": ""0.00"", ""Payout Date"": ""2025-11-25"", ""Refunds"": ""0.00"", ""Reserved Funds"": ""0.00"", ""Retried Amount"": ""0.00"", ""Status"": ""paid"", ""Total"": ""1551.84""}",2026-01-15T17:12:40+00:00,2026-01-15T17:12:40+00:00
84133f08-ee41-5488-beb9-10e5f5027881,2022795c-0f60-5603-97b6-41f2b0a0522a,9,2025-11-24,paid,paid,CAD,15297,0,0,0,0,0,250,0,15047,"{""Adjustments"": ""0.00"", ""Advances"": ""0.00"", ""Charges"": ""152.97"", ""Currency"": ""CAD"", ""Fees"": ""2.50"", ""Marketplace Sales Tax"": ""0.00"", ""Payout Date"": ""2025-11-24"", ""Refunds"": ""0.00"", ""Reserved Funds"": ""0.00"", ""Retried Amount"": ""0.00"", ""Status"": ""paid"", ""Total"": ""150.47""}",2026-01-15T17:12:40+00:00,2026-01-15T17:12:40+00:00
63eb7e3d-91d4-5ffc-906b-bf18572b60bb,2022795c-0f60-5603-97b6-41f2b0a0522a,10,2025-11-21,paid,paid,CAD,8950,0,0,0,0,0,178,0,8772,"{""Adjustments"": ""0.00"", ""Advances"": ""0.00"", ""Charges"": ""89.50"", ""Currency"": ""CAD"", ""Fees"": ""1.78"", ""Marketplace Sales Tax"": ""0.00"", ""Payout Date"": ""2025-11-21"", ""Refunds"": ""0.00"", ""Reserved Funds"": ""0.00"", ""Retried Amount"": ""0.00"", ""Status"": ""paid"", ""Total"": ""87.72""}",2026-01-15T17:12:40+00:00,2026-01-15T17:12:40+00:00
