id,bank_txn_id,target_type,target_id,amount_cents,notes,created_at
1,714,WAVE_BILL,486,40000,MC payment for Costco split - $400 portion,2026-01-21 17:59:25
2,612,WAVE_BILL,575,40000,MC payment for Costco split,2026-01-21 17:59:25
3,1637,WAVE_BILL,41,9254,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=4116 cc_purchase_txn_id=4123,2026-01-21 17:59:31
4,1638,WAVE_BILL,71,121536,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=4117 cc_purchase_txn_id=4121,2026-01-21 17:59:31
5,1642,WAVE_BILL,61,234693,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=4118 cc_purchase_txn_id=4135,2026-01-21 17:59:31
6,1604,WAVE_BILL,77,2996,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1551 cc_purchase_txn_id=1581,2026-01-21 17:59:31
7,1571,WAVE_BILL,58,8437,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1532 cc_purchase_txn_id=1624,2026-01-21 17:59:31
8,1570,WAVE_BILL,47,10740,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1533 cc_purchase_txn_id=1645,2026-01-21 17:59:31
9,1578,WAVE_BILL,32,5175,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1535 cc_purchase_txn_id=1663,2026-01-21 17:59:31
10,1579,WAVE_BILL,33,2561,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1537 cc_purchase_txn_id=1665,2026-01-21 17:59:31
11,1585,WAVE_BILL,54,2831,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1541 cc_purchase_txn_id=1626,2026-01-21 17:59:31
12,1587,WAVE_BILL,40,1734,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1542 cc_purchase_txn_id=1644,2026-01-21 17:59:31
13,1586,WAVE_BILL,44,2607,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1543 cc_purchase_txn_id=1646,2026-01-21 17:59:31
14,1598,WAVE_BILL,97,5216,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1547 cc_purchase_txn_id=1553,2026-01-21 17:59:31
15,1565,WAVE_BILL,15,99488,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=4067 cc_purchase_txn_id=4153,2026-01-21 17:59:31
16,1582,WAVE_BILL,45,152352,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=4070 cc_purchase_txn_id=4143,2026-01-21 17:59:31
17,1588,WAVE_BILL,46,13790,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=4072 cc_purchase_txn_id=4144,2026-01-21 17:59:31
18,1580,WAVE_BILL,23,58238,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=4079 cc_purchase_txn_id=4152,2026-01-21 17:59:31
19,1558,WAVE_BILL,9,574,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1518 cc_purchase_txn_id=1846,2026-01-21 17:59:31
20,1538,WAVE_BILL,21,859,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1497 cc_purchase_txn_id=1734,2026-01-21 17:59:31
21,1529,WAVE_BILL,119,7601,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1483 cc_purchase_txn_id=1484,2026-01-21 17:59:31
22,1530,WAVE_BILL,118,18539,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1486 cc_purchase_txn_id=1485,2026-01-21 17:59:31
23,1518,WAVE_BILL,120,11092,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1466 cc_purchase_txn_id=1481,2026-01-21 17:59:31
24,1519,WAVE_BILL,123,5749,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1468 cc_purchase_txn_id=1471,2026-01-21 17:59:31
25,1489,WAVE_BILL,133,14249,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1434 cc_purchase_txn_id=1436,2026-01-21 17:59:31
26,1459,WAVE_BILL,140,3608,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1413 cc_purchase_txn_id=1416,2026-01-21 17:59:31
