id,credit_cc_txn_id,debit_cc_txn_id,allocated_cents,method,bank_txn_id,created_at
1,4116,4123,9254,PAYMENT_SINGLE_EXACT_V1,1637,2026-01-21 17:59:31
2,4117,4121,121536,PAYMENT_SINGLE_EXACT_V1,1638,2026-01-21 17:59:31
3,4118,4135,234693,PAYMENT_SINGLE_EXACT_V1,1642,2026-01-21 17:59:31
4,1551,1581,2996,PAYMENT_SINGLE_EXACT_V1,1604,2026-01-21 17:59:31
5,1532,1624,8437,PAYMENT_SINGLE_EXACT_V1,1571,2026-01-21 17:59:31
6,1533,1645,10740,PAYMENT_SINGLE_EXACT_V1,1570,2026-01-21 17:59:31
7,1535,1663,5175,PAYMENT_SINGLE_EXACT_V1,1578,2026-01-21 17:59:31
8,1537,1665,2561,PAYMENT_SINGLE_EXACT_V1,1579,2026-01-21 17:59:31
9,1541,1626,2831,PAYMENT_SINGLE_EXACT_V1,1585,2026-01-21 17:59:31
10,1542,1644,1734,PAYMENT_SINGLE_EXACT_V1,1587,2026-01-21 17:59:31
11,1543,1646,2607,PAYMENT_SINGLE_EXACT_V1,1586,2026-01-21 17:59:31
12,1547,1553,5216,PAYMENT_SINGLE_EXACT_V1,1598,2026-01-21 17:59:31
13,4067,4153,99488,PAYMENT_SINGLE_EXACT_V1,1565,2026-01-21 17:59:31
14,4070,4143,152352,PAYMENT_SINGLE_EXACT_V1,1582,2026-01-21 17:59:31
15,4072,4144,13790,PAYMENT_SINGLE_EXACT_V1,1588,2026-01-21 17:59:31
16,4079,4152,58238,PAYMENT_SINGLE_EXACT_V1,1580,2026-01-21 17:59:31
17,1518,1846,574,PAYMENT_SINGLE_EXACT_V1,1558,2026-01-21 17:59:31
18,1497,1734,859,PAYMENT_SINGLE_EXACT_V1,1538,2026-01-21 17:59:31
19,1483,1484,7601,PAYMENT_SINGLE_EXACT_V1,1529,2026-01-21 17:59:31
20,1486,1485,18539,PAYMENT_SINGLE_EXACT_V1,1530,2026-01-21 17:59:31
21,1466,1481,11092,PAYMENT_SINGLE_EXACT_V1,1518,2026-01-21 17:59:31
22,1468,1471,5749,PAYMENT_SINGLE_EXACT_V1,1519,2026-01-21 17:59:31
23,1434,1436,14249,PAYMENT_SINGLE_EXACT_V1,1489,2026-01-21 17:59:31
24,1413,1416,3608,PAYMENT_SINGLE_EXACT_V1,1459,2026-01-21 17:59:31
25,3953,3973,121236,PAYMENT_SINGLE_EXACT_V1,1437,2026-01-21 17:59:31
26,1370,1524,1432,PAYMENT_SINGLE_EXACT_V1,1410,2026-01-21 17:59:31
27,1371,1523,2753,PAYMENT_SINGLE_EXACT_V1,1409,2026-01-21 17:59:31
28,1353,1358,3842,PAYMENT_SINGLE_EXACT_V1,1398,2026-01-21 17:59:31
29,1348,1631,5876,PAYMENT_SINGLE_EXACT_V1,1387,2026-01-21 17:59:31
30,1350,1362,28865,PAYMENT_SINGLE_EXACT_V1,1391,2026-01-21 17:59:31
31,1330,1336,738,PAYMENT_SINGLE_EXACT_V1,1372,2026-01-21 17:59:31
32,1332,1337,5449,PAYMENT_SINGLE_EXACT_V1,1371,2026-01-21 17:59:31
33,1333,1356,6375,PAYMENT_SINGLE_EXACT_V1,1368,2026-01-21 17:59:31
34,1334,1344,2892,PAYMENT_SINGLE_EXACT_V1,1369,2026-01-21 17:59:31
35,1302,1317,2588,PAYMENT_SINGLE_EXACT_V1,1348,2026-01-21 17:59:31
36,1303,1310,3013,PAYMENT_SINGLE_EXACT_V1,1346,2026-01-21 17:59:31
37,1304,1340,4823,PAYMENT_SINGLE_EXACT_V1,1349,2026-01-21 17:59:31
38,1305,1312,5352,PAYMENT_SINGLE_EXACT_V1,1343,2026-01-21 17:59:31
39,1306,1316,1107,PAYMENT_SINGLE_EXACT_V1,1345,2026-01-21 17:59:31
40,1307,1322,1179,PAYMENT_SINGLE_EXACT_V1,1344,2026-01-21 17:59:31
41,1296,1311,6780,PAYMENT_SINGLE_EXACT_V1,1333,2026-01-21 17:59:31
42,1299,1325,14038,PAYMENT_SINGLE_EXACT_V1,1336,2026-01-21 17:59:31
43,3870,3874,187393,PAYMENT_SINGLE_EXACT_V1,1335,2026-01-21 17:59:31
44,1290,1295,8203,PAYMENT_SINGLE_EXACT_V1,1325,2026-01-21 17:59:31
45,1291,1292,20593,PAYMENT_SINGLE_EXACT_V1,1326,2026-01-21 17:59:31
46,1244,1267,96143,PAYMENT_SINGLE_EXACT_V1,1302,2026-01-21 17:59:31
47,1245,1259,11982,PAYMENT_SINGLE_EXACT_V1,1289,2026-01-21 17:59:31
48,1246,1256,5130,PAYMENT_SINGLE_EXACT_V1,1288,2026-01-21 17:59:31
49,1247,1280,1300,PAYMENT_SINGLE_EXACT_V1,1293,2026-01-21 17:59:31
50,1248,1268,10554,PAYMENT_SINGLE_EXACT_V1,1295,2026-01-21 17:59:31
51,1249,1274,1147,PAYMENT_SINGLE_EXACT_V1,1299,2026-01-21 17:59:31
52,1250,1264,5996,PAYMENT_SINGLE_EXACT_V1,1298,2026-01-21 17:59:31
53,1251,1283,3619,PAYMENT_SINGLE_EXACT_V1,1300,2026-01-21 17:59:31
54,1229,1258,38101,PAYMENT_SINGLE_EXACT_V1,1275,2026-01-21 17:59:31
55,1230,1239,4796,PAYMENT_SINGLE_EXACT_V1,1274,2026-01-21 17:59:31
56,1231,1240,2995,PAYMENT_SINGLE_EXACT_V1,1271,2026-01-21 17:59:31
57,1232,1235,5988,PAYMENT_SINGLE_EXACT_V1,1270,2026-01-21 17:59:31
58,3833,3829,166598,PAYMENT_SINGLE_EXACT_V1,1268,2026-01-21 17:59:31
59,1209,1214,2130,PAYMENT_SINGLE_EXACT_V1,1252,2026-01-21 17:59:31
60,1210,1218,1207,PAYMENT_SINGLE_EXACT_V1,1249,2026-01-21 17:59:31
61,1211,1219,4352,PAYMENT_SINGLE_EXACT_V1,1250,2026-01-21 17:59:31
62,1203,1205,2194,PAYMENT_SINGLE_EXACT_V1,1235,2026-01-21 17:59:31
63,1180,1190,13328,PAYMENT_SINGLE_EXACT_V1,1208,2026-01-21 17:59:31
64,1181,1189,18239,PAYMENT_SINGLE_EXACT_V1,1207,2026-01-21 17:59:31
65,1182,1188,4383,PAYMENT_SINGLE_EXACT_V1,1205,2026-01-21 17:59:31
66,1183,1187,22743,PAYMENT_SINGLE_EXACT_V1,1206,2026-01-21 17:59:31
67,1184,1179,5421,PAYMENT_SINGLE_EXACT_V1,1204,2026-01-21 17:59:31
68,1167,1170,23656,PAYMENT_SINGLE_EXACT_V1,1194,2026-01-21 17:59:31
69,1168,1174,4118,PAYMENT_SINGLE_EXACT_V1,1193,2026-01-21 17:59:31
70,3775,3782,132574,PAYMENT_SINGLE_EXACT_V1,1195,2026-01-21 17:59:31
71,3734,3744,2743,PAYMENT_SINGLE_EXACT_V1,1155,2026-01-21 17:59:31
72,3738,3742,66747,PAYMENT_SINGLE_EXACT_V1,1157,2026-01-21 17:59:31
73,1131,1141,2988,PAYMENT_SINGLE_EXACT_V1,1145,2026-01-21 17:59:31
74,1134,1144,3515,PAYMENT_SINGLE_EXACT_V1,1146,2026-01-21 17:59:31
75,1119,1124,6549,PAYMENT_SINGLE_EXACT_V1,1135,2026-01-21 17:59:31
76,1120,1125,2892,PAYMENT_SINGLE_EXACT_V1,1136,2026-01-21 17:59:31
77,1121,1143,9492,PAYMENT_SINGLE_EXACT_V1,1137,2026-01-21 17:59:31
78,1087,1093,1990,PAYMENT_SINGLE_EXACT_V1,1120,2026-01-21 17:59:31
79,1088,1095,6328,PAYMENT_SINGLE_EXACT_V1,1119,2026-01-21 17:59:31
80,1089,1094,20989,PAYMENT_SINGLE_EXACT_V1,1118,2026-01-21 17:59:31
81,1085,1086,2008,PAYMENT_SINGLE_EXACT_V1,1115,2026-01-21 17:59:31
82,1050,1059,7111,PAYMENT_SINGLE_EXACT_V1,1104,2026-01-21 17:59:31
83,1035,1036,2964,PAYMENT_SINGLE_EXACT_V1,1097,2026-01-21 17:59:31
84,1022,1025,3481,PAYMENT_SINGLE_EXACT_V1,1093,2026-01-21 17:59:31
85,1023,1024,21352,PAYMENT_SINGLE_EXACT_V1,1094,2026-01-21 17:59:31
86,957,962,2978,PAYMENT_SINGLE_EXACT_V1,1079,2026-01-21 17:59:31
87,903,913,13555,PAYMENT_SINGLE_EXACT_V1,1072,2026-01-21 17:59:31
88,905,916,1401,PAYMENT_SINGLE_EXACT_V1,1073,2026-01-21 17:59:31
89,864,872,4053,PAYMENT_SINGLE_EXACT_V1,1054,2026-01-21 17:59:31
