id,pad_payment_id,invoice_number,amount_cents,wave_bill_id
1,63,2542817,93890,
2,66,2554160,80612,278
3,68,2580163,40802,339
4,62,2536709,91733,144
5,67,2560110,17995,312
6,65,2550997,54052,258
7,76,2548372,89436,755
8,64,2549756,26913,239
9,19,9005873404,97709,164
13,20,9006132497,60146,171
14,11,9004423490,55960,122
15,23,9006727793,107190,204
16,21,9006467889,93305,188
17,26,9007568865,62355,249
18,26,9007669356,64561,253
19,26,9007713769,28028,254
20,26,9007763983,34728,263
25,12,9004638160,96645,127
26,12,9004686201,25354,129
27,8,9003993508,83481,96
28,5,9003665333,60503,73
29,10,9004259902,88092,115
30,10,9004290341,42085,117
31,10,9004309092,14495,116
32,18,9005827880,68371,159
33,13,9004838078,62755,132
34,15,9005163888,93692,141
35,15,9005216555,46453,142
36,14,9005011016,45254,137
37,25,9007456012,87930,243
38,25,9007510570,5057,245
39,3,9003386079,24457,48
40,3,9003462485,27323,55
41,3,9003468379,80876,56
42,9,9004092329,4859,105
43,9,9004106655,85957,107
44,9,9004135560,43027,109
45,7,9003882687,85831,87
46,4,9003552766,6677,63
47,4,9003558293,97396,62
48,16,9005299395,63072,146
49,16,9005357713,155701,147
52,24,9007262291,84378,233
53,6,9003775625,99848,79
54,27,9008498481,119253,286
55,27,9008642890,95899,291
56,22,9006623852,46712,193
57,22,9006683806,10343,198
61,17,9005693526,40934,150
62,2,9003327039,104634,43
63,29,9009454598,38089,305
64,29,9009517084,38089,304
65,30,9009641376,89103,313
66,28,9008934047,28563,297
67,32,9012713784,12312,330
70,34,9013663225,40280,352
71,34,9013664381,15879,351
72,33,9013501649,45207,342
73,36,9014096231,48132,369
74,36,9014294880,66365,375
75,35,9013824877,13152,358
76,35,9013837326,61625,363
77,35,9014036877,15764,366
78,39,9014962246,78939,412
79,39,9015055269,46951,418
80,43,9016098857,79374,472
81,43,9016122014,6397,471
82,43,9016230977,92656,479
83,41,9015806407,85783,460
84,41,9015806844,6911,459
85,40,9015111433,96158,420
86,40,9015204709,38552,423
87,40,9015302439,60957,429
88,37,9014383591,51940,382
89,37,9014406188,9091,383
90,37,9014549646,20020,393
94,46,9016950083,155470,517
95,46,9017022468,53092,518
96,42,9015983805,137572,465
97,38,9014589017,90312,399
98,38,9014609851,12084,398
99,38,9014750800,57063,403
100,38,9014783184,28305,402
101,50,9018093147,114776,562
102,50,9018118048,44544,563
103,48,9017524422,46643,540
104,31,9010616469,5020,320
105,51,9018308927,57056,572
106,51,9018338730,58861,573
107,51,9018356757,14211,574
108,49,9017785533,36319,546
109,49,9017847614,92546,548
110,55,9019510794,88723,
111,44,9016490855,99331,484
112,44,9016564992,20020,485
113,47,9017091772,21962,521
114,47,9017258411,94431,529
115,53,9018826421,132273,595
116,52,9018587030,69568,584
117,52,9018628162,23704,585
118,54,9019024514,24547,605
119,45,9016753711,127503,497
122,57,9020315231,94764,654
123,56,9019803957,64576,
124,58,9020484316,97762,668
127,60,9022611886,22714,701
135,61,9023101066,16357,704
136,59,9020622999,87094,672
137,79,9006903547,21588,220
138,79,9006903744,135781,216
139,79,9007010687,35019,222
140,79,9007044619,5949,224
141,80,9006298062,87739,182
142,81,9008171261,126391,274
143,82,9007911798,79112,266
