id,wave_bill_id,txn_type,txn_id,amount_cents
1,323,BANK,1113,40250
2,323,BANK,1114,40250
3,455,BANK,762,88000
4,501,BANK,762,88000
5,514,BANK,767,4600
6,514,BANK,768,4600
7,365,CC,3495,10000
8,365,CC,3496,10000
9,365,CC,3497,12165
13,18,BANK,1688,500
14,18,BANK,1683,600
15,18,BANK,1684,125
16,18,BANK,1685,200
17,31,BANK,1676,600
18,31,BANK,1677,500
19,148,BANK,1405,47583
20,707,BANK,1405,-68034
21,152,BANK,1543,6500
22,152,BANK,1481,6500
23,152,BANK,1419,6500
24,709,BANK,1629,600
25,709,BANK,1632,250
26,709,BANK,1633,4000
27,716,BANK,1690,600
28,716,BANK,1691,22
29,716,BANK,1692,200
30,716,BANK,1693,125
31,709,BANK,1630,1950
32,709,BANK,1631,1125
33,486,CC,3326,40000
34,486,BANK,777,25474
35,512,BANK,764,41221
36,512,BANK,716,40000
37,575,CC,3131,40000
38,575,BANK,611,16601
