id,invoice_date,vendor_raw,vendor_normalized,vendor_category,total_cents,tax_cents,net_cents,invoice_number,source_row
1,2023-06-01,Town of Amherst - Bill,town of amherst bill,RENT,80500,10500,70000,,2
2,2023-06-06,Mondoux - Bill 8100248,mondoux bill 8100248,MONDOUX,45225,5631,39594,8100248,3
3,2023-06-07,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,2108,0,2108,,4
4,2023-06-07,Gov't of Nova Scotia - Bill 5932,gov t of nova scotia bill 5932,GOV_NS,22259,0,22259,5932,5
5,2023-06-08,GFS - Bill 9002081541,gfs bill 9002081541,GFS,26568,792,25776,9002081541,6
7,2023-06-16,GFS - Bill 9002186430,gfs bill 9002186430,GFS,14004,0,14004,9002186430,8
8,2023-06-16,GFS - Bill 9002189920,gfs bill 9002189920,GFS,10250,0,10250,9002189920,9
9,2023-06-16,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,574,75,499,,10
10,2023-06-29,JE Hastings Limited - Bill 107559,je hastings limited bill 107559,HASTINGS,79488,10368,69120,107559,11
11,2023-06-29,Capital Foods - Bill 2506676,capital foods bill 2506676,CAPITAL,120080,15583,104497,2506676,12
12,2023-06-30,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,3819,195,3624,,13
13,2023-07-01,Town of Amherst - Bill,town of amherst bill,RENT,40250,5250,35000,,14
14,2023-07-08,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,3319,433,2886,,15
15,2023-07-23,Costco - Bill 22134501302122307231334,costco bill 22134501302122307231334,COSTCO,99488,11921,87567,22134501302122307231334,16
16,2023-07-27,Walmart - Bill ,walmart bill,WALMART,7627,870,6757,,17
17,2023-07-31,Amazon - Bill ,amazon bill,AMAZON,2644,345,2299,,18
18,2023-07-31,CIBC - Bill july fees,cibc bill july fees,BANK_FEE,1425,0,1425,,19
19,2023-08-01,Town of Amherst - Bill,town of amherst bill,RENT,40250,5250,35000,,20
20,2023-08-08,Walmart - Bill 6870208,walmart bill 6870208,WALMART,4370,570,3800,6870208,21
21,2023-08-09,Walmart - Bill ,walmart bill,WALMART,859,112,747,,22
22,2023-08-09,Walmart - Bill ,walmart bill,WALMART,859,112,747,,23
23,2023-08-11,Costco - Bill 22134501201752308111243,costco bill 22134501201752308111243,COSTCO,58238,5630,52608,22134501201752308111243,24
24,2023-08-11,GFS - Bill 9002912093,gfs bill 9002912093,GFS,115764,10004,105760,9002912093,25
25,2023-08-11,GFS - Bill 9002908697,gfs bill 9002908697,GFS,12391,1616,10775,9002908697,26
26,2023-08-11,Wholesale Club - Bill ,wholesale club bill,WHOLESALE_CLUB,64368,6801,57567,,27
27,2023-08-12,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,2169,0,2169,,28
28,2023-08-15,Pharmasave - Bill ,pharmasave bill,PHARMASAVE,2451,105,2346,,29
