id,wave_bill_id,match_type,bank_txn_id,cc_txn_id,cc_payment_txn_id,confidence,match_method,date_diff_days,amount_diff_cents,notes
1,3,CC_PURCHASE,,1865,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 0318
2,6,CC_PURCHASE,,1859,1581,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 0318
3,9,CC_PURCHASE,,1846,,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 0318
4,10,CC_PURCHASE,,1806,,HIGH,CC_PURCHASE_VENDOR_7D,7,0,Card 4337 [Auto-approved: exact amount match]
5,14,CC_PURCHASE,,1793,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 0318
6,15,CC_PURCHASE,,4153,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 8154
7,17,CC_PURCHASE,,1764,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 4337
8,20,CC_PURCHASE,,1737,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 0318
9,21,CC_PURCHASE,,1734,,HIGH,CC_PURCHASE_VENDOR_5D,5,0,Card 0318
10,23,CC_PURCHASE,,4152,,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 8154
11,26,CC_PURCHASE,,1730,,HIGH,CC_PURCHASE_AMOUNT_3D,3,0,Card 4337 [Auto-approved: exact amount match]
12,27,CC_PURCHASE,,1728,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 0318
13,28,CC_PURCHASE,,1727,,HIGH,CC_PURCHASE_VENDOR_1D,-1,0,Card 0318
14,29,CC_PURCHASE,,4149,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
15,30,CC_PURCHASE,,1671,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 4337
16,32,CC_PURCHASE,,1663,,HIGH,CC_PURCHASE_AMOUNT_4D,4,0,Card 0318 [Auto-approved: exact amount match]
17,33,CC_PURCHASE,,1665,,HIGH,CC_PURCHASE_VENDOR_4D,4,0,Card 0318
18,37,CC_PURCHASE,,1657,,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 4337
19,38,CC_PURCHASE,,1658,,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 4337
20,40,CC_PURCHASE,,1644,,HIGH,CC_PURCHASE_VENDOR_4D,4,0,Card 0318
21,41,CC_PURCHASE,,4123,1637,HIGH,CC_PURCHASE_VENDOR_21D,21,0,Card 8154 [Auto-approved: exact amount match]
22,44,CC_PURCHASE,,1646,,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 0318
23,45,CC_PURCHASE,,4143,,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 8154
24,46,CC_PURCHASE,,4144,,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 8154
25,47,CC_PAYMENT_TRANSFER,1570,1645,1570,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 0318 [Auto-approved: exact amount match]
26,51,CC_PURCHASE,,1631,,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 0318 [Auto-approved: exact amount match]
27,52,CC_PURCHASE,,1628,,HIGH,CC_PURCHASE_AMOUNT_3D,3,0,Card 0318 [Auto-approved: exact amount match]
28,54,CC_PURCHASE,,1626,,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 0318
29,58,CC_PURCHASE,,1624,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 0318
30,60,CC_PURCHASE,,1619,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 4337
31,61,CC_PURCHASE,,4135,1642,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 8154
32,66,CC_PURCHASE,,4132,,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 7022
33,68,CC_PURCHASE,,4133,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
34,69,CC_PURCHASE,,4131,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 7022 [Auto-approved: exact amount match]
35,71,CC_PURCHASE,,4121,1638,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 8154
36,76,CC_PURCHASE,,1583,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 4337
37,77,CC_PURCHASE,,1581,1604,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 0318
38,80,CC_PURCHASE,,4101,,HIGH,CC_PURCHASE_VENDOR_4D,4,0,Card 7022
39,83,CC_PURCHASE,,4100,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
40,85,CC_PURCHASE,,4098,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
41,88,CC_PAYMENT_TRANSFER,1603,4096,,HIGH,CC_PURCHASE_AMOUNT_3D,3,0,Card 7022 [Auto-approved: exact amount match]
42,89,CC_PURCHASE,,4095,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 7022
43,90,CC_PURCHASE,,4082,,HIGH,CC_PURCHASE_AMOUNT_9D,9,0,Card 7022 [Auto-approved: exact amount match]
44,91,CC_PURCHASE,,4094,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
45,92,CC_PURCHASE,,4093,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 7022
46,97,CC_PURCHASE,,1553,,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 0318
47,98,CC_PURCHASE,,4080,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 7022
48,100,CC_PURCHASE,,4081,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 7022
49,102,CC_PURCHASE,,1524,,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 0318 [Auto-approved: exact amount match]
50,103,CC_PURCHASE,,1523,,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 0318 [Auto-approved: exact amount match]
51,108,CC_PURCHASE,,4058,,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 7022
52,112,CC_PURCHASE,,4053,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 7022
53,113,CC_PURCHASE,,4051,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
54,114,CC_PURCHASE,,4052,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
55,118,CC_PURCHASE,,1485,1530,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 0318
56,119,CC_PAYMENT_TRANSFER,1529,1484,1529,HIGH,CC_PURCHASE_AMOUNT_3D,3,0,Card 0318 [Auto-approved: exact amount match]
57,120,CC_PAYMENT_TRANSFER,1518,1481,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 0318 [Auto-approved: exact amount match]
58,123,CC_PURCHASE,,1471,,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 0318 [Auto-approved: exact amount match]
59,124,CC_PURCHASE,,4047,,HIGH,CC_PURCHASE_VENDOR_4D,4,0,Card 7022
60,128,CC_PURCHASE,,4033,,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 7022
61,133,CC_PURCHASE,,1436,1489,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 0318 [Auto-approved: exact amount match]
62,134,CC_PURCHASE,,4004,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 7022
63,135,CC_PURCHASE,,4000,,HIGH,CC_PURCHASE_VENDOR_4D,4,0,Card 7022
64,138,CC_PURCHASE,,3992,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
65,139,CC_PURCHASE,,3985,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 7022 [Auto-approved: exact amount match]
66,140,CC_PURCHASE,,1416,1459,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 0318
67,143,CC_PURCHASE,,3973,1437,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 8154
68,157,CC_PURCHASE,,3922,,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 7022
69,158,CC_PURCHASE,,1360,,HIGH,CC_PURCHASE_VENDOR_3D,3,0,Card 0318
70,160,CC_PURCHASE,,1362,1096,HIGH,CC_PURCHASE_AMOUNT_3D,3,0,Card 0318 [Auto-approved: exact amount match] | Paid via bank transfer 1096 (2024-05-28).
71,161,CC_PURCHASE,,3919,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 7022
72,162,CC_PURCHASE,,1358,1398,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 0318
73,163,CC_PURCHASE,,1356,,HIGH,CC_PURCHASE_AMOUNT_1D,1,0,Card 0318 [Auto-approved: exact amount match]
74,167,CC_PURCHASE,,1343,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 0318
75,168,CC_PURCHASE,,3899,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 7022
76,169,CC_PURCHASE,,3898,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 7022
77,170,CC_PURCHASE,,1340,,HIGH,CC_PURCHASE_VENDOR_4D,4,0,Card 0318
78,173,CC_PURCHASE,,1337,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 0318
79,174,CC_PURCHASE,,1336,,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 0318
80,175,CC_PURCHASE,,1344,,HIGH,CC_PURCHASE_VENDOR_5D,-5,0,Card 0318
81,177,CC_PURCHASE,,1322,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 0318
82,178,CC_PURCHASE,,1325,1336,HIGH,CC_PURCHASE_AMOUNT_0D,0,0,Card 0318 [Auto-approved: exact amount match]
83,179,CC_PURCHASE,,3887,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 7022
84,180,CC_PURCHASE,,1316,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 0318
85,181,CC_PURCHASE,,1317,,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 0318
86,183,CC_PURCHASE,,1311,1333,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 0318 [Auto-approved: exact amount match]
87,184,CC_PURCHASE,,1310,,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 0318 [Auto-approved: exact amount match]
88,186,CC_PURCHASE,,1312,1343,HIGH,CC_PURCHASE_AMOUNT_2D,2,0,Card 0318 [Auto-approved: exact amount match]
89,189,CC_PURCHASE,,3874,1335,HIGH,CC_PURCHASE_VENDOR_1D,1,0,Card 8154
91,192,CC_PURCHASE,,1295,1325,HIGH,CC_PURCHASE_VENDOR_2D,2,0,Card 0318
