due_date,invoice_number,net_amount,net_amount_cents,file_name,notification_id,notes
2023-06-09,9001887078,155.00,15500,EFT Notification_4.XLS,9f85a148-d69a-566c-a266-17536cf9df4f,No Wave bill match found by invoice_number (may need placeholder).
2023-06-23,9002081541,265.68,26568,EFT Notification_2.XLS,52882265-d98f-56f9-a2e5-146c8955cd6a,No Wave bill match found by invoice_number (may need placeholder).
2023-06-30,9002186430,140.04,14004,EFT Notification_3.XLS,bce2e106-cef0-5d53-88ac-4c33ec43e914,No Wave bill match found by invoice_number (may need placeholder).
2023-06-30,9002189920,102.50,10250,EFT Notification_3.XLS,bce2e106-cef0-5d53-88ac-4c33ec43e914,No Wave bill match found by invoice_number (may need placeholder).
2023-08-25,9002908697,123.91,12391,EFT Notification_1.XLS,e4cf8b8e-d598-5202-af4f-6fa1d4122bdf,No Wave bill match found by invoice_number (may need placeholder).
2023-08-25,9002912093,1157.64,115764,EFT Notification_1.XLS,e4cf8b8e-d598-5202-af4f-6fa1d4122bdf,No Wave bill match found by invoice_number (may need placeholder).
2024-01-05,2000800832,-680.34,-68034,EFT Notification_20.XLS,50ded7c1-f939-5474-8e12-11a9366b588c,No Wave bill match found by invoice_number (may need placeholder).
2024-02-09,9006305521,97.18,9718,EFT Notification_15.XLS,8d695148-11b8-5918-9fd3-3a63d042d137,No Wave bill match found by invoice_number (may need placeholder).
2024-02-09,9006340884,416.76,41676,EFT Notification_15.XLS,8d695148-11b8-5918-9fd3-3a63d042d137,No Wave bill match found by invoice_number (may need placeholder).
2024-04-05,9007987106,785.65,78565,EFT Notification_7.XLS,889e9d5d-7af8-52af-aad1-0f53a5b9c08a,No Wave bill match found by invoice_number (may need placeholder).
2024-04-05,9008002839,258.77,25877,EFT Notification_7.XLS,889e9d5d-7af8-52af-aad1-0f53a5b9c08a,No Wave bill match found by invoice_number (may need placeholder).
2024-04-12,2001077791,-50.57,-5057,EFT Notification_6.XLS,1d633d33-b290-5276-940b-8c06c3eb9587,No Wave bill match found by invoice_number (may need placeholder).
2024-06-14,2001292173,-380.89,-38089,EFT Notification_1.XLS,55856c5d-205e-5cb8-b914-59bb6c8982a5,No Wave bill match found by invoice_number (may need placeholder).
2025-03-07,9019510794,887.23,88723,EFT Notification_23.XLS,74c03ea3-984e-5a76-baa9-3ee60b6a9cdf,No Wave bill match found by invoice_number (may need placeholder).
2025-03-14,9019803957,645.76,64576,EFT Notification_20.XLS,b469d8bd-7167-59bf-a836-95a2a8b91e81,No Wave bill match found by invoice_number (may need placeholder).
