payout_id,payout_date,payout_status,payout_total_cents,payout_total,bank_txn_id,bank_txn_date,bank_amount_cents,bank_amount,bank_desc,bank_line_id,match_confidence,match_method,notes
a24a89c1-911b-5e41-89f9-c2fdab7cd532,2023-06-14,paid,63005,630.05,1696,2023-06-14,63005,630.05,Electronic Funds Transfer MISC PAYMENT Shopify,211a5b1a-72ee-5f15-9a15-2d52114c8a19,98,AUTO_AMOUNT_DATE,EXISTING matched_at=2026-01-15T17:12:48+00:00
1b7fcab5-5cfe-535d-9a8e-31737e2bc901,2023-06-21,paid,92942,929.42,1695,2023-06-21,92942,929.42,Electronic Funds Transfer MISC PAYMENT Shopify,bae4cadf-9453-574f-99b1-f56dfe043741,98,AUTO_AMOUNT_DATE,EXISTING matched_at=2026-01-15T17:12:48+00:00
b128806f-117f-57f2-bc14-5d949f48ec57,2023-07-06,paid,61243,612.43,1687,2023-07-06,61243,612.43,Electronic Funds Transfer MISC PAYMENT Shopify,07fdc4a2-9f11-5349-a2a0-683cc4944658,98,AUTO_AMOUNT_DATE,EXISTING matched_at=2026-01-15T17:12:48+00:00
ad88299a-e999-55ca-8585-3d09d45bca54,2023-08-01,paid,7748,77.48,1682,2023-08-01,7748,77.48,Electronic Funds Transfer MISC PAYMENT Shopify,22e0148f-1e1a-5a70-be6b-5769456bbeb1,98,AUTO_AMOUNT_DATE,EXISTING matched_at=2026-01-15T17:12:48+00:00
c06e437c-859b-515c-b72a-2e341f6f1330,2023-08-16,paid,40257,402.57,1678,2023-08-16,40257,402.57,Electronic Funds Transfer MISC PAYMENT Shopify,44982b1a-f5a5-5af1-8bda-7aac62c12b76,98,AUTO_AMOUNT_DATE,EXISTING matched_at=2026-01-15T17:12:48+00:00
530d6c5d-a00d-55ff-a47b-ccc5d553587d,2023-09-07,paid,90003,900.03,1675,2023-09-07,90003,900.03,Electronic Funds Transfer MISC PAYMENT Shopify,f6eb7a06-49d1-5b67-896f-4c7149d1eba9,98,AUTO_AMOUNT_DATE,EXISTING matched_at=2026-01-15T17:12:48+00:00
1dac54fe-7dc5-5177-94f5-57aa705e79c0,2023-09-08,paid,23923,239.23,1674,2023-09-08,23923,239.23,Electronic Funds Transfer MISC PAYMENT Shopify,bd303a41-d55c-5081-b4a4-f2ee9f6f03db,98,AUTO_AMOUNT_DATE,EXISTING matched_at=2026-01-15T17:12:48+00:00
a2b0eab6-640c-5b13-91f4-9f3c281abde7,2023-09-11,paid,17095,170.95,1673,2023-09-11,17095,170.95,Electronic Funds Transfer MISC PAYMENT Shopify,bda18941-3e50-50e5-a259-98e5e7d824fa,98,AUTO_AMOUNT_DATE,EXISTING matched_at=2026-01-15T17:12:48+00:00
0a6965a6-1319-50a6-9733-6dac6e1910a4,2023-09-12,paid,21642,216.42,1670,2023-09-12,21642,216.42,Electronic Funds Transfer MISC PAYMENT Shopify,b4c57655-210a-5df8-abfd-e1dc062a8906,98,AUTO_AMOUNT_DATE,EXISTING matched_at=2026-01-15T17:12:48+00:00
34aa1df4-0b4d-52e8-96c2-e3a875422d5c,2023-09-13,paid,261361,2613.61,1668,2023-09-13,261361,2613.61,Electronic Funds Transfer MISC PAYMENT Shopify,7c4ddbae-d34a-5c83-bfad-84eafa2ebf2a,98,AUTO_AMOUNT_DATE,EXISTING matched_at=2026-01-15T17:12:48+00:00
119b8e8c-39c4-54a9-b4cf-e759f5ef2336,2023-09-14,paid,6035,60.35,1667,2023-09-14,6035,60.35,Electronic Funds Transfer MISC PAYMENT Shopify,3414fe02-150b-524b-ad38-d270d146f7b0,98,AUTO_AMOUNT_DATE,EXISTING matched_at=2026-01-15T17:12:48+00:00
bbf9bc47-ef20-5da1-ac1e-39fe0a69b3fb,2023-09-15,paid,18023,180.23,1666,2023-09-15,18023,180.23,Electronic Funds Transfer MISC PAYMENT Shopify,71aade61-2825-5ed9-a2e4-01115d46ee1e,98,AUTO_AMOUNT_DATE,EXISTING matched_at=2026-01-15T17:12:48+00:00
57beed07-1d5d-5271-9f4d-0c0ba8ca7404,2023-09-18,paid,13489,134.89,1664,2023-09-18,13489,134.89,Electronic Funds Transfer MISC PAYMENT Shopify,780b19d1-5241-5fde-b9e4-d35553782459,98,AUTO_AMOUNT_DATE,EXISTING matched_at=2026-01-15T17:12:48+00:00
5ec22b56-666c-5fab-ace1-d0918f62184d,2023-09-19,paid,8780,87.80,1657,2023-09-19,8780,87.80,Electronic Funds Transfer MISC PAYMENT Shopify,e3f5225d-6db7-5783-b9e5-f4fa8ec4a141,98,AUTO_AMOUNT_DATE,EXISTING matched_at=2026-01-15T17:12:48+00:00
b78b75a6-ebab-550c-85cc-95ebccc0ce99,2023-09-20,paid,52440,524.40,1655,2023-09-20,52440,524.40,Electronic Funds Transfer MISC PAYMENT Shopify,b6a086bc-98a8-5d93-9060-ab4fa99b0e46,98,AUTO_AMOUNT_DATE,EXISTING matched_at=2026-01-15T17:12:48+00:00
6b8548ce-48ce-53f2-a012-016072dd88c2,2023-09-21,paid,12643,126.43,1654,2023-09-21,12643,126.43,Electronic Funds Transfer MISC PAYMENT Shopify,b2e1b2f8-a2e0-522e-b59d-4b4635d5c4cf,98,AUTO_AMOUNT_DATE,EXISTING matched_at=2026-01-15T17:12:48+00:00
2778a9e2-4e42-56e0-8e49-08ff37ee1e48,2023-09-22,paid,13026,130.26,1653,2023-09-22,13026,130.26,Electronic Funds Transfer MISC PAYMENT Shopify,7e325aff-754d-50d2-bf65-fd8c85d09738,98,AUTO_AMOUNT_DATE,EXISTING matched_at=2026-01-15T17:12:48+00:00
d6d40ce8-bc9b-5414-aabb-b484d8fc612d,2023-09-25,paid,103834,1038.34,1650,2023-09-25,103834,1038.34,Electronic Funds Transfer MISC PAYMENT Shopify,a48f9191-b415-569a-aaaa-ab9f0d517a8b,98,AUTO_AMOUNT_DATE,EXISTING matched_at=2026-01-15T17:12:48+00:00
39fac826-b90b-5337-a296-22dea7abc314,2023-09-26,paid,14212,142.12,1646,2023-09-26,14212,142.12,Electronic Funds Transfer MISC PAYMENT Shopify,8f9df83c-4938-5c99-a74a-862b3ab28cb4,98,AUTO_AMOUNT_DATE,EXISTING matched_at=2026-01-15T17:12:48+00:00
6552b458-2869-5e12-9ac2-51459de51545,2023-09-27,paid,203535,2035.35,1644,2023-09-27,203535,2035.35,Electronic Funds Transfer MISC PAYMENT Shopify,413de04c-2c3d-5c55-aa9b-dca90b6981e8,98,AUTO_AMOUNT_DATE,EXISTING matched_at=2026-01-15T17:12:48+00:00
12f59d6d-b21d-5bd0-981d-fe12412d1e90,2023-09-28,paid,5593,55.93,1636,2023-09-28,5593,55.93,Electronic Funds Transfer MISC PAYMENT Shopify,32054b75-2cd3-5b2f-a484-b3820e5ca0b8,98,AUTO_AMOUNT_DATE,EXISTING matched_at=2026-01-15T17:12:48+00:00
da68cc37-5d82-55ff-ae18-cc3bf6efdef1,2023-09-29,paid,3168,31.68,1635,2023-09-29,3168,31.68,Electronic Funds Transfer MISC PAYMENT Shopify,bd60e1b2-6229-588c-bd68-c7e499abf3c3,98,AUTO_AMOUNT_DATE,EXISTING matched_at=2026-01-15T17:12:48+00:00
3cc2c131-68f5-55d2-a446-350c98c833f4,2023-10-03,paid,2874,28.74,1628,2023-10-03,2874,28.74,Electronic Funds Transfer MISC PAYMENT Shopify,f0f56c11-d443-578a-b0d5-b555e241f613,98,AUTO_AMOUNT_DATE,EXISTING matched_at=2026-01-15T17:12:48+00:00
f64e63fa-342b-5744-88f0-82760f8cbe7e,2023-10-04,paid,11286,112.86,1626,2023-10-04,11286,112.86,Electronic Funds Transfer MISC PAYMENT Shopify,8f7ba0ce-37c8-5f09-9249-307c014c935d,98,AUTO_AMOUNT_DATE,EXISTING matched_at=2026-01-15T17:12:48+00:00
b4b85fae-f1c8-58e0-b62a-f71e44cd8628,2023-10-05,paid,176661,1766.61,1625,2023-10-05,176661,1766.61,Electronic Funds Transfer MISC PAYMENT Shopify,4295d7a4-6135-5fa9-9837-a8e78bf7593e,98,AUTO_AMOUNT_DATE,EXISTING matched_at=2026-01-15T17:12:48+00:00
f007a06a-7eb9-536e-82a1-3ff501450c1c,2023-10-06,paid,5816,58.16,1624,2023-10-06,5816,58.16,Electronic Funds Transfer MISC PAYMENT Shopify,5328ad8f-720a-576b-b1b2-1fc7551dc748,98,AUTO_AMOUNT_DATE,EXISTING matched_at=2026-01-15T17:12:48+00:00
