cc_card_last4,bank_txn_id,bank_date,bank_amount,prev_payment_date,period_wave_matched_purchases,allocated_to_wave_any,allocated_cc_alloc_v1,allocated_manual_split_v1,period_minus_allocated,bank_minus_allocated,bank_description
0318,1604,2023-10-20,29.96,,664.91,29.96,29.96,0.00,634.95,0.00,Internet Banking INTERNET TRANSFER000000112207 4500*********318
0318,1608,2023-10-20,101.93,2023-10-20,0.00,0.00,0.00,0.00,0.00,101.93,Internet Banking INTERNET TRANSFER000000205694 4500*********318
0318,1570,2023-10-23,107.40,2023-10-20,52.16,107.40,107.40,0.00,-55.24,0.00,Internet Banking INTERNET TRANSFER000000103415 4500*********318
0318,1571,2023-10-23,84.37,2023-10-23,0.00,84.37,84.37,0.00,-84.37,0.00,Internet Banking INTERNET TRANSFER000000102896 4500*********318
0318,1577,2023-10-23,303.97,2023-10-23,0.00,0.00,0.00,0.00,0.00,303.97,Internet Banking INTERNET TRANSFER000000108267 4500*********318
0318,1578,2023-10-23,51.75,2023-10-23,0.00,51.75,51.75,0.00,-51.75,0.00,Internet Banking INTERNET TRANSFER000000121103 4500*********318
0318,1579,2023-10-23,25.61,2023-10-23,0.00,25.61,25.61,0.00,-25.61,0.00,Internet Banking INTERNET TRANSFER000000111901 4500*********318
0318,1581,2023-10-23,643.63,2023-10-23,0.00,0.00,0.00,0.00,0.00,643.63,Internet Banking INTERNET TRANSFER000000106609 4500*********318
0318,1584,2023-10-23,6.13,2023-10-23,0.00,0.00,0.00,0.00,0.00,6.13,Internet Banking INTERNET TRANSFER000000117603 4500*********318
0318,1585,2023-10-23,28.31,2023-10-23,0.00,28.31,28.31,0.00,-28.31,0.00,Internet Banking INTERNET TRANSFER000000117091 4500*********318
0318,1586,2023-10-23,26.07,2023-10-23,0.00,26.07,26.07,0.00,-26.07,0.00,Internet Banking INTERNET TRANSFER000000138745 4500*********318
0318,1587,2023-10-23,17.34,2023-10-23,0.00,17.34,17.34,0.00,-17.34,0.00,Internet Banking INTERNET TRANSFER000000138600 4500*********318
0318,1589,2023-10-23,26.44,2023-10-23,0.00,0.00,0.00,0.00,0.00,26.44,Internet Banking INTERNET TRANSFER000000113741 4500*********318
0318,1590,2023-10-23,25.32,2023-10-23,0.00,0.00,0.00,0.00,0.00,25.32,Internet Banking INTERNET TRANSFER000000113102 4500*********318
0318,1592,2023-10-23,29.95,2023-10-23,0.00,0.00,0.00,0.00,0.00,29.95,Internet Banking INTERNET TRANSFER000000111804 4500*********318
0318,1593,2023-10-23,19.54,2023-10-23,0.00,0.00,0.00,0.00,0.00,19.54,Internet Banking INTERNET TRANSFER000000111535 4500*********318
