bank_txn_id,bank_date,bank_amount,bank_description,vendor_parsed,cc_cards,cc_payment_link_count,direct_wave_bill_count,allocated_wave_bill_count,wave_bill_count,wave_bill_rows,wave_bill_total,wave_bill_allocated_total,wave_vs_bank_coverage_pct
350,2025-05-13,408.58,Internet Banking INTERNET TRANSFER000000124759 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
354,2025-05-05,49.03,Internet Banking INTERNET TRANSFER000000212363 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
355,2025-05-05,50.7,Internet Banking INTERNET TRANSFER000000224154 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
356,2025-05-05,51.08,Internet Banking INTERNET TRANSFER000000238360 4500*********318,318,318,1,0,1,1,656,51.08,51.08,100.0
357,2025-05-05,51.07,Internet Banking INTERNET TRANSFER000000223103 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
366,2025-04-24,19.45,Internet Banking INTERNET TRANSFER000000239588 4500*********318,318,318,1,1,1,1,688,19.45,19.45,100.0
368,2025-04-24,333.91,Internet Banking INTERNET TRANSFER000000239082 4500*********318,318,318,1,1,1,1,690,333.91,333.91,100.0
369,2025-04-24,27.83,Internet Banking INTERNET TRANSFER000000226086 4500*********318,318,318,1,0,1,1,691,27.83,27.83,100.0
371,2025-04-24,121.94,Internet Banking INTERNET TRANSFER000000224206 4500*********318,318,318,1,1,0,1,687,121.94,0.0,0.0
372,2025-04-24,45.99,Internet Banking INTERNET TRANSFER000000219119 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
393,2025-04-11,132.68,Internet Banking INTERNET TRANSFER000000209665 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
394,2025-04-11,132.68,Internet Banking INTERNET TRANSFER000000232671 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
395,2025-04-11,131.53,Internet Banking INTERNET TRANSFER000000232524 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
396,2025-04-11,132.68,Internet Banking INTERNET TRANSFER000000223432 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
397,2025-04-11,132.68,Internet Banking INTERNET TRANSFER000000209412 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
404,2025-04-08,72.26,Internet Banking INTERNET TRANSFER000000123303 4500*********318,318,318,1,1,1,1,682,72.26,72.26,100.0
406,2025-04-08,68.55,Internet Banking INTERNET TRANSFER000000131654 4500*********318,318,318,1,0,1,1,684,68.55,68.55,100.0
428,2025-03-26,59.52,Internet Banking INTERNET TRANSFER000000207786 4500*********318,318,318,1,1,1,1,676,59.52,59.52,100.0
429,2025-03-26,93.02,Internet Banking INTERNET TRANSFER000000207570 4500*********318,318,318,1,1,1,1,674,93.02,93.02,100.0
430,2025-03-26,8.92,Internet Banking INTERNET TRANSFER000000221991 4500*********318,318,318,1,0,1,1,672,8.92,8.92,100.0
431,2025-03-26,97.19,Internet Banking INTERNET TRANSFER000000221837 4500*********318,318,318,1,1,1,1,671,97.19,97.19,100.0
442,2025-03-20,120.68,Internet Banking INTERNET TRANSFER000000200356 4500*********318,318,318,1,0,1,1,658,120.68,120.68,100.0
443,2025-03-20,12.64,Internet Banking INTERNET TRANSFER000000200055 4500*********318,318,318,1,0,1,1,660,12.64,12.64,100.0
444,2025-03-20,20.68,Internet Banking INTERNET TRANSFER000000216612 4500*********318,318,318,1,0,1,1,659,20.68,20.68,100.0
446,2025-03-20,34.49,Internet Banking INTERNET TRANSFER000000232270 4500*********318,318,318,1,0,1,1,664,34.49,34.49,100.0
447,2025-03-20,116.58,Internet Banking INTERNET TRANSFER000000232002 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
448,2025-03-20,2531.83,Internet Banking INTERNET TRANSFER000000229549 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
449,2025-03-20,166.28,Internet Banking INTERNET TRANSFER000000228795 4500*********318,318,318,1,1,1,1,668,166.28,166.28,100.0
450,2025-03-20,682.18,Internet Banking INTERNET TRANSFER000000215345 4500*********318,318,318,1,1,1,1,667,682.18,682.18,100.0
453,2025-03-18,157.07,Internet Banking INTERNET TRANSFER000000123208 4500*********318,318,318,1,0,1,1,661,1393.93,157.07,100.0
454,2025-03-18,1236.86,Internet Banking INTERNET TRANSFER000000119217 4500*********318,318,318,1,0,1,1,661,1393.93,1236.86,100.0
459,2025-03-17,58.62,Internet Banking INTERNET TRANSFER000000233425 4500*********318,318,318,1,1,0,1,649,58.62,0.0,0.0
460,2025-03-17,37.92,Internet Banking INTERNET TRANSFER000000210685 4500*********318,318,318,1,1,0,1,652,37.92,0.0,0.0
461,2025-03-17,19.54,Internet Banking INTERNET TRANSFER000000233183 4500*********318,318,318,1,1,0,1,651,19.54,0.0,0.0
462,2025-03-17,195.45,Internet Banking INTERNET TRANSFER000000233002 4500*********318,318,318,1,1,0,1,650,195.46,0.0,0.0
464,2025-03-17,110.86,Internet Banking INTERNET TRANSFER000000231745 4500*********318,318,318,1,0,1,1,657,110.86,110.86,100.0
466,2025-03-17,80.08,Internet Banking INTERNET TRANSFER000000231004 4500*********318,318,318,1,0,1,1,654,80.08,80.08,100.0
468,2025-03-17,1869.91,Internet Banking INTERNET TRANSFER000000230086 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
469,2025-03-17,27.6,Internet Banking INTERNET TRANSFER000000239486 4500*********318,318,318,1,0,1,1,645,27.6,27.6,100.0
470,2025-03-17,21.81,Internet Banking INTERNET TRANSFER000000238704 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
471,2025-03-17,66.17,Internet Banking INTERNET TRANSFER000000238346 4500*********318,318,318,1,0,1,1,644,66.17,66.17,100.0
472,2025-03-17,305.31,Internet Banking INTERNET TRANSFER000000224078 4500*********318,318,318,1,1,1,1,643,305.31,305.31,100.0
475,2025-03-17,44.95,Internet Banking INTERNET TRANSFER000000223004 4500*********318,318,318,1,0,1,1,642,44.95,44.95,100.0
501,2025-03-05,412.83,Internet Banking INTERNET TRANSFER000000123015 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
516,2025-02-27,632.28,Internet Banking INTERNET TRANSFER000000233434 4500*********318,318,318,1,1,0,1,629,632.28,0.0,0.0
519,2025-02-27,1958.2,Internet Banking INTERNET TRANSFER000000134508 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
520,2025-02-27,193.24,Internet Banking INTERNET TRANSFER000000134104 4500*********318,318,318,1,0,1,1,621,193.24,193.24,100.0
523,2025-02-27,26.25,Internet Banking INTERNET TRANSFER000000128460 4500*********318,318,318,1,0,1,1,609,26.25,26.25,100.0
524,2025-02-27,49.27,Internet Banking INTERNET TRANSFER000000127940 4500*********318,318,318,1,0,1,1,624,49.27,49.27,100.0
525,2025-02-27,129.86,Internet Banking INTERNET TRANSFER000000127351 4500*********318,318,318,1,0,1,1,622,129.86,129.86,100.0
526,2025-02-27,15.61,Internet Banking INTERNET TRANSFER000000110149 4500*********318,318,318,1,0,1,1,634,15.61,15.61,100.0
528,2025-02-27,282.0,Internet Banking INTERNET TRANSFER000000105803 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
555,2025-02-12,601.67,Internet Banking INTERNET TRANSFER000000112387 4500*********318,318,318,1,1,1,1,605,601.67,601.67,100.0
556,2025-02-12,329.65,Internet Banking INTERNET TRANSFER000000203455 4500*********318,318,318,1,0,1,1,607,329.65,329.65,100.0
557,2025-02-12,4391.25,Internet Banking INTERNET TRANSFER000000226583 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
558,2025-02-12,2314.34,Internet Banking INTERNET TRANSFER000000226144 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
559,2025-02-12,155.41,Internet Banking INTERNET TRANSFER000000214182 4500*********318,318,318,1,0,1,1,608,155.41,155.41,100.0
560,2025-02-12,21.01,Internet Banking INTERNET TRANSFER000000225716 4500*********318,318,318,1,0,1,1,595,21.01,21.01,100.0
562,2025-02-12,1033.68,Internet Banking INTERNET TRANSFER000000213701 4500*********318,318,318,1,1,1,1,615,1033.68,1033.68,100.0
564,2025-02-12,119.04,Internet Banking INTERNET TRANSFER000000201689 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
565,2025-02-12,11.69,Internet Banking INTERNET TRANSFER000000237080 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
576,2025-02-10,40.74,Internet Banking INTERNET TRANSFER000000136083 4500*********318,318,318,1,1,0,1,503,40.74,0.0,0.0
577,2025-02-10,36.79,Internet Banking INTERNET TRANSFER000000107356 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
578,2025-02-10,72.22,Internet Banking INTERNET TRANSFER000000114754 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
605,2025-01-27,79.7,Internet Banking INTERNET TRANSFER000000220129 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
606,2025-01-27,76.91,Internet Banking INTERNET TRANSFER000000229528 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
608,2025-01-27,42.18,Internet Banking INTERNET TRANSFER000000212562 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
609,2025-01-27,60.0,Internet Banking INTERNET TRANSFER000000212447 5268*********154,154,154,1,0,1,1,509,60.0,60.0,100.0
610,2025-01-27,121.89,Internet Banking INTERNET TRANSFER000000227569 5268*********154,154,154,1,1,1,1,578,121.89,121.89,100.0
612,2025-01-27,400.0,Internet Banking INTERNET TRANSFER000000227045 5268*********154,154,154,2,0,1,1,576,566.01,800.0,200.0
613,2025-01-27,28.0,Internet Banking INTERNET TRANSFER000000212141 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
614,2025-01-27,185.03,Internet Banking INTERNET TRANSFER000000235128 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
615,2025-01-27,146.15,Internet Banking INTERNET TRANSFER000000234778 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
616,2025-01-27,228.83,Internet Banking INTERNET TRANSFER000000234567 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
