id,bank_txn_id,cc_txn_id,amount_cents,card_last4,date_diff_days
1,1637,4116,9254,154,1
2,1638,4117,121536,154,1
3,1642,4118,234693,154,1
4,1643,4119,112951,154,1
5,1601,4086,8249,154,3
6,1602,4087,6254,154,3
7,1603,4088,22407,154,3
8,1604,1551,2996,318,3
9,1605,4083,85132,154,3
10,1606,4085,4827,154,3
11,1607,4084,23673,154,3
12,1608,1552,10193,318,3
13,1564,4066,6254,154,1
14,1565,4067,99488,154,1
15,1570,1533,10740,318,1
16,1571,1532,8437,318,1
17,1573,4077,5635,154,1
18,1574,4078,4018,154,1
19,1575,4076,3771,154,1
20,1577,1536,30397,318,1
21,1578,1535,5175,318,1
22,1579,1537,2561,318,1
23,1580,4079,58238,154,1
24,1581,1534,64363,318,1
25,1582,4070,152352,154,1
26,1583,4071,7010,154,1
27,1584,1540,613,318,1
28,1585,1541,2831,318,1
29,1586,1543,2607,318,1
30,1587,1542,1734,318,1
31,1588,4072,13790,154,1
32,1589,1538,2644,318,1
33,1590,1539,2532,318,1
34,1591,4074,1954,154,1
35,1592,1544,2995,318,1
36,1593,1545,1954,318,1
37,1594,1546,2995,318,1
38,1595,4073,5913,154,1
39,1596,4075,16785,154,1
40,1597,4069,1024,154,1
41,1598,1547,5216,318,1
42,1563,4065,7883,154,1
43,1557,1519,3819,318,1
44,1558,1518,574,318,1
45,1560,4063,137182,154,1
46,1554,1513,4022,318,3
47,1547,1509,9159,318,1
48,1548,4057,6404,154,1
49,1549,1507,4599,318,1
50,1550,1506,4082,318,1
51,1551,4056,58657,154,1
52,1537,4054,197798,154,1
53,1538,1497,859,318,1
54,1539,4055,63181,154,1
55,1540,1498,194291,318,1
56,1533,1489,6832,318,1
57,1534,1491,18442,318,1
58,1535,1490,715,318,1
59,1529,1483,7601,318,3
60,1530,1486,18539,318,3
61,1516,4049,13800,154,1
62,1517,1464,92900,318,1
63,1518,1466,11092,318,1
64,1519,1468,5749,318,1
65,1520,4048,136617,154,1
66,1506,4037,6356,154,1
67,1494,4022,165922,154,1
68,1489,1434,14249,318,1
69,1482,4002,15899,154,1
70,1483,4001,1148,154,1
71,1469,3999,212938,154,3
72,1471,3998,4658,154,3
73,1472,1419,8212,318,3
74,1473,1418,1161,318,3
75,1474,1417,28163,318,3
76,1475,1421,6782,318,3
77,1476,3997,6695,154,3
78,1466,3989,3131,154,1
79,1458,3981,3562,154,1
80,1459,1413,3608,318,1
81,1460,3980,119488,154,1
82,1455,1410,19237,318,3
83,1437,3953,121236,154,1
84,1421,1387,2636,318,1
85,1422,1385,2868,318,1
86,1424,1386,4181,318,1
87,1426,1388,26537,318,1
88,1409,1371,2753,318,1
89,1410,1370,1432,318,1
90,1411,1369,3366,318,1
91,1412,1372,10254,318,1
92,1413,3931,3560,154,1
93,1414,1375,4342,318,1
94,1415,1374,4887,318,1
95,1416,1373,2753,318,1
96,1398,1353,3842,318,1
97,1399,3917,199638,154,1
98,1401,3921,7414,154,0
99,1402,1365,29230,318,0
100,1403,3920,2010,154,0
101,1404,1366,2010,318,0
102,1393,1352,3987,318,1
103,1394,3913,3449,154,1
104,1395,3914,2299,154,1
105,1387,1348,5876,318,1
106,1388,1349,19237,318,1
107,1391,1350,28865,318,1
108,1378,3903,8497,154,1
109,1379,3902,3999,154,1
110,1368,1333,6375,318,1
111,1369,1334,2892,318,1
112,1370,1331,10403,318,1
113,1371,1332,5449,318,1
114,1372,1330,738,318,1
115,1343,1305,5352,318,1
116,1344,1307,1179,318,1
117,1345,1306,1107,318,1
118,1346,1303,3013,318,1
119,1347,3879,148980,154,1
120,1348,1302,2588,318,1
121,1349,1304,4823,318,1
122,1341,3877,152197,154,1
123,1333,1296,6780,318,1
124,1334,3871,4001,154,1
125,1335,3870,187393,154,1
126,1336,1299,14038,318,1
127,1337,1297,43474,318,1
128,1325,1290,8203,318,1
129,1326,1291,20593,318,1
130,1318,3859,24971,154,1
131,1288,1246,5130,318,1
132,1289,1245,11982,318,1
133,1292,3844,224931,154,1
134,1293,1247,1300,318,1
135,1295,1248,10554,318,1
136,1298,1250,5996,318,1
137,1299,1249,1147,318,1
138,1300,1251,3619,318,1
139,1302,1244,96143,318,1
140,1270,1232,5988,318,1
141,1271,1231,2995,318,1
142,1272,3838,9897,154,1
143,1274,1230,4796,318,1
144,1275,1229,38101,318,1
145,1268,3833,166598,154,1
146,1249,1210,1207,318,1
147,1250,1211,4352,318,1
148,1252,1209,2130,318,1
149,1254,3810,123876,154,1
150,1235,1203,2194,318,1
151,1236,3806,14362,154,1
152,1216,3800,63249,154,1
153,1217,3801,4595,154,1
154,1219,3796,161259,154,1
155,1204,1184,5421,318,1
156,1205,1182,4383,318,1
157,1206,1183,22743,318,1
158,1207,1181,18239,318,1
159,1208,1180,13328,318,1
160,1193,1168,4118,318,1
161,1194,1167,23656,318,1
162,1195,3775,132574,154,1
163,1174,3760,81189,154,1
164,1175,3758,125173,154,1
165,1167,3754,20378,154,1
166,1168,3753,10735,154,1
