id,bank_txn_id,vendor,payment_date,total_cents,source_pdf
1,1665,GFS,2023-09-15,36318,
2,1651,GFS,2023-09-22,104634,
3,1634,GFS,2023-09-29,132656,
4,1623,GFS,2023-10-06,104073,
5,1614,GFS,2023-10-13,60503,
6,1600,GFS,2023-10-20,99848,
7,1553,GFS,2023-10-27,85831,
8,1528,GFS,2023-11-03,83481,
9,1513,GFS,2023-11-10,133843,
10,1500,GFS,2023-11-17,144672,
11,1491,GFS,2023-11-24,55960,
12,1468,GFS,2023-12-01,121999,
13,1454,GFS,2023-12-08,62755,
14,1441,GFS,2023-12-15,45254,
15,1433,GFS,2023-12-22,140145,
16,1420,GFS,2023-12-29,218773,
17,1384,GFS,2024-01-12,40934,
18,1374,GFS,2024-01-19,68371,
19,1357,GFS,2024-01-26,97709,
20,1331,GFS,2024-02-02,60146,
21,1309,GFS,2024-02-16,93305,
22,1282,GFS,2024-02-23,57055,
23,1262,GFS,2024-03-01,107190,
24,1214,GFS,2024-03-15,84378,
25,1201,GFS,2024-03-22,92987,
26,1181,GFS,2024-04-01,189672,
27,1125,GFS,2024-04-26,215152,
28,1121,GFS,2024-05-03,28563,
29,1105,GFS,2024-05-17,76178,
30,1099,GFS,2024-05-24,89103,
31,1083,GFS,2024-06-21,5020,
32,1065,GFS,2024-08-23,12312,
33,1031,GFS,2024-09-13,45207,
34,1011,GFS,2024-09-20,56159,
35,994,GFS,2024-09-27,90541,
36,972,GFS,2024-10-04,114497,
37,950,GFS,2024-10-11,81051,
38,931,GFS,2024-10-18,187764,
39,900,GFS,2024-10-25,125890,
40,877,GFS,2024-11-01,195667,
41,831,GFS,2024-11-15,92694,
42,810,GFS,2024-11-22,137572,
43,797,GFS,2024-11-29,178427,
44,759,GFS,2024-12-06,119351,
45,738,GFS,2024-12-13,127503,
46,711,GFS,2024-12-20,208562,
47,705,GFS,2024-12-27,116393,
48,692,GFS,2025-01-03,46643,
49,640,GFS,2025-01-17,128865,
50,626,GFS,2025-01-24,159320,
51,598,GFS,2025-01-31,130128,
52,585,GFS,2025-02-07,93272,
53,552,GFS,2025-02-14,132273,
54,543,GFS,2025-02-21,24547,
55,497,GFS,2025-03-07,88723,
56,481,GFS,2025-03-14,64576,
57,424,GFS,2025-03-28,94764,
58,412,GFS,2025-04-04,97762,
59,392,GFS,2025-04-11,87094,
60,341,GFS,2025-05-30,22714,
61,323,GFS,2025-06-13,16357,
62,1428,CAPITAL,2023-12-27,91733,
63,1322,CAPITAL,2024-02-07,93890,
64,1203,CAPITAL,2024-03-20,26913,
65,1187,CAPITAL,2024-03-27,54052,
66,1141,CAPITAL,2024-04-17,80612,
67,1100,CAPITAL,2024-05-22,17995,
68,1034,CAPITAL,2024-09-11,40802,
69,936,CAPITAL,2024-10-16,129047,
70,882,CAPITAL,2024-10-30,33604,
71,801,CAPITAL,2024-11-27,229195,
72,670,CAPITAL,2025-01-08,162525,
73,601,CAPITAL,2025-01-29,82951,
74,500,CAPITAL,2025-03-05,125074,
75,427,CAPITAL,2025-03-26,111097,
76,1221,CAPITAL,2024-03-13,89436,Capital Foodservice PAP Emails/2024-03-11_Capital Foodservice PAP Payment for CUR300 14587430 CANADA INC_18e2dcb66370c1e0.html
77,588,CAPITAL,2025-02-05,100396,
78,400,CAPITAL,2025-04-09,147206,
79,1242,GFS,2024-03-08,198337,EFT Notification_10.XLS (4 invoices)
80,1320,GFS,2024-02-09,139133,EFT Notification_14.XLS (3 invoices)
81,1154,GFS,2024-04-12,121334,EFT Notification_5.XLS (2 invoices)
82,1171,GFS,2024-04-05,183554,EFT Notification_7.XLS (3 invoices)
83,1070,GFS,2024-08-16,23665,
84,853,GFS,2024-11-08,184643,
85,513,GFS,2025-02-28,212495,
86,440,GFS,2025-03-21,97193,
87,836,CAPITAL,2024-11-13,93534,
88,721,CAPITAL,2024-12-18,10061,
89,694,CAPITAL,2025-01-02,82006,
