Product,Category,Quantity,Case Count,Case Cost,/Unit Cost,Supplier,SKU,Total,
,,,,,,,,10015.46843,10015.46843
,Dry Food,,,,,,,656.98375,
,Condiments,,,,,,,640.3914208,
,Beverages,,,,,,,930.75,
,Frozen,,,,,,,1365.977833,
,Disposables,,,,,,,2010.30275,
,Snacks,,,,,,,4411.062678,
Chilli,Dry Food,3,6,12,2,Costco,,6,
Costco Chicken,Dry Food,24,6,18.99,3.165,Costco,,75.96,
Lemon Juice,Dry Food,3,2,6,3,Costco,,9,
House Blend Coffee,Dry Food,5,1,18,18,Costco,,90,
Kirkland K-Cups,Dry Food,129,125,45,0.36,Costco,,46.44,
Green Tea,Dry Food,9,50,60,1.2,Costco,,10.8,
Mustard Packets,Condiments,418,504,20.29,0.04025793651,GFS,9814205,16.82781746,
Sweet and Sour Packs,Condiments,133,100,24.05,0.2405,GFS,2122605,31.9865,
Malt Vinegar,Condiments,200,500,29.85,0.0597,GFS,8093066,11.94,
White Vinegar,Condiments,500,500,20.58,0.04116,GFS,9814605,20.58,
Relish,Condiments,506,500,39.01,0.07802,GFS,2385605,39.47812,
Cranberry Sauce,Condiments,177,200,57.01,0.28505,GFS,1286297,50.45385,
Raw Sugar,Condiments,1000,1000,34.7,0.0347,GFS,2333405,34.7,
Splenda,Condiments,90,1000,41.02,0.04102,GFS,1304734,3.6918,
Sugar Portion,Condiments,400,2000,34.39,0.017195,GFS,1111867,6.878,
Salt,Condiments,8500,6000,27.88,0.004646666667,GFS,,39.49666667,
Pepper Portion,Condiments,4600,6000,40.02,0.00667,GFS,1070754,30.682,
Sour Cream,Condiments,32,96,41.03,0.4273958333,GFS,,13.67666667,
Paper Portion Cup,Disposables,4500,5000,175.73,0.035146,GFS,,158.157,
2Oz Portion Plastic Lids,Disposables,650,2500,43.5,0.0174,Capital,PL200N,11.31,
2oz Portion Plastic Cups,Disposables,500,2500,49.17,0.019668,Capital,200PC,9.834,
Fries,Frozen,9,6,40.04,6.673333333,GFS,,60.06,
Crinkle Cut Fries,Frozen,11,6,51.67,8.611666667,GFS,,94.72833333,
Hashbrowns,Frozen,1,1,7.99,7.99,Costco,558916,7.99,
Onion Rings,Frozen,5,1,22.52,22.52,GFS,,112.6,
Mozza Bites,Frozen,26,1,18.99,18.99,,237785,493.74,
Chicken Strips,Frozen,25,4,35.99,8.9975,,,224.9375,
Sweet Potato Fries,Frozen,1,5,54.56,10.912,,,10.912,
Pepperoni (Large),Frozen,11,1,16.99,16.99,Superstore,,186.89,
Breakfast Wraps,Frozen,2,1,17.99,17.99,,,35.98,
