Product,Category,Quantity,Unit Cost,Total,Notes
,,,,5129.04,"ESTIMATE: FY2024 ending inventory derived from FY2025 physical count item list, scaled down; target_center=$5137.00 band=[5087.00,5187.00]."
,Beverages,,,475.38,Scaled from FY2025 item list; quantities rounded where applicable.
Alani Energy,Beverages,1,1.666667,1.67,rounded qty
Alani Protein,Beverages,8,2,16.00,rounded qty
Big 8 Water,Beverages,13,0.291667,3.79,rounded qty
Biosteel,Beverages,32,1.458333,46.67,rounded qty
Bottles of Pop,Beverages,94,1.375,129.25,rounded qty
Cans of Pop,Beverages,226,0.666667,150.67,rounded qty
Gatorade,Beverages,37,1.333333,49.33,rounded qty
Oasis Juice,Beverages,10,0.5,5.00,rounded qty
Premier Protein,Beverages,18,1.666667,30.00,rounded qty
Redbull,Beverages,12,1.75,21.00,rounded qty
Starburst Drinks,Beverages,4,0.5,2.00,rounded qty
Sunny D,Beverages,20,1,20.00,rounded qty
,Condiments,,,329.26,Scaled from FY2025 item list; quantities rounded where applicable.
4L Bottles of Sauce,Condiments,4,28,112.00,rounded qty
Bottles of Ranch,Condiments,6,6,36.00,rounded qty
Bottles of Salt,Condiments,5,1.666667,8.33,rounded qty
Can of Ketchup,Condiments,1,9,9.00,rounded qty
Cranberry Sauce,Condiments,91,0.28505,25.94,rounded qty
Ketchup Large Bottle,Condiments,2,5,10.00,rounded qty
Malt Vinegar,Condiments,103,0.0597,6.15,rounded qty
Mustard Packets,Condiments,214,0.040258,8.62,rounded qty
Pepper Portion,Condiments,2359,0.00667,15.73,rounded qty
Raw Sugar,Condiments,513,0.0347,17.80,rounded qty
Relish,Condiments,260,0.07802,20.29,rounded qty
Salt,Condiments,4360,0.004647,20.26,rounded qty
Sour Cream,Condiments,16,0.427396,6.84,rounded qty
Splenda,Condiments,46,0.04102,1.89,rounded qty
Sugar Portion,Condiments,205,0.017195,3.52,rounded qty
Sweet and Sour Packs,Condiments,68,0.2405,16.35,rounded qty
White Vinegar,Condiments,256,0.04116,10.54,rounded qty
,Disposables,,,1030.83,Scaled from FY2025 item list; quantities rounded where applicable.
10 oz Containers,Disposables,51,0.1,5.10,rounded qty
2oz Portion Plastic Cups,Disposables,256,0.019668,5.04,rounded qty
2Oz Portion Plastic Lids,Disposables,333,0.0174,5.79,rounded qty
3oz disposable cups,Disposables,256,0.049153,12.58,rounded qty
3oz lids,Disposables,641,0.049865,31.96,rounded qty
5lb bags,Disposables,1026,0.03796,38.95,rounded qty
6x6 containers,Disposables,641,0.26974,172.90,rounded qty
8oz cups,Disposables,308,0.11403,35.12,rounded qty
8oz lids,Disposables,308,0.07048,21.71,rounded qty
8x8 Containers,Disposables,385,0.5378,207.05,rounded qty
Coffee Cups,Disposables,436,0.12705,55.39,rounded qty
Coffee Lids,Disposables,256,0.10882,27.86,rounded qty
Coffee Stirrers,Disposables,2565,0.007206,18.48,rounded qty
Drink Trays,Disposables,123,0.146667,18.04,rounded qty
hot dog holders,Disposables,1128,0.048,54.14,rounded qty
Jr Napkins,Disposables,769,0.025,19.23,rounded qty
Nacho Trays,Disposables,154,0.37246,57.36,rounded qty
Oil Filters,Disposables,180,0.35754,64.36,rounded qty
Paper Portion Cup,Disposables,2308,0.035146,81.12,rounded qty
Plates,Disposables,64,0.8,51.20,rounded qty
US Forks,Disposables,1026,0.03,30.78,rounded qty
Ziploc Bags,Disposables,5,3.333333,16.67,rounded qty
,Dry Food,,,367.24,Scaled from FY2025 item list; quantities rounded where applicable.
Canola Oil,Dry Food,2,48,96.00,rounded qty
Chilli,Dry Food,2,2,4.00,rounded qty
Costco Chicken,Dry Food,12,3.165,37.98,rounded qty
Fry Powder,Dry Food,0.13,100,13.00,rounded qty
Gravy,Dry Food,11,5.60875,61.70,rounded qty
Green Tea,Dry Food,5,1.2,6.00,rounded qty
House Blend Coffee,Dry Food,3,18,54.00,rounded qty
Kirkland K-Cups,Dry Food,66,0.36,23.76,rounded qty
