wave_bill_id,invoice_date,vendor_raw,vendor_norm,invoice_number,fuel_cents,method,notes
49,2023-09-12,Canadian Tire Gas - Bill,canadian tire gas bill,,6096,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=MANUAL_CATEGORY_FILE; sources=/home/clarencehub/Fresh/Fresher/categories/output/wave_bills_missing_account_categories_added_with_safe_autofill_v4.csv
51,2023-09-14,Irving - Bill,irving bill,,5110,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2024Accounts.csv
710,2023-12-06,Fuel - Triangle,fuel triangle,FUEL-TRIANGLE-20231206,12072,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=MANUAL_CATEGORY_FILE; sources=/home/clarencehub/Fresh/Fresher/categories/output/wave_bills_missing_account_categories_added_with_safe_autofill_v4.csv
711,2023-12-28,Fuel - Triangle,fuel triangle,FUEL-TRIANGLE-20231228,12072,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=MANUAL_CATEGORY_FILE; sources=/home/clarencehub/Fresh/Fresher/categories/output/wave_bills_missing_account_categories_added_with_safe_autofill_v4.csv
184,2024-01-27,Circle K - Bill,circle k bill,,2620,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2024Accounts.csv
190,2024-02-01,Esso - Bill,esso bill,,3479,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2024Accounts.csv
196,2024-02-08,Canadian Tire Gas - Bill,canadian tire gas bill,,4994,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2024Accounts.csv
205,2024-02-14,Circle K - Bill,circle k bill,,11596,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2024Accounts.csv
225,2024-02-24,Shell Gas - Bill,shell gas bill,,11805,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2024Accounts.csv
241,2024-03-05,Shell Gas - Bill,shell gas bill,,7786,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2024Accounts.csv
257,2024-03-13,Shell Gas - Bill,shell gas bill,,11783,FRESHER_CATEGORIES_ALLOC,source_key=fresher_categories_wave_bill_allocations_csv; wave_account=Vehicle – Fuel; match_methods=DATE_AMOUNT_VENDOR_SCORE; sources=/home/clarencehub/Fresh/dump/FY2024Accounts.csv
