fy,source_fy2025_path,source_fy2025_total,target_center,target_lower,target_upper,scale_factor,result_total,category,product,qty,unit_cost,line_total,notes
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Beverages,Alani Energy,1,1.666667,1.67,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Beverages,Alani Protein,8,2,16.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Beverages,Big 8 Water,13,0.291667,3.79,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Beverages,Biosteel,32,1.458333,46.67,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Beverages,Bottles of Pop,94,1.375,129.25,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Beverages,Cans of Pop,226,0.666667,150.67,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Beverages,Gatorade,37,1.333333,49.33,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Beverages,Oasis Juice,10,0.5,5.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Beverages,Premier Protein,18,1.666667,30.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Beverages,Redbull,12,1.75,21.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Beverages,Starburst Drinks,4,0.5,2.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Beverages,Sunny D,20,1,20.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Condiments,4L Bottles of Sauce,4,28,112.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Condiments,Bottles of Ranch,6,6,36.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Condiments,Bottles of Salt,5,1.666667,8.33,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Condiments,Can of Ketchup,1,9,9.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Condiments,Cranberry Sauce,91,0.28505,25.94,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Condiments,Ketchup Large Bottle,2,5,10.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Condiments,Malt Vinegar,103,0.0597,6.15,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Condiments,Mustard Packets,214,0.040258,8.62,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Condiments,Pepper Portion,2359,0.00667,15.73,rounded qty
