fy,order_sales_channel,tx_count,gross_payments,refunded_payments,net_payments,gross_cents,refunded_cents,net_cents
FY2024,point of sale,19679,184349.34,-114.45,184234.89,18434934,-11445,18423489
FY2024,online store,351,8312.06,-206.98,8105.08,831206,-20698,810508
FY2024,draft orders,3,1307.87,0.00,1307.87,130787,0,130787
FY2024,shop,19,292.84,0.00,292.84,29284,0,29284
FY2024,shopify mobile for android,1,91.76,0.00,91.76,9176,0,9176
FY2024,unknown,6,15.52,-15.52,0.00,1552,-1552,0
FY2025,point of sale,25382,244857.18,-212.80,244644.38,24485718,-21280,24464438
FY2025,online store,543,11274.55,-19.50,11255.05,1127455,-1950,1125505
FY2025,shop,49,1019.20,0.00,1019.20,101920,0,101920
FY2025,draft orders,3,224.00,-160.00,64.00,22400,-16000,6400
FY2025,shopify mobile for iphone,1,20.00,0.00,20.00,2000,0,2000
FY2025,shopify mobile for android,1,10.40,0.00,10.40,1040,0,1040
