bank_txn_id,bank_date,deposit_cents,deposit,float_return_cents,float_return,cash_sales_cents,cash_sales,journal_entry_id
1694,2023-06-27,51545,515.45,0,0.00,51545,515.45,BANK_INFLOW_CASH_DEPOSIT_1694
1671,2023-09-11,250000,2500.00,0,0.00,250000,2500.00,BANK_INFLOW_CASH_DEPOSIT_1671
1652,2023-09-22,200000,2000.00,0,0.00,200000,2000.00,BANK_INFLOW_CASH_DEPOSIT_1652
1621,2023-10-10,500000,5000.00,0,0.00,500000,5000.00,BANK_INFLOW_CASH_DEPOSIT_1621
1567,2023-10-23,300000,3000.00,0,0.00,300000,3000.00,BANK_INFLOW_CASH_DEPOSIT_1567
1544,2023-10-31,421500,4215.00,29500,295.00,392000,3920.00,BANK_INFLOW_CASH_DEPOSIT_1544
1515,2023-11-09,105000,1050.00,26500,265.00,78500,785.00,BANK_INFLOW_CASH_DEPOSIT_1515
1502,2023-11-16,165000,1650.00,8500,85.00,156500,1565.00,BANK_INFLOW_CASH_DEPOSIT_1502
1479,2023-12-01,300000,3000.00,0,0.00,300000,3000.00,BANK_INFLOW_CASH_DEPOSIT_1479
1462,2023-12-06,315000,3150.00,0,0.00,315000,3150.00,BANK_INFLOW_CASH_DEPOSIT_1462
1429,2023-12-27,355000,3550.00,5450,54.50,349550,3495.50,BANK_INFLOW_CASH_DEPOSIT_1429
1392,2024-01-09,450000,4500.00,0,0.00,450000,4500.00,BANK_INFLOW_CASH_DEPOSIT_1392
1354,2024-01-29,120750,1207.50,0,0.00,120750,1207.50,BANK_INFLOW_CASH_DEPOSIT_1354
1355,2024-01-29,403000,4030.00,0,0.00,403000,4030.00,BANK_INFLOW_CASH_DEPOSIT_1355
1304,2024-02-21,580000,5800.00,0,0.00,580000,5800.00,BANK_INFLOW_CASH_DEPOSIT_1304
1259,2024-03-04,177000,1770.00,0,0.00,177000,1770.00,BANK_INFLOW_CASH_DEPOSIT_1259
1245,2024-03-07,268300,2683.00,0,0.00,268300,2683.00,BANK_INFLOW_CASH_DEPOSIT_1245
1226,2024-03-12,190000,1900.00,0,0.00,190000,1900.00,BANK_INFLOW_CASH_DEPOSIT_1226
1191,2024-03-26,888000,8880.00,0,0.00,888000,8880.00,BANK_INFLOW_CASH_DEPOSIT_1191
1130,2024-04-22,1060000,10600.00,0,0.00,1060000,10600.00,BANK_INFLOW_CASH_DEPOSIT_1130
1089,2024-06-11,173915,1739.15,7000,70.00,166915,1669.15,BANK_INFLOW_CASH_DEPOSIT_1089
987,2024-10-01,1001000,10010.00,62500,625.00,938500,9385.00,BANK_INFLOW_CASH_DEPOSIT_987
938,2024-10-16,15000,150.00,0,0.00,15000,150.00,BANK_INFLOW_CASH_DEPOSIT_938
939,2024-10-16,904000,9040.00,0,0.00,904000,9040.00,BANK_INFLOW_CASH_DEPOSIT_939
885,2024-10-29,600170,6001.70,0,0.00,600170,6001.70,BANK_INFLOW_CASH_DEPOSIT_885
838,2024-11-12,750000,7500.00,0,0.00,750000,7500.00,BANK_INFLOW_CASH_DEPOSIT_838
825,2024-11-18,50000,500.00,0,0.00,50000,500.00,BANK_INFLOW_CASH_DEPOSIT_825
766,2024-12-04,988000,9880.00,0,0.00,988000,9880.00,BANK_INFLOW_CASH_DEPOSIT_766
666,2025-01-10,1160000,11600.00,0,0.00,1160000,11600.00,BANK_INFLOW_CASH_DEPOSIT_666
631,2025-01-20,694500,6945.00,50000,500.00,644500,6445.00,BANK_INFLOW_CASH_DEPOSIT_631
541,2025-02-24,1507000,15070.00,0,0.00,1507000,15070.00,BANK_INFLOW_CASH_DEPOSIT_541
455,2025-03-18,950000,9500.00,43000,430.00,907000,9070.00,BANK_INFLOW_CASH_DEPOSIT_455
359,2025-05-05,790000,7900.00,0,0.00,790000,7900.00,BANK_INFLOW_CASH_DEPOSIT_359
