cra_id,date_received,transaction_label,amount_cents,payroll_month,cpp_cents,ei_cents,tax_cents,credit_account,bank_txn_id,bank_txn_category,journal_entry_id
33,2024-01-22,Payment Dec 2023 late,151931,2023-12,65344,27262,59325,2410,1365,PAYROLL_REIMBURSE,PAYROLL_REMITTANCE_CRA_33
34,2024-01-22,Payment Sept 2023 late,2210,2023-09,0,2210,0,2410,1365,PAYROLL_REIMBURSE,PAYROLL_REMITTANCE_CRA_34
29,2024-02-26,Payment Jan 2024,29223,2024-01,17410,7888,3925,2400,1276,PAYROLL_REIMBURSE,PAYROLL_REMITTANCE_CRA_29
30,2024-02-26,Arrears payment,7202,ARREARS,0,0,0,2400,1277,PAYROLL_REIMBURSE,PAYROLL_REMITTANCE_CRA_30
27,2024-03-06,Payment Feb 2024,56616,2024-02,24474,9849,22293,2400,1255,PAYROLL_REIMBURSE,PAYROLL_REMITTANCE_CRA_27
26,2024-03-11,Payment Feb 2024,55847,2024-02,24141,9715,21991,2400,1237,PAYROLL_REIMBURSE,PAYROLL_REMITTANCE_CRA_26
25,2024-04-02,Payment Mar 2024,124927,2024-03,48678,19443,56806,2400,1178,PAYROLL_REIMBURSE,PAYROLL_REMITTANCE_CRA_25
23,2024-05-01,Payment Apr 2024,73290,2024-04,33807,14139,25344,2400,1122,PAYROLL_REIMBURSE,PAYROLL_REMITTANCE_CRA_23
22,2024-10-07,Payment Sept 2024,41618,2024-09,24787,13677,3154,2400,965,PAYROLL_REIMBURSE,PAYROLL_REMITTANCE_CRA_22
21,2024-11-05,Payment Oct 2024,83006,2024-10,42577,18915,21514,1000,862,PAYROLL_REMIT,PAYROLL_REMITTANCE_CRA_21
20,2024-12-05,Payment Nov 2024,228989,2024-11,117584,50165,61240,1000,761,PAYROLL_REMIT,PAYROLL_REMITTANCE_CRA_20
19,2025-01-15,Payment Dec 2024,257287,2024-12,99917,36884,120486,1000,657,PAYROLL_REMIT,PAYROLL_REMITTANCE_CRA_19
17,2025-02-11,Payment Jan 2025,79600,2025-01,45120,20720,13760,1000,568,PAYROLL_REMIT,PAYROLL_REMITTANCE_CRA_17
15,2025-03-04,Payment Feb 2025,58974,2025-02,34144,15919,8911,1000,503,PAYROLL_REMIT,PAYROLL_REMITTANCE_CRA_15
16,2025-03-04,Late year-end payment 2024,77279,2024-YE,33791,13811,29677,1000,504,PAYROLL_REMIT,PAYROLL_REMITTANCE_CRA_16
13,2025-03-17,Arrears payment,2729,ARREARS,0,0,0,1000,458,PAYROLL_REMIT,PAYROLL_REMITTANCE_CRA_13
10,2025-04-14,Payment Mar 2025,124032,2025-03,49838,21616,52578,1000,387,PAYROLL_REMIT,PAYROLL_REMITTANCE_CRA_10
9,2025-05-06,Payment Apr 2025,92960,2025-04,31492,12904,48564,1000,352,PAYROLL_REMIT,PAYROLL_REMITTANCE_CRA_9
