bank_txn_id,bank_date,evidence_category,category,override_applied,override_to_category,amount_cents,amount,debit_account,debit_reason,journal_entry_id
1689,2023-07-05,RENT_REIMBURSEMENT,RENT_REIMBURSEMENT,0,,40250,402.50,2410,clear_due_to_shareholder,BANK_DEBIT_1689
1669,2023-09-13,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,12750,127.50,2000,clear_net_pay_payable,BANK_DEBIT_1669
1658,2023-09-18,REIMBURSEMENT,REIMBURSEMENT,0,,12391,123.91,2410,clear_due_to_shareholder,BANK_DEBIT_1658
1659,2023-09-18,REIMBURSEMENT,REIMBURSEMENT,0,,115764,1157.64,2410,clear_due_to_shareholder,BANK_DEBIT_1659
1660,2023-09-18,REIMBURSEMENT,REIMBURSEMENT,0,,14004,140.04,2410,clear_due_to_shareholder,BANK_DEBIT_1660
1661,2023-09-18,REIMBURSEMENT,REIMBURSEMENT,0,,10250,102.50,2410,clear_due_to_shareholder,BANK_DEBIT_1661
1662,2023-09-18,REIMBURSEMENT,REIMBURSEMENT,0,,26568,265.68,2410,clear_due_to_shareholder,BANK_DEBIT_1662
1663,2023-09-18,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,22221,222.21,2000,clear_net_pay_payable,BANK_DEBIT_1663
1645,2023-09-26,REIMBURSEMENT,REIMBURSEMENT,0,,86705,867.05,2400,clear_due_to_shareholder,BANK_DEBIT_1645
1647,2023-09-26,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,11837,118.37,2000,clear_net_pay_payable,BANK_DEBIT_1647
1637,2023-09-27,UNCLASSIFIED,UNCLASSIFIED,0,,9254,92.54,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1637
1638,2023-09-27,UNCLASSIFIED,UNCLASSIFIED,0,,121536,1215.36,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1638
1639,2023-09-27,RENT_REIMBURSEMENT,RENT_REIMBURSEMENT,0,,80500,805.00,2410,clear_due_to_shareholder,BANK_DEBIT_1639
1640,2023-09-27,REIMBURSEMENT,REIMBURSEMENT,0,,7627,76.27,2410,clear_due_to_shareholder,BANK_DEBIT_1640
1641,2023-09-27,REIMBURSEMENT,REIMBURSEMENT,0,,103745,1037.45,2410,clear_due_to_shareholder,BANK_DEBIT_1641
1642,2023-09-27,UNCLASSIFIED,UNCLASSIFIED,0,,234693,2346.93,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1642
1643,2023-09-27,UNCLASSIFIED,UNCLASSIFIED,0,,112951,1129.51,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1643
1627,2023-10-03,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,26360,263.60,2000,clear_net_pay_payable,BANK_DEBIT_1627
1622,2023-10-10,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,26646,266.46,2000,clear_net_pay_payable,BANK_DEBIT_1622
1617,2023-10-11,REIMBURSEMENT,REIMBURSEMENT,0,,40000,400.00,2400,clear_due_to_shareholder,BANK_DEBIT_1617
1618,2023-10-11,REIMBURSEMENT,REIMBURSEMENT,0,,22259,222.59,2410,clear_due_to_shareholder,BANK_DEBIT_1618
1615,2023-10-12,REIMBURSEMENT,REIMBURSEMENT,0,,86250,862.50,2410,clear_due_to_shareholder,BANK_DEBIT_1615
1612,2023-10-16,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,17036,170.36,2000,clear_net_pay_payable,BANK_DEBIT_1612
1601,2023-10-20,UNCLASSIFIED,UNCLASSIFIED,0,,8249,82.49,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1601
1602,2023-10-20,UNCLASSIFIED,UNCLASSIFIED,0,,6254,62.54,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1602
1603,2023-10-20,UNCLASSIFIED,UNCLASSIFIED,0,,22407,224.07,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1603
1604,2023-10-20,UNCLASSIFIED,UNCLASSIFIED,0,,2996,29.96,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1604
1605,2023-10-20,UNCLASSIFIED,UNCLASSIFIED,0,,85132,851.32,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1605
1606,2023-10-20,UNCLASSIFIED,UNCLASSIFIED,0,,4827,48.27,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1606
1607,2023-10-20,UNCLASSIFIED,UNCLASSIFIED,0,,23673,236.73,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1607
1608,2023-10-20,UNCLASSIFIED,UNCLASSIFIED,0,,10193,101.93,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1608
1564,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,6254,62.54,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1564
1565,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,99488,994.88,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1565
1566,2023-10-23,EMPLOYEE_PAYROLL,EMPLOYEE_PAYROLL,0,,26646,266.46,2000,clear_net_pay_payable,BANK_DEBIT_1566
1568,2023-10-23,CHANGE_FLOAT,CHANGE_FLOAT,0,,20000,200.00,1070,cash_float,BANK_DEBIT_1568
1569,2023-10-23,CHANGE_FLOAT,CHANGE_FLOAT,0,,9500,95.00,1070,cash_float,BANK_DEBIT_1569
1570,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,10740,107.40,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1570
1571,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,8437,84.37,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1571
1572,2023-10-23,REIMBURSEMENT,REIMBURSEMENT,0,,10410,104.10,2410,clear_due_to_shareholder,BANK_DEBIT_1572
1573,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,5635,56.35,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1573
1574,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,4018,40.18,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1574
1575,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,3771,37.71,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1575
1576,2023-10-23,REIMBURSEMENT,REIMBURSEMENT,0,,53875,538.75,2410,clear_due_to_shareholder,BANK_DEBIT_1576
1577,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,30397,303.97,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1577
1578,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,5175,51.75,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1578
1579,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,2561,25.61,2410,cc_payment_clear_due_to_shareholder:318,BANK_DEBIT_1579
1580,2023-10-23,UNCLASSIFIED,UNCLASSIFIED,0,,58238,582.38,2410,cc_payment_clear_due_to_shareholder:154,BANK_DEBIT_1580
