gifi_code,balance,amount,net_cents
1001,DR,26291.52,2629152
1120,DR,2847.23,284723
1484,DR,649.16,64916
2620,CR,2687.31,-268731
2680,CR,6766.89,-676689
2781,CR,3578.15,-357815
3500,CR,100.00,-10000
8000,CR,181234.87,-18123487
8518,DR,104712.94,10471294
8520,DR,1605.65,160565
8523,DR,517.92,51792
8622,DR,1463.00,146300
8690,DR,1851.00,185100
8710,DR,2218.39,221839
8810,DR,10454.62,1045462
8860,DR,878.92,87892
8911,DR,8235.00,823500
8960,DR,834.18,83418
9060,DR,23484.96,2348496
9270,DR,3819.99,381999
9281,DR,4402.61,440261
9801,DR,100.13,10013
