account_code,account_name,old_gifi_code,new_gifi_code
1200,Inventory - Food,1120,1121
1210,Inventory - Beverage,1120,1121
1220,Inventory - Supplements,1120,1121
1230,Inventory - Retail Goods,1120,1121
5200,Packaging & Supplies,8810,9130
5201,Packaging - Containers/Cups,8810,9130
5202,Packaging - Bags/Wrapping,8810,9130
5203,Packaging - Utensils/Straws,8810,9130
5204,Supplies - Cleaning,8810,9130
5205,Supplies - Paper Products,8810,9130
5206,Supplies - Kitchen,8810,9130
5209,Supplies - Other,8810,9130
6230,Utilities - Internet,9220,9225
6350,Small Tools & Equipment,8810,9131
6550,Shipping & Delivery Expense,9801,9275
6610,Computer Hardware Expense,8810,8813
6620,Software & SaaS Expense,8810,8813
