GIFI_Code,Description,Amount
8000,Trade sales of goods and services,230907
8299,Total revenue,230907
8518,Cost of sales,110284
8519,Gross profit / loss,120623
8520,Advertising and promotion,798
8523,Meals and entertainment,408
8622,Employers portion of employee benefits,3610
8690,Insurance,1951
8710,Interest and bank charges,3928
8810,Office expenses,3444
8813,Data processing,2915
8860,Professional fees,353
8911,Real estate rental,7137
8960,Repairs and maintenance,603
9060,Salaries and wages,54899
9130,Supplies,4629
9131,Small tools,479
9225,Telephone and telecommunications,465
9270,Other expenses,293
9275,"Delivery, freight and express",116
9281,Vehicle expenses,4038
9367,Total operating expenses,90066
9368,Total expenses,200350
9999,Net income / loss after taxes/extraord item,30557
