fy,payment_gateway,tx_count,gross_payments,refunded_payments,net_payments,gross_cents,refunded_cents,net_cents
FY2024,shopify_payments,11462,120281.13,-154.99,120126.14,12028113,-15499,12012614
FY2024,cash,8546,71683.02,-97.96,71585.06,7168302,-9796,7158506
FY2024,manual,2,1210.95,0.00,1210.95,121095,0,121095
FY2024,paypal,43,1161.82,-84.00,1077.82,116182,-8400,107782
FY2024,gift_card,6,32.47,0.00,32.47,3247,0,3247
FY2025,shopify_payments,15428,166957.78,-263.50,166694.28,16695778,-26350,16669428
FY2025,cash,10515,89690.86,-128.80,89562.06,8969086,-12880,8956206
FY2025,paypal,23,570.18,0.00,570.18,57018,0,57018
FY2025,gift_card,12,166.51,0.00,166.51,16651,0,16651
FY2025,manual,1,20.00,0.00,20.00,2000,0,2000
