bank_txn_id,bank_date,category,amount_cents,amount,journal_entry_id
1696,2023-06-14,SHOPIFY_PAYOUT,63005,630.05,BANK_INFLOW_SHOPIFY_PAYOUT_1696
1695,2023-06-21,SHOPIFY_PAYOUT,92942,929.42,BANK_INFLOW_SHOPIFY_PAYOUT_1695
1694,2023-06-27,CASH_DEPOSIT,51545,515.45,BANK_INFLOW_CASH_DEPOSIT_1694
1687,2023-07-06,SHOPIFY_PAYOUT,61243,612.43,BANK_INFLOW_SHOPIFY_PAYOUT_1687
1682,2023-08-01,SHOPIFY_PAYOUT,7748,77.48,BANK_INFLOW_SHOPIFY_PAYOUT_1682
1678,2023-08-16,SHOPIFY_PAYOUT,40257,402.57,BANK_INFLOW_SHOPIFY_PAYOUT_1678
1675,2023-09-07,SHOPIFY_PAYOUT,90003,900.03,BANK_INFLOW_SHOPIFY_PAYOUT_1675
1674,2023-09-08,SHOPIFY_PAYOUT,23923,239.23,BANK_INFLOW_SHOPIFY_PAYOUT_1674
1671,2023-09-11,CASH_DEPOSIT,250000,2500.00,BANK_INFLOW_CASH_DEPOSIT_1671
1673,2023-09-11,SHOPIFY_PAYOUT,17095,170.95,BANK_INFLOW_SHOPIFY_PAYOUT_1673
1670,2023-09-12,SHOPIFY_PAYOUT,21642,216.42,BANK_INFLOW_SHOPIFY_PAYOUT_1670
1668,2023-09-13,SHOPIFY_PAYOUT,261361,2613.61,BANK_INFLOW_SHOPIFY_PAYOUT_1668
1667,2023-09-14,SHOPIFY_PAYOUT,6035,60.35,BANK_INFLOW_SHOPIFY_PAYOUT_1667
1666,2023-09-15,SHOPIFY_PAYOUT,18023,180.23,BANK_INFLOW_SHOPIFY_PAYOUT_1666
1664,2023-09-18,SHOPIFY_PAYOUT,13489,134.89,BANK_INFLOW_SHOPIFY_PAYOUT_1664
1657,2023-09-19,SHOPIFY_PAYOUT,8780,87.80,BANK_INFLOW_SHOPIFY_PAYOUT_1657
1655,2023-09-20,SHOPIFY_PAYOUT,52440,524.40,BANK_INFLOW_SHOPIFY_PAYOUT_1655
1654,2023-09-21,SHOPIFY_PAYOUT,12643,126.43,BANK_INFLOW_SHOPIFY_PAYOUT_1654
1652,2023-09-22,CASH_DEPOSIT,200000,2000.00,BANK_INFLOW_CASH_DEPOSIT_1652
1653,2023-09-22,SHOPIFY_PAYOUT,13026,130.26,BANK_INFLOW_SHOPIFY_PAYOUT_1653
1650,2023-09-25,SHOPIFY_PAYOUT,103834,1038.34,BANK_INFLOW_SHOPIFY_PAYOUT_1650
1646,2023-09-26,SHOPIFY_PAYOUT,14212,142.12,BANK_INFLOW_SHOPIFY_PAYOUT_1646
1644,2023-09-27,SHOPIFY_PAYOUT,203535,2035.35,BANK_INFLOW_SHOPIFY_PAYOUT_1644
1636,2023-09-28,SHOPIFY_PAYOUT,5593,55.93,BANK_INFLOW_SHOPIFY_PAYOUT_1636
1635,2023-09-29,SHOPIFY_PAYOUT,3168,31.68,BANK_INFLOW_SHOPIFY_PAYOUT_1635
1628,2023-10-03,SHOPIFY_PAYOUT,2874,28.74,BANK_INFLOW_SHOPIFY_PAYOUT_1628
1626,2023-10-04,SHOPIFY_PAYOUT,11286,112.86,BANK_INFLOW_SHOPIFY_PAYOUT_1626
1625,2023-10-05,SHOPIFY_PAYOUT,176661,1766.61,BANK_INFLOW_SHOPIFY_PAYOUT_1625
1624,2023-10-06,SHOPIFY_PAYOUT,5816,58.16,BANK_INFLOW_SHOPIFY_PAYOUT_1624
1621,2023-10-10,CASH_DEPOSIT,500000,5000.00,BANK_INFLOW_CASH_DEPOSIT_1621
1619,2023-10-11,SHOPIFY_PAYOUT,11908,119.08,BANK_INFLOW_SHOPIFY_PAYOUT_1619
1616,2023-10-12,SHOPIFY_PAYOUT,304083,3040.83,BANK_INFLOW_SHOPIFY_PAYOUT_1616
1613,2023-10-16,SHOPIFY_PAYOUT,3327,33.27,BANK_INFLOW_SHOPIFY_PAYOUT_1613
1611,2023-10-17,SHOPIFY_PAYOUT,15511,155.11,BANK_INFLOW_SHOPIFY_PAYOUT_1611
1610,2023-10-18,SHOPIFY_PAYOUT,258543,2585.43,BANK_INFLOW_SHOPIFY_PAYOUT_1610
1609,2023-10-19,SHOPIFY_PAYOUT,13430,134.30,BANK_INFLOW_SHOPIFY_PAYOUT_1609
1567,2023-10-23,CASH_DEPOSIT,300000,3000.00,BANK_INFLOW_CASH_DEPOSIT_1567
1599,2023-10-23,SHOPIFY_PAYOUT,6582,65.82,BANK_INFLOW_SHOPIFY_PAYOUT_1599
1562,2023-10-24,SHOPIFY_PAYOUT,77170,771.70,BANK_INFLOW_SHOPIFY_PAYOUT_1562
1561,2023-10-25,SHOPIFY_PAYOUT,89410,894.10,BANK_INFLOW_SHOPIFY_PAYOUT_1561
1556,2023-10-26,SHOPIFY_PAYOUT,11342,113.42,BANK_INFLOW_SHOPIFY_PAYOUT_1556
1555,2023-10-27,SHOPIFY_PAYOUT,21721,217.21,BANK_INFLOW_SHOPIFY_PAYOUT_1555
1552,2023-10-30,SHOPIFY_PAYOUT,8744,87.44,BANK_INFLOW_SHOPIFY_PAYOUT_1552
1544,2023-10-31,CASH_DEPOSIT,421500,4215.00,BANK_INFLOW_CASH_DEPOSIT_1544
1545,2023-10-31,SHOPIFY_PAYOUT,10919,109.19,BANK_INFLOW_SHOPIFY_PAYOUT_1545
1541,2023-11-01,SHOPIFY_PAYOUT,451584,4515.84,BANK_INFLOW_SHOPIFY_PAYOUT_1541
1532,2023-11-02,SHOPIFY_PAYOUT,24675,246.75,BANK_INFLOW_SHOPIFY_PAYOUT_1532
1531,2023-11-03,SHOPIFY_PAYOUT,687,6.87,BANK_INFLOW_SHOPIFY_PAYOUT_1531
1527,2023-11-06,SHOPIFY_PAYOUT,6871,68.71,BANK_INFLOW_SHOPIFY_PAYOUT_1527
1523,2023-11-07,SHOPIFY_PAYOUT,11669,116.69,BANK_INFLOW_SHOPIFY_PAYOUT_1523
1522,2023-11-08,SHOPIFY_PAYOUT,451261,4512.61,BANK_INFLOW_SHOPIFY_PAYOUT_1522
1515,2023-11-09,CASH_DEPOSIT,105000,1050.00,BANK_INFLOW_CASH_DEPOSIT_1515
1514,2023-11-10,SHOPIFY_PAYOUT,3281,32.81,BANK_INFLOW_SHOPIFY_PAYOUT_1514
1512,2023-11-14,SHOPIFY_PAYOUT,1856,18.56,BANK_INFLOW_SHOPIFY_PAYOUT_1512
1507,2023-11-15,SHOPIFY_PAYOUT,4734,47.34,BANK_INFLOW_SHOPIFY_PAYOUT_1507
1502,2023-11-16,CASH_DEPOSIT,165000,1650.00,BANK_INFLOW_CASH_DEPOSIT_1502
1505,2023-11-16,SHOPIFY_PAYOUT,269485,2694.85,BANK_INFLOW_SHOPIFY_PAYOUT_1505
1501,2023-11-17,SHOPIFY_PAYOUT,2132,21.32,BANK_INFLOW_SHOPIFY_PAYOUT_1501
1499,2023-11-20,SHOPIFY_PAYOUT,5118,51.18,BANK_INFLOW_SHOPIFY_PAYOUT_1499
1497,2023-11-21,SHOPIFY_PAYOUT,15542,155.42,BANK_INFLOW_SHOPIFY_PAYOUT_1497
1496,2023-11-22,SHOPIFY_PAYOUT,259922,2599.22,BANK_INFLOW_SHOPIFY_PAYOUT_1496
1495,2023-11-23,SHOPIFY_PAYOUT,14667,146.67,BANK_INFLOW_SHOPIFY_PAYOUT_1495
1493,2023-11-24,SHOPIFY_PAYOUT,3143,31.43,BANK_INFLOW_SHOPIFY_PAYOUT_1493
1490,2023-11-27,SHOPIFY_PAYOUT,4613,46.13,BANK_INFLOW_SHOPIFY_PAYOUT_1490
1486,2023-11-28,SHOPIFY_PAYOUT,15714,157.14,BANK_INFLOW_SHOPIFY_PAYOUT_1486
1484,2023-11-29,SHOPIFY_PAYOUT,208867,2088.67,BANK_INFLOW_SHOPIFY_PAYOUT_1484
1479,2023-12-01,CASH_DEPOSIT,300000,3000.00,BANK_INFLOW_CASH_DEPOSIT_1479
1480,2023-12-01,SHOPIFY_PAYOUT,490,4.90,BANK_INFLOW_SHOPIFY_PAYOUT_1480
1467,2023-12-04,SHOPIFY_PAYOUT,5725,57.25,BANK_INFLOW_SHOPIFY_PAYOUT_1467
1464,2023-12-05,SHOPIFY_PAYOUT,11462,114.62,BANK_INFLOW_SHOPIFY_PAYOUT_1464
1462,2023-12-06,CASH_DEPOSIT,315000,3150.00,BANK_INFLOW_CASH_DEPOSIT_1462
1463,2023-12-06,SHOPIFY_PAYOUT,144631,1446.31,BANK_INFLOW_SHOPIFY_PAYOUT_1463
1457,2023-12-07,SHOPIFY_PAYOUT,6467,64.67,BANK_INFLOW_SHOPIFY_PAYOUT_1457
1456,2023-12-08,SHOPIFY_PAYOUT,6181,61.81,BANK_INFLOW_SHOPIFY_PAYOUT_1456
