window_days,bank_txn_id,bank_date,bank_amount,bank_card_last4,classification,candidate_count,wave_bill_ids
7,1068,2024-08-19,1080.39,154,no_purchase,0,
7,1581,2023-10-23,643.63,318,no_purchase,0,
7,1551,2023-10-30,586.57,154,purchase_no_wave,1,
7,1337,2024-02-01,434.74,318,purchase_no_wave,1,
7,350,2025-05-13,408.58,318,ambiguous,1,674;691;695
7,654,2025-01-16,340.67,318,no_purchase,0,
7,1474,2023-12-01,281.63,318,purchase_no_wave,1,
7,1426,2023-12-28,265.37,318,purchase_no_wave,1,
7,918,2024-10-22,236.91,154,no_purchase,0,
7,1455,2023-12-08,192.37,318,no_purchase,0,
7,1388,2024-01-10,192.37,318,no_purchase,0,
7,1534,2023-11-02,184.42,318,purchase_no_wave,1,
7,1144,2024-04-16,136.11,318,no_purchase,0,
7,393,2025-04-11,132.68,318,no_purchase,0,
7,394,2025-04-11,132.68,318,no_purchase,0,
7,396,2025-04-11,132.68,318,no_purchase,0,
7,397,2025-04-11,132.68,318,no_purchase,0,
7,1053,2024-09-03,130.54,154,no_purchase,0,
7,1412,2024-01-04,102.54,318,purchase_no_wave,1,
7,1547,2023-10-30,91.59,318,purchase_no_wave,1,
7,1102,2024-05-21,87.27,318,no_purchase,0,
7,1472,2023-12-01,82.12,318,no_purchase,0,
7,1563,2023-10-24,78.83,154,no_purchase,0,
7,681,2025-01-08,76.22,154,no_purchase,0,
7,1533,2023-11-02,68.32,318,purchase_no_wave,1,
7,1475,2023-12-01,67.82,318,purchase_no_wave,1,
7,1476,2023-12-01,66.95,154,no_purchase,0,
7,1103,2024-05-21,65.14,318,no_purchase,0,
7,1548,2023-10-30,64.04,154,purchase_no_wave,1,
7,1506,2023-11-15,63.56,154,purchase_no_wave,1,
7,1595,2023-10-23,59.13,154,no_purchase,0,
7,357,2025-05-05,51.07,318,no_purchase,0,
7,354,2025-05-05,49.03,318,no_purchase,0,
7,1415,2024-01-04,48.87,318,no_purchase,0,
7,1471,2023-12-01,46.58,154,no_purchase,0,
7,1549,2023-10-30,45.99,318,purchase_no_wave,1,
7,372,2025-04-24,45.99,318,no_purchase,0,
7,1414,2024-01-04,43.42,318,purchase_no_wave,1,
7,1424,2023-12-28,41.81,318,no_purchase,0,
7,1550,2023-10-30,40.82,318,purchase_no_wave,1,
7,1554,2023-10-27,40.22,318,purchase_no_wave,1,
7,1393,2024-01-09,39.87,318,purchase_no_wave,1,
7,754,2024-12-09,37.77,154,purchase_no_wave,1,
7,1458,2023-12-06,35.62,154,no_purchase,0,
7,1413,2024-01-04,35.6,154,purchase_no_wave,1,
7,1466,2023-12-04,31.31,154,purchase_no_wave,1,
7,1592,2023-10-23,29.95,318,no_purchase,0,
7,1594,2023-10-23,29.95,318,no_purchase,0,
7,1422,2023-12-28,28.68,318,no_purchase,0,
7,1421,2023-12-28,26.36,318,no_purchase,0,
7,470,2025-03-17,21.81,318,purchase_no_wave,1,
7,1403,2024-01-08,20.1,154,purchase_no_wave,1,
7,1591,2023-10-23,19.54,154,no_purchase,0,
7,1593,2023-10-23,19.54,318,no_purchase,0,
7,1473,2023-12-01,11.61,318,no_purchase,0,
7,1535,2023-11-02,7.15,318,purchase_no_wave,1,
14,1068,2024-08-19,1080.39,154,no_purchase,0,
14,1581,2023-10-23,643.63,318,no_purchase,0,
14,1551,2023-10-30,586.57,154,purchase_no_wave,1,
14,1337,2024-02-01,434.74,318,purchase_no_wave,1,
14,350,2025-05-13,408.58,318,ambiguous,1,674;691;695
14,654,2025-01-16,340.67,318,no_purchase,0,
14,1474,2023-12-01,281.63,318,purchase_no_wave,1,
14,1426,2023-12-28,265.37,318,purchase_no_wave,1,
14,918,2024-10-22,236.91,154,no_purchase,0,
14,1455,2023-12-08,192.37,318,no_purchase,0,
14,1388,2024-01-10,192.37,318,no_purchase,0,
14,1534,2023-11-02,184.42,318,purchase_no_wave,1,
14,1144,2024-04-16,136.11,318,no_purchase,0,
14,393,2025-04-11,132.68,318,no_purchase,0,
14,394,2025-04-11,132.68,318,no_purchase,0,
14,396,2025-04-11,132.68,318,no_purchase,0,
14,397,2025-04-11,132.68,318,no_purchase,0,
14,1053,2024-09-03,130.54,154,no_purchase,0,
14,1412,2024-01-04,102.54,318,purchase_no_wave,1,
14,1547,2023-10-30,91.59,318,purchase_no_wave,1,
14,1102,2024-05-21,87.27,318,no_purchase,0,
14,1472,2023-12-01,82.12,318,no_purchase,0,
14,1563,2023-10-24,78.83,154,no_purchase,0,
14,681,2025-01-08,76.22,154,no_purchase,0,
14,1533,2023-11-02,68.32,318,purchase_no_wave,1,
14,1475,2023-12-01,67.82,318,purchase_no_wave,1,
14,1476,2023-12-01,66.95,154,purchase_no_wave,1,
14,1103,2024-05-21,65.14,318,no_purchase,0,
14,1548,2023-10-30,64.04,154,purchase_no_wave,1,
14,1506,2023-11-15,63.56,154,purchase_no_wave,1,
14,1595,2023-10-23,59.13,154,no_purchase,0,
14,357,2025-05-05,51.07,318,no_purchase,0,
14,354,2025-05-05,49.03,318,no_purchase,0,
14,1415,2024-01-04,48.87,318,no_purchase,0,
14,1471,2023-12-01,46.58,154,no_purchase,0,
14,1549,2023-10-30,45.99,318,purchase_no_wave,1,
14,372,2025-04-24,45.99,318,no_purchase,0,
14,1414,2024-01-04,43.42,318,purchase_no_wave,1,
14,1424,2023-12-28,41.81,318,no_purchase,0,
14,1550,2023-10-30,40.82,318,purchase_no_wave,1,
14,1554,2023-10-27,40.22,318,purchase_no_wave,1,
14,1393,2024-01-09,39.87,318,purchase_no_wave,1,
14,754,2024-12-09,37.77,154,purchase_no_wave,1,
14,1458,2023-12-06,35.62,154,no_purchase,0,
14,1413,2024-01-04,35.6,154,purchase_no_wave,1,
14,1466,2023-12-04,31.31,154,purchase_no_wave,1,
14,1592,2023-10-23,29.95,318,no_purchase,0,
14,1594,2023-10-23,29.95,318,no_purchase,0,
14,1422,2023-12-28,28.68,318,purchase_no_wave,1,
14,1421,2023-12-28,26.36,318,no_purchase,0,
14,470,2025-03-17,21.81,318,purchase_no_wave,1,
14,1403,2024-01-08,20.1,154,purchase_no_wave,1,
14,1591,2023-10-23,19.54,154,no_purchase,0,
14,1593,2023-10-23,19.54,318,no_purchase,0,
14,1473,2023-12-01,11.61,318,purchase_no_wave,1,
14,1535,2023-11-02,7.15,318,purchase_no_wave,1,
30,1068,2024-08-19,1080.39,154,no_purchase,0,
30,1581,2023-10-23,643.63,318,no_purchase,0,
30,1551,2023-10-30,586.57,154,purchase_no_wave,1,
30,1337,2024-02-01,434.74,318,purchase_no_wave,1,
30,350,2025-05-13,408.58,318,ambiguous,1,674;691;695
30,654,2025-01-16,340.67,318,no_purchase,0,
30,1474,2023-12-01,281.63,318,purchase_no_wave,1,
30,1426,2023-12-28,265.37,318,purchase_no_wave,1,
30,918,2024-10-22,236.91,154,no_purchase,0,
30,1455,2023-12-08,192.37,318,no_purchase,0,
30,1388,2024-01-10,192.37,318,purchase_no_wave,1,
30,1534,2023-11-02,184.42,318,purchase_no_wave,1,
30,1144,2024-04-16,136.11,318,no_purchase,0,
30,393,2025-04-11,132.68,318,purchase_no_wave,1,
30,394,2025-04-11,132.68,318,purchase_no_wave,1,
30,396,2025-04-11,132.68,318,purchase_no_wave,1,
30,397,2025-04-11,132.68,318,purchase_no_wave,1,
30,1053,2024-09-03,130.54,154,no_purchase,0,
30,1412,2024-01-04,102.54,318,purchase_no_wave,1,
30,1547,2023-10-30,91.59,318,purchase_no_wave,1,
30,1102,2024-05-21,87.27,318,no_purchase,0,
30,1472,2023-12-01,82.12,318,no_purchase,0,
30,1563,2023-10-24,78.83,154,purchase_no_wave,1,
30,681,2025-01-08,76.22,154,no_purchase,0,
30,1533,2023-11-02,68.32,318,purchase_no_wave,1,
30,1475,2023-12-01,67.82,318,purchase_no_wave,1,
30,1476,2023-12-01,66.95,154,purchase_no_wave,1,
30,1103,2024-05-21,65.14,318,no_purchase,0,
30,1548,2023-10-30,64.04,154,purchase_no_wave,1,
30,1506,2023-11-15,63.56,154,purchase_no_wave,1,
30,1595,2023-10-23,59.13,154,no_purchase,0,
30,357,2025-05-05,51.07,318,no_purchase,0,
30,354,2025-05-05,49.03,318,purchase_no_wave,1,
30,1415,2024-01-04,48.87,318,purchase_no_wave,1,
30,1471,2023-12-01,46.58,154,purchase_no_wave,1,
30,1549,2023-10-30,45.99,318,purchase_no_wave,1,
30,372,2025-04-24,45.99,318,no_purchase,0,
30,1414,2024-01-04,43.42,318,purchase_no_wave,1,
30,1424,2023-12-28,41.81,318,purchase_no_wave,1,
30,1550,2023-10-30,40.82,318,purchase_no_wave,1,
30,1554,2023-10-27,40.22,318,purchase_no_wave,1,
30,1393,2024-01-09,39.87,318,purchase_no_wave,1,
30,754,2024-12-09,37.77,154,purchase_no_wave,1,
30,1458,2023-12-06,35.62,154,no_purchase,0,
30,1413,2024-01-04,35.6,154,purchase_no_wave,1,
30,1466,2023-12-04,31.31,154,purchase_no_wave,1,
30,1592,2023-10-23,29.95,318,no_purchase,0,
30,1594,2023-10-23,29.95,318,no_purchase,0,
30,1422,2023-12-28,28.68,318,purchase_no_wave,1,
