bank_txn_id,bank_date,bank_amount_cents,bank_amount,card_last4,wave_bill_id,invoice_date,vendor_raw,cc_txn_id,abs_date_diff_days,signed_date_diff_days,match_method
1643,2023-09-27,112951,1129.51,154,29,2023-08-21,Costco - Bill 22134501000312308211156,4149,37,37,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1605,2023-10-20,85132,851.32,154,80,2023-10-06,Costco - Bill 22055101203462310061725,4101,14,14,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1606,2023-10-20,4827,48.27,154,91,2023-10-15,Pharmasave - Bill,4094,5,5,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1607,2023-10-20,23673,236.73,154,92,2023-10-16,Walmart - Bill,4093,4,4,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1571,2023-10-23,8437,84.37,318,58,2023-09-18,Pharmasave - Bill,1624,35,35,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1573,2023-10-23,5635,56.35,154,68,2023-09-25,Dollarama - Bill,4133,28,28,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1574,2023-10-23,4018,40.18,154,66,2023-09-24,Walmart - Bill,4132,29,29,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1575,2023-10-23,3771,37.71,154,69,2023-09-25,Canadian Tire - Bill,4131,28,28,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1578,2023-10-23,5175,51.75,318,32,2023-09-01,Acandian Printing - Bill,1663,52,52,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1579,2023-10-23,2561,25.61,318,33,2023-09-01,Walmart - Bill,1665,52,52,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
1580,2023-10-23,58238,582.38,154,23,2023-08-11,Costco - Bill 22134501201752308111243,4152,73,73,T2_FINAL_AUTO_CC_PAYMENT_TRANSFER_EXACT_AMOUNT
