cc_txn_id,txn_date,txn_type,amount,amount_cents,merchant,vendor_key,net_cents,tax_cents,mapping,journal_entry_id
1883,2023-06-01,PURCHASE,5.86,586,J SAVARD* EXPLAIN,,586,0,default:cogs_supplements,CC_PURCHASE_1883
1876,2023-06-02,PURCHASE,173.48,17348,ROGERS ******8651 888-764-3771,,17348,0,default:cogs_supplements,CC_PURCHASE_1876
1877,2023-06-02,PURCHASE,144.76,14476,NOVA SCOTIA PWR/EZ-PAY,,14476,0,default:cogs_supplements,CC_PURCHASE_1877
1878,2023-06-02,PURCHASE,2.53,253,KUBRA/EZ-PAY 905-624-2220,,253,0,default:cogs_supplements,CC_PURCHASE_1878
1879,2023-06-02,PURCHASE,7.59,759,AMHERST PHARMA SAVE,PHARMASAVE,759,0,VENDOR_PROFILE,CC_PURCHASE_1879
1880,2023-06-02,PURCHASE,7.88,788,AMHERST PHARMA SAVE,PHARMASAVE,788,0,VENDOR_PROFILE,CC_PURCHASE_1880
1881,2023-06-02,PURCHASE,98.84,9884,BELL ALIANT OBB,,9884,0,default:cogs_supplements,CC_PURCHASE_1881
1882,2023-06-02,PURCHASE,76.25,7625,REGISTRY OF JOINT,,7625,0,default:cogs_supplements,CC_PURCHASE_1882
1874,2023-06-05,PURCHASE,29.34,2934,AMHERST PHARMA SAVE,PHARMASAVE,2934,0,VENDOR_PROFILE,CC_PURCHASE_1874
1875,2023-06-05,PURCHASE,90.00,9000,ROCKY HEALTH BRAMPTON,,9000,0,default:cogs_supplements,CC_PURCHASE_1875
1870,2023-06-06,PURCHASE,34.03,3403,DOLLARAMA # 209,,3403,0,keyword:dollarama,CC_PURCHASE_1870
1868,2023-06-07,PURCHASE,1585.73,158573,TRUE NORTH NUTRITION,,158573,0,default:cogs_supplements,CC_PURCHASE_1868
1869,2023-06-07,PURCHASE,2010.30,201030,BELIEVESUPP 4508001414,,201030,0,default:cogs_supplements,CC_PURCHASE_1869
1866,2023-06-08,PURCHASE,14.26,1426,FREIGHTCOM INC. BOLTON,,1426,0,keyword:freight,CC_PURCHASE_1866
1867,2023-06-08,PURCHASE,68.55,6855,REGISTRY OF JOINT,,6855,0,default:cogs_supplements,CC_PURCHASE_1867
1862,2023-06-09,PURCHASE,1029.14,102914,CARTER'S SPORT CRESTING,,102914,0,default:cogs_supplements,CC_PURCHASE_1862
1863,2023-06-09,PURCHASE,6431.38,643138,GROSNOR DISTRIBUTION AJAX,,643138,0,default:cogs_supplements,CC_PURCHASE_1863
1855,2023-06-12,PURCHASE,31.53,3153,"CHATGPT SUBSCRIPTION OPENAI.COM,",,3153,0,default:cogs_supplements,CC_PURCHASE_1855
1856,2023-06-12,PURCHASE,101.93,10193,AMHERST SUPERSTORE #31,ATLANTIC_SUPERSTORE,10193,0,VENDOR_PROFILE,CC_PURCHASE_1856
1857,2023-06-12,PURCHASE,38.19,3819,AMHERST PHARMA SAVE,PHARMASAVE,3819,0,VENDOR_PROFILE,CC_PURCHASE_1857
1858,2023-06-12,PURCHASE,29.58,2958,AMHERST PHARMA SAVE,PHARMASAVE,2958,0,VENDOR_PROFILE,CC_PURCHASE_1858
1859,2023-06-12,PURCHASE,591.74,59174,PACIFIC DISTRIBUTION WHOL,,59174,0,default:cogs_supplements,CC_PURCHASE_1859
1860,2023-06-12,PURCHASE,34.49,3449,AMZN MKTP CA*WW5N03HM3,,3449,0,default:cogs_supplements,CC_PURCHASE_1860
1861,2023-06-12,PURCHASE,591.27,59127,ISWEET 4168234030,,59127,0,default:cogs_supplements,CC_PURCHASE_1861
1853,2023-06-13,PURCHASE,13.38,1338,FREIGHTCOM INC. BOLTON,,1338,0,keyword:freight,CC_PURCHASE_1853
1850,2023-06-15,PURCHASE,621.01,62101,SP HEALANDCO.CO WHISTLER,,62101,0,default:cogs_supplements,CC_PURCHASE_1850
1851,2023-06-15,PURCHASE,14.72,1472,FREIGHTCOM INC. BOLTON,,1472,0,keyword:freight,CC_PURCHASE_1851
1846,2023-06-19,PURCHASE,5.74,574,AMHERST PHARMA SAVE,PHARMASAVE,574,0,VENDOR_PROFILE,CC_PURCHASE_1846
1847,2023-06-19,PURCHASE,1653.94,165394,EMPIRE HEALTH DISTRIBUTIO,,165394,0,default:cogs_supplements,CC_PURCHASE_1847
1848,2023-06-19,PURCHASE,27.37,2737,GEENI CLOUD BY,,2737,0,default:cogs_supplements,CC_PURCHASE_1848
1842,2023-06-20,PURCHASE,859.98,85998,SAGA SCIENCES CANADA,,85998,0,default:cogs_supplements,CC_PURCHASE_1842
1843,2023-06-20,PURCHASE,2.31,231,FREIGHTCOM INC. BOLTON,,231,0,keyword:freight,CC_PURCHASE_1843
1844,2023-06-20,PURCHASE,2.31,231,FREIGHTCOM INC. BOLTON,,231,0,keyword:freight,CC_PURCHASE_1844
1839,2023-06-21,PURCHASE,13.76,1376,FREIGHTCOM INC. BOLTON,,1376,0,keyword:freight,CC_PURCHASE_1839
1840,2023-06-21,PURCHASE,21.15,2115,AMAZON.CA*OU1880YU3 AMAZON.CA,,2115,0,default:cogs_supplements,CC_PURCHASE_1840
1835,2023-06-22,PURCHASE,3.77,377,AMHERST PHARMA SAVE,PHARMASAVE,377,0,VENDOR_PROFILE,CC_PURCHASE_1835
1836,2023-06-22,REFUND,76.25,7625,REGISTRY OF JOINT,,7625,0,default:cogs_supplements,CC_PURCHASE_1836
1837,2023-06-22,PURCHASE,2209.96,220996,GROSNOR DISTRIBUTION AJAX,,220996,0,default:cogs_supplements,CC_PURCHASE_1837
1832,2023-06-23,PURCHASE,8471.31,847131,FIT FOODS LTD.,,847131,0,default:cogs_supplements,CC_PURCHASE_1832
1827,2023-06-26,PURCHASE,12.64,1264,APPLE.COM/BILL 866-712-7753,,1264,0,default:cogs_supplements,CC_PURCHASE_1827
1829,2023-06-26,PURCHASE,3.15,315,LAWTONS #2562 AMHERST,,315,0,default:cogs_supplements,CC_PURCHASE_1829
1830,2023-06-26,PURCHASE,2.39,239,LAWTONS #2562 AMHERST,,239,0,default:cogs_supplements,CC_PURCHASE_1830
1826,2023-06-27,PURCHASE,18.36,1836,FREIGHTCOM INC. BOLTON,,1836,0,keyword:freight,CC_PURCHASE_1826
1825,2023-06-28,PURCHASE,34.93,3493,FEDEX YQMA DIEPPE,,3493,0,default:cogs_supplements,CC_PURCHASE_1825
1819,2023-06-29,PURCHASE,15.51,1551,WWW.BAREMETAL.COM VICTORIA,,1551,0,default:cogs_supplements,CC_PURCHASE_1819
1821,2023-06-29,PURCHASE,45.99,4599,AMZN MKTP CA*ZF46E9FH3,,4599,0,default:cogs_supplements,CC_PURCHASE_1821
1822,2023-06-29,PURCHASE,1971.61,197161,SUPPLEMENT FACTS OTTAWA,,197161,0,default:cogs_supplements,CC_PURCHASE_1822
