bank_txn_id,bank_date,card_last4,amount,purchase_context_count,purchase_context,wave_bill_candidates_count,wave_bill_candidates
1068,2024-08-19,154,1080.39,0,,0,
1551,2023-10-30,154,586.57,1,2023-10-30 card 7022 cc_txn 4060 :: MONCTONCASH&CARRY#301 MONCTON,0,
654,2025-01-16,318,340.67,1,2025-01-17 card 0318 cc_txn 659 :: BELL ALIANT REP,0,
1426,2023-12-28,318,265.37,1,2023-12-21 card 0318 cc_txn 1396 :: PC EXPRESS 0312,0,
918,2024-10-22,154,236.91,0,,0,
1455,2023-12-08,318,192.37,1,2023-12-11 card 0318 cc_txn 1407 :: DOLLARAMA # 209,0,
1388,2024-01-10,318,192.37,0,,0,
1534,2023-11-02,318,184.42,1,2023-10-31 card 0318 cc_txn 1508 :: WAL-MART SUPERCENTER#5789 AMHERST,0,
397,2025-04-11,318,132.68,0,,2,627 (2025-02-28) Bell - Bill; 674 (2025-03-31) Bell - Bill
1053,2024-09-03,154,130.54,0,,1,346 (2024-09-02) Amazon - Bill
1412,2024-01-04,318,102.54,1,2024-01-02 card 0318 cc_txn 1382 :: WAL-MART SUPERCENTER#5789 AMHERST,0,
1547,2023-10-30,318,91.59,1,2023-10-30 card 0318 cc_txn 1510 :: AMHERST PHARMA SAVE,0,
1472,2023-12-01,318,82.12,0,,0,
1563,2023-10-24,154,78.83,0,,0,
681,2025-01-08,154,76.22,0,,0,
1533,2023-11-02,318,68.32,1,2023-11-02 card 0318 cc_txn 1496 :: AMHERST PHARMA SAVE,0,
1475,2023-12-01,318,67.82,1,2023-11-27 card 0318 cc_txn 1438 :: AMHERST PHARMA SAVE,0,
1476,2023-12-01,154,66.95,0,,0,
1103,2024-05-21,318,65.14,0,,0,
1548,2023-10-30,154,64.04,1,2023-10-30 card 7022 cc_txn 4059 :: PETRO CANADA 12120,0,
1506,2023-11-15,154,63.56,1,2023-11-14 card 7022 cc_txn 4046 :: CIRCLE K /,0,
1595,2023-10-23,154,59.13,0,,0,
357,2025-05-05,318,51.07,0,,1,571 (2025-01-14) Shopify - Bill
1415,2024-01-04,318,48.87,0,,0,
1471,2023-12-01,154,46.58,0,,0,
1549,2023-10-30,318,45.99,1,2023-10-27 card 0318 cc_txn 1515 :: HARRISON'S HOME HARDWARE,0,
372,2025-04-24,318,45.99,0,,0,
1414,2024-01-04,318,43.42,1,2023-12-29 card 0318 cc_txn 1383 :: AMHERST PHARMA SAVE,0,
1424,2023-12-28,318,41.81,0,,0,
1550,2023-10-30,318,40.82,1,2023-10-30 card 0318 cc_txn 1512 :: AMHERST PHARMA SAVE,0,
1393,2024-01-09,318,39.87,1,2024-01-08 card 0318 cc_txn 1359 :: CIRCLE K /,0,
754,2024-12-09,154,37.77,1,2024-12-09 card 7022 cc_txn 3276 :: AMHERST PHARMA SAVE,0,
1458,2023-12-06,154,35.62,1,2023-12-07 card 7022 cc_txn 3984 :: WAL-MART #5789 AMHERST,0,
1413,2024-01-04,154,35.60,1,2024-01-02 card 7022 cc_txn 3936 :: WAL-MART #5789 AMHERST,0,
1466,2023-12-04,154,31.31,1,2023-12-04 card 7022 cc_txn 3994 :: AMHERST PHARMA SAVE,0,
1592,2023-10-23,318,29.95,0,,3,37 (2023-09-02) Amazon - Bill; 38 (2023-09-02) Amazon - Bill; 228 (2024-02-24) Christmas Discounters - Bill
1594,2023-10-23,318,29.95,0,,3,37 (2023-09-02) Amazon - Bill; 38 (2023-09-02) Amazon - Bill; 228 (2024-02-24) Christmas Discounters - Bill
1422,2023-12-28,318,28.68,0,,0,
1421,2023-12-28,318,26.36,0,,0,
470,2025-03-17,318,21.81,1,2025-03-10 card 0318 cc_txn 514 :: VALUE VILLAGE #,0,
1403,2024-01-08,154,20.10,1,2024-01-08 card 7022 cc_txn 3923 :: CIRCLE K /,0,
1591,2023-10-23,154,19.54,0,,3,30 (2023-08-30) Amazon - Bill; 76 (2023-10-03) Amazon - Bill; 650 (2025-03-11) Amazon - Bill
1593,2023-10-23,318,19.54,0,,3,30 (2023-08-30) Amazon - Bill; 76 (2023-10-03) Amazon - Bill; 650 (2025-03-11) Amazon - Bill
1473,2023-12-01,318,11.61,0,,0,
1535,2023-11-02,318,7.15,1,2023-10-30 card 0318 cc_txn 1511 :: AMHERST PHARMA SAVE,0,
