bank_txn_id,bank_date,bank_amount,bank_amount_cents,notification_id,notification_due_date,notification_total,notification_total_cents,notification_count,line_total,line_total_cents,present_count,present_total,present_total_cents,missing_count,missing_total,missing_total_cents,wave_bill_payment_diff_cents,missing_invoices,present_invoices
1665,2023-09-15,-363.18,-36318,f9721773-d9bd-57af-9ce6-70c89711773b,2023-09-15,363.18,36318,1,363.18,36318,1,363.18,36318,0,0.00,0,0,,9003246118:36318:bill36
1651,2023-09-22,-1046.34,-104634,957fe081-8bd2-545f-a554-777d3fc64ce9,2023-09-22,1046.34,104634,1,1046.34,104634,1,1046.34,104634,0,0.00,0,0,,9003327039:104634:bill43
1634,2023-09-29,-1326.56,-132656,add8961d-95bc-531a-a449-fed572e6b6b5,2023-09-29,1326.56,132656,3,1326.56,132656,3,1326.56,132656,0,0.00,0,0,,9003386079:24457:bill48;9003462485:27323:bill55;9003468379:80876:bill56
1623,2023-10-06,-1040.73,-104073,e87e2839-8576-5027-b31e-0c9b89d32442,2023-10-06,1040.73,104073,2,1040.73,104073,2,1040.73,104073,0,0.00,0,0,,9003552766:6677:bill63;9003558293:97396:bill62
1614,2023-10-13,-605.03,-60503,b3d4cd38-6c29-5ea1-9030-a0194e75f7a5,2023-10-13,605.03,60503,1,605.03,60503,1,605.03,60503,0,0.00,0,0,,9003665333:60503:bill73
1600,2023-10-20,-998.48,-99848,b5df4d4f-9dc8-5776-836f-0c0ad58aa2f4,2023-10-20,998.48,99848,1,998.48,99848,1,998.48,99848,0,0.00,0,0,,9003775625:99848:bill79
1553,2023-10-27,-858.31,-85831,966258e5-c292-554e-b7d9-fd0011b70a21,2023-10-27,858.31,85831,1,858.31,85831,1,858.31,85831,0,0.00,0,0,,9003882687:85831:bill87
1528,2023-11-03,-834.81,-83481,e68ad985-6044-5ca1-83a6-993e6b131f90,2023-11-03,834.81,83481,1,834.81,83481,1,834.81,83481,0,0.00,0,0,,9003993508:83481:bill96
1513,2023-11-10,-1338.43,-133843,b27d0472-21fa-5e86-807b-78c381a31f0a,2023-11-10,1338.43,133843,3,1338.43,133843,3,1338.43,133843,0,0.00,0,0,,9004092329:4859:bill105;9004106655:85957:bill107;9004135560:43027:bill109
1500,2023-11-17,-1446.72,-144672,050cbd82-1ff1-5056-9c87-f54cb22bab35,2023-11-17,1446.72,144672,3,1446.72,144672,3,1446.72,144672,0,0.00,0,0,,9004259902:88092:bill115;9004290341:42085:bill117;9004309092:14495:bill116
1491,2023-11-24,-559.60,-55960,c24a2329-9ab8-5170-a326-bd4b52822d1d,2023-11-24,559.60,55960,1,559.60,55960,1,559.60,55960,0,0.00,0,0,,9004423490:55960:bill122
1468,2023-12-01,-1219.99,-121999,4d236c4f-c6b9-5216-a528-e0fe8e0c0af7,2023-12-01,1219.99,121999,2,1219.99,121999,2,1219.99,121999,0,0.00,0,0,,9004638160:96645:bill127;9004686201:25354:bill129
1454,2023-12-08,-627.55,-62755,d5103fbf-e050-5117-ad2a-6b359caa36c8,2023-12-08,627.55,62755,1,627.55,62755,1,627.55,62755,0,0.00,0,0,,9004838078:62755:bill132
1441,2023-12-15,-452.54,-45254,d1b8a94d-98e6-5b45-8a53-9f9a7fcb2c6a,2023-12-15,452.54,45254,1,452.54,45254,1,452.54,45254,0,0.00,0,0,,9005011016:45254:bill137
1433,2023-12-22,-1401.45,-140145,2150a29e-b6a4-5e9c-b789-eab52456d9d0,2023-12-22,1401.45,140145,2,1401.45,140145,2,1401.45,140145,0,0.00,0,0,,9005163888:93692:bill141;9005216555:46453:bill142
1420,2023-12-29,-2187.73,-218773,6a2a802f-09db-507d-82f9-90976ad94c53,2023-12-29,2187.73,218773,2,2187.73,218773,2,2187.73,218773,0,0.00,0,0,,9005299395:63072:bill146;9005357713:155701:bill147
1405,2024-01-05,204.51,20451,50ded7c1-f939-5474-8e12-11a9366b588c,2024-01-05,-204.51,-20451,2,-204.51,-20451,2,-204.51,-20451,0,0.00,0,0,,2000800832:-68034:bill777;9005510560:47583:bill148
1384,2024-01-12,-409.34,-40934,1f1279d1-dc33-53f1-9c60-1079f9f91d09,2024-01-12,409.34,40934,1,409.34,40934,1,409.34,40934,0,0.00,0,0,,9005693526:40934:bill150
1374,2024-01-19,-683.71,-68371,9a42a9e9-8cbc-54b4-b785-eac4d6510ad2,2024-01-19,683.71,68371,1,683.71,68371,1,683.71,68371,0,0.00,0,0,,9005827880:68371:bill159
