adjustment_id,journal_entry_id,entry_date,entry_type,account_code,debit,credit,line_description,journal_description
SHARE_CAPITAL_AT_INCORP,MANUAL_ADJ_SHARE_CAPITAL_AT_INCORP,2023-06-01,ADJUSTMENT,6520,100.00,0.00,Incorporation/setup costs paid by shareholders,Recognize $100 share capital at incorporation (equity presentation).
SHARE_CAPITAL_AT_INCORP,MANUAL_ADJ_SHARE_CAPITAL_AT_INCORP,2023-06-01,ADJUSTMENT,3000,0.00,100.00,Share capital (100 issued shares),Recognize $100 share capital at incorporation (equity presentation).
RENT_MAY2024_ACCRUAL,MANUAL_ADJ_RENT_MAY2024_ACCRUAL,2024-05-31,ADJUSTMENT,6100,350.00,0.00,Rent expense (May 2024 accrual),Accrue May 2024 rent (portion of Town of Amherst bill dated 2024-06-30).
RENT_MAY2024_ACCRUAL,MANUAL_ADJ_RENT_MAY2024_ACCRUAL,2024-05-31,ADJUSTMENT,2000,0.00,350.00,Accrued rent payable (May 2024),Accrue May 2024 rent (portion of Town of Amherst bill dated 2024-06-30).
RENT_MAY2024_ACCRUAL_REVERSAL,MANUAL_ADJ_RENT_MAY2024_ACCRUAL_REVERSAL,2024-06-01,ADJUSTMENT,2000,350.00,0.00,Reverse accrued rent payable,Reverse May 2024 rent accrual (opening FY2025).
RENT_MAY2024_ACCRUAL_REVERSAL,MANUAL_ADJ_RENT_MAY2024_ACCRUAL_REVERSAL,2024-06-01,ADJUSTMENT,6100,0.00,350.00,Reverse rent expense accrual,Reverse May 2024 rent accrual (opening FY2025).
JESSE_TIPS_CPP_REFUND_JAN2024,MANUAL_ADJ_JESSE_TIPS_CPP_REFUND_JAN2024,2024-01-23,ADJUSTMENT,7000,247.28,0.00,Wages/tips expense (Jesse online tips + CPP reimbursement),Accrue Jesse Jan 2024 non-export payouts (online tips + CPP reimbursement).
JESSE_TIPS_CPP_REFUND_JAN2024,MANUAL_ADJ_JESSE_TIPS_CPP_REFUND_JAN2024,2024-01-23,ADJUSTMENT,2000,0.00,247.28,Net pay payable (to be cleared by bank e-transfers),Accrue Jesse Jan 2024 non-export payouts (online tips + CPP reimbursement).
JESSE_TIPS_MISC_FY2024,MANUAL_ADJ_JESSE_TIPS_MISC_FY2024,2023-09-13,ADJUSTMENT,7000,210.68,0.00,Wages/tips expense (Jesse misc tip payouts not in export),Accrue Jesse FY2024 tips paid outside payroll export (misc early-season overage).
JESSE_TIPS_MISC_FY2024,MANUAL_ADJ_JESSE_TIPS_MISC_FY2024,2023-09-13,ADJUSTMENT,2000,0.00,210.68,Net pay payable (to be cleared by bank e-transfers),Accrue Jesse FY2024 tips paid outside payroll export (misc early-season overage).
DWAYNE_CC_PREPAY_BALANCE_FY2024,MANUAL_ADJ_DWAYNE_CC_PREPAY_BALANCE_FY2024,2024-05-31,ADJUSTMENT,1300,649.16,0.00,Prepaid expenses (credit card prepayment balance) FY2024 end,Record Dwayne CC prepayment balance at FY2024 end (bank CC payments exceed CC-settled bills).
DWAYNE_CC_PREPAY_BALANCE_FY2024,MANUAL_ADJ_DWAYNE_CC_PREPAY_BALANCE_FY2024,2024-05-31,ADJUSTMENT,2410,0.00,649.16,Due to shareholder - Dwayne (restore payable reduced by CC overpayment) FY2024 end,Record Dwayne CC prepayment balance at FY2024 end (bank CC payments exceed CC-settled bills).
DWAYNE_CC_PREPAY_BALANCE_FY2025,MANUAL_ADJ_DWAYNE_CC_PREPAY_BALANCE_FY2025,2025-05-31,ADJUSTMENT,1300,840.81,0.00,Prepaid expenses (credit card prepayment balance) FY2025 end,Record incremental Dwayne CC prepayment balance created in FY2025.
