date_posted,date_received,cr_dr,transaction_label,amount_cents,bank_txn_id,bank_txn_category,bank_txn_description,bank_group_txn_id,bank_group_txn_category,bank_group_txn_description
2024-01-22,,DR,T4 Type Information Return  2023,149743,,,,,,
2024-01-22,2024-01-22,CR,Payment Dec 2023 late,151931,,,,1365,PAYROLL_REIMBURSE,Internet Banking E-TRANSFER104858423983 Dwayne Ripley 4506*********695
2024-01-22,2024-01-22,CR,Payment Sept 2023 late,2210,,,,1365,PAYROLL_REIMBURSE,Internet Banking E-TRANSFER104858423983 Dwayne Ripley 4506*********695
2024-01-23,,DR,Assessed late remitting penalty,7135,,,,,,
2024-02-26,2024-02-26,CR,Payment Jan 2024,29223,1276,PAYROLL_REIMBURSE,Internet Banking E-TRANSFER104897934333 Thomas McCrossin 4506*********695,,,
2024-02-26,2024-02-26,CR,Arrears payment,7202,1277,PAYROLL_REIMBURSE,Internet Banking E-TRANSFER104897933797 Thomas McCrossin 4506*********695,,,
2024-02-27,2024-01-23,DR,Interest charged on              71.35Dr,67,,,,,,
2024-03-06,2024-03-06,CR,Payment Feb 2024,56616,1255,PAYROLL_REIMBURSE,Internet Banking E-TRANSFER104910150312 Thomas McCrossin 4506*********695,,,
2024-03-11,2024-03-11,CR,Payment Feb 2024,55847,1237,PAYROLL_REIMBURSE,Internet Banking E-TRANSFER104915459750 Thomas McCrossin 4506*********695,,,
2024-04-02,2024-04-02,CR,Payment Mar 2024,124927,1178,PAYROLL_REIMBURSE,Internet Banking E-TRANSFER104941665380 Thomas McCrossin 4506*********695,,,
2024-04-24,,DR,Balance adjustment to 2023,4398,,,,,,
2024-05-01,2024-05-01,CR,Payment Apr 2024,73290,1122,PAYROLL_REIMBURSE,Internet Banking E-TRANSFER104977727931 Thomas McCrossin 4506*********695,,,
2024-10-07,2024-10-07,CR,Payment Sept 2024,41618,965,PAYROLL_REIMBURSE,Internet Banking E-TRANSFER105173064541 Thomas McCrossin 4506*********695,,,
2024-11-08,2024-11-05,CR,Payment Oct 2024,83006,862,PAYROLL_REMIT,Electronic Funds Transfer DEBIT MEMO EMPTX-4836406 GPFS-GOVERNMENT PAYMENT,,,
2024-12-10,2024-12-05,CR,Payment Nov 2024,228989,761,PAYROLL_REMIT,Electronic Funds Transfer DEBIT MEMO EMPTX-4036939 GPFS-GOVERNMENT PAYMENT,,,
2025-01-20,2025-01-15,CR,Payment Dec 2024,257287,657,PAYROLL_REMIT,Electronic Funds Transfer DEBIT MEMO EMPTX-5907647 GPFS-GOVERNMENT PAYMENT,,,
2025-02-11,,DR,T4 Type Information Return  2024,1028082,,,,,,
2025-02-14,2025-02-11,CR,Payment Jan 2025,79600,568,PAYROLL_REMIT,Electronic Funds Transfer DEBIT MEMO EMPTX- 992230 GPFS-GOVERNMENT PAYMENT,,,
2025-03-07,2025-03-04,CR,Payment Feb 2025,58974,503,PAYROLL_REMIT,Electronic Funds Transfer DEBIT MEMO EMPTX-3387504 GPFS-GOVERNMENT PAYMENT,,,
2025-03-07,2025-03-04,CR,Late year-end payment 2024,77279,504,PAYROLL_REMIT,Electronic Funds Transfer DEBIT MEMO EMPBD-3385149 GPFS-GOVERNMENT PAYMENT,,,
2025-03-10,,DR,Assessed late remitting penalty,2727,,,,,,
2025-03-20,2025-03-17,CR,Arrears payment,2729,458,PAYROLL_REMIT,Electronic Funds Transfer DEBIT MEMO EMPTX-4517739 GPFS-GOVERNMENT PAYMENT,,,
2025-03-21,,CR,Administrative Adjustment 2024,2,,,,,,
2025-03-21,2025-03-10,DR,Interest charged on              27.27Dr,4,,,,,,
2025-04-17,2025-04-14,CR,Payment Mar 2025,124032,387,PAYROLL_REMIT,Electronic Funds Transfer DEBIT MEMO EMPTX-3019812 GPFS-GOVERNMENT PAYMENT,,,
2025-05-09,2025-05-06,CR,Payment Apr 2025,92960,352,PAYROLL_REMIT,Electronic Funds Transfer DEBIT MEMO EMPTX-5083390 GPFS-GOVERNMENT PAYMENT,,,
2025-06-09,2025-06-04,CR,Payment May 2025,25717,330,PAYROLL_REMIT,Electronic Funds Transfer DEBIT MEMO EMPTX-3975377 GPFS-GOVERNMENT PAYMENT,,,
2025-07-15,2025-07-15,CR,Payment June 2025,3402,288,SHAREHOLDER_UNMATCHED,Internet Banking E-TRANSFER105537222845 Dwayne choose transfer 4506*********695,,,
2025-08-12,2025-08-07,CR,Payment July 2025,4257,279,PAYROLL_REMIT,Electronic Funds Transfer DEBIT MEMO EMPTX-6704667 GPFS-GOVERNMENT PAYMENT,,,
2025-09-15,2025-09-15,CR,Payment Aug 2025,11658,,,,,,
2025-11-27,2025-11-24,CR,Payment Oct 2025 late,91768,27,PAYROLL_REMIT,Electronic Funds Transfer DEBIT MEMO EMPTX-1473888 GPFS-GOVERNMENT PAYMENT,,,
2025-11-27,2025-11-24,CR,Payment Sept 2025 late,64854,28,PAYROLL_REMIT,Electronic Funds Transfer DEBIT MEMO EMPTX-1472904 GPFS-GOVERNMENT PAYMENT,,,
2025-11-28,,DR,Assessed late remitting penalty,2923,,,,,,
2025-11-28,,DR,Assessed late remitting penalty,1485,,,,,,
