year,month,ym,source,gross_pay_cents,employer_taxes_cents,remittance_cents,employee_deductions_cents,net_pay_cents,net_pay_plus_tips_cents,tips_cents,bank_payroll_paid_cents,bank_delta_vs_payroll_cents
2023,9,2023-09,employee_pay_periods,21375,475,814,339,21036,,0,46808,25772
2023,10,2023-10,employee_pay_periods,146025,3526,8314,4788,141237,,0,127691,-13546
2023,11,2023-11,employee_pay_periods,234050,9632,22658,13026,221024,,0,178013,-43011
2023,12,2023-12,employee_pay_periods,469119,32179,100588,68409,391565,,0,354143,-37422
2024,1,2024-01,employee_pay_periods,208825,13622,29765,16143,200480,,0,201863,1383
2024,2,2024-02,employee_pay_periods,346750,26234,82595,56361,304259,,0,265377,-38882
2024,3,2024-03,employee_pay_periods,489700,35681,124927,89246,420042,,0,452801,32759
2024,4,2024-04,employee_pay_periods,317900,24951,73290,48339,306406,,24129,311716,5310
2024,5,2024-05,monthly_working_paper,0,0,0,0,0,,,0,0
2024,6,2024-06,employee_pay_periods,538460,41352,147988,106636,432107,,0,432107,0
2024,7,2024-07,monthly_working_paper,0,0,0,0,0,,,0,0
2024,8,2024-08,monthly_working_paper,0,0,0,0,0,,,0,0
2024,9,2024-09,employee_pay_periods,361838,22312,45579,23267,340822,,0,266365,-74457
2024,10,2024-10,employee_pay_periods,525763,37334,95875,58541,488253,,0,562374,74121
2024,11,2024-11,employee_pay_periods,569800,41550,108052,66502,526090,,0,526090,0
2024,12,2024-12,employee_pay_periods,1157626,89182,321032,231850,982316,,66126,882315,-100001
2025,1,2025-01,curlysbooks_backfill,526487,34647,79600,44953,481534,561514,79980,663100,101586
2025,2,2025-02,curlysbooks_backfill,404391,26358,58974,32616,371775,428201,56426,428201,0
2025,3,2025-03,curlysbooks_backfill,604488,37528,124032,86504,517984,573781,55797,574019,238
2025,4,2025-04,curlysbooks_backfill,383137,23274,92960,69686,313451,326568,13117,386406,59838
2025,5,2025-05,curlysbooks_backfill,109683,7447,25717,18270,91413,91413,0,30413,-61000
2025,6,2025-06,curlysbooks_backfill,59072,2187,3984,1797,57275,61543,4268,48449,-13094
2025,7,2025-07,curlysbooks_backfill,52572,2433,4519,2086,50486,50486,0,57033,6547
2025,8,2025-08,curlysbooks_backfill,124228,7446,14547,7101,117127,117127,0,58877,-58250
2025,9,2025-09,curlysbooks_backfill,401319,26218,68981,42763,358556,405205,46649,480424,75219
2025,10,2025-10,curlysbooks_backfill,697384,44870,126301,81431,615953,708005,92052,708008,3
2025,11,2025-11,curlysbooks_backfill,763155,48505,122333,73828,689327,773472,84145,671466,-102006
2025,12,2025-12,curlysbooks_backfill,507305,32037,80582,48545,458760,499977,41217,125808,-374169
