period_number,end_date,pay_date,payroll_net_cents,payroll_net_amount,payroll_tips_cents,payroll_tips_amount,payroll_net_plus_tips_cents,payroll_net_plus_tips_amount,bank_employee_payroll_cents,bank_employee_payroll_amount,bank_shareholder_payroll_cents,bank_shareholder_payroll_amount,bank_total_payroll_cents,bank_total_payroll_amount,diff_cents,diff_amount
1,2025-01-05,2025-01-06,112641,1126.41,27422,274.22,140063,1400.63,141649,1416.49,0,0.00,141649,1416.49,1586,15.86
2,2025-01-12,2025-01-13,126893,1268.93,22108,221.08,149001,1490.01,149001,1490.01,0,0.00,149001,1490.01,0,0.00
3,2025-01-19,2025-01-20,114452,1144.52,17357,173.57,131809,1318.09,131809,1318.09,0,0.00,131809,1318.09,0,0.00
4,2025-01-26,2025-01-27,127548,1275.48,13093,130.93,140641,1406.41,140641,1406.41,0,0.00,140641,1406.41,0,0.00
5,2025-02-02,2025-02-03,64890,648.90,3949,39.49,68839,688.39,68839,688.39,0,0.00,68839,688.39,0,0.00
6,2025-02-09,2025-02-10,112036,1120.36,14880,148.80,126916,1269.16,126916,1269.16,0,0.00,126916,1269.16,0,0.00
7,2025-02-16,2025-02-17,110973,1109.73,24320,243.20,135293,1352.93,135293,1352.93,0,0.00,135293,1352.93,0,0.00
8,2025-02-23,2025-02-24,83876,838.76,13277,132.77,97153,971.53,97153,971.53,0,0.00,97153,971.53,0,0.00
9,2025-03-02,2025-03-03,75109,751.09,6636,66.36,81745,817.45,81745,817.45,0,0.00,81745,817.45,0,0.00
10,2025-03-09,2025-03-10,121283,1212.83,21309,213.09,142592,1425.92,142592,1425.92,0,0.00,142592,1425.92,0,0.00
11,2025-03-16,2025-03-17,201619,2016.19,9921,99.21,211540,2115.40,86540,865.40,125000,1250.00,211540,2115.40,0,0.00
12,2025-03-23,2025-03-24,67059,670.59,11832,118.32,78891,788.91,79129,791.29,0,0.00,79129,791.29,238,2.38
13,2025-03-30,2025-03-31,52914,529.14,6099,60.99,59013,590.13,59013,590.13,0,0.00,59013,590.13,0,0.00
14,2025-04-06,2025-04-07,57214,572.14,3599,35.99,60813,608.13,60161,601.61,0,0.00,60161,601.61,-652,-6.52
15,2025-04-13,2025-04-14,190245,1902.45,7831,78.31,198076,1980.76,72551,725.51,125000,1250.00,197551,1975.51,-525,-5.25
16,2025-04-20,2025-04-21,57903,579.03,1687,16.87,59590,595.90,59590,595.90,0,0.00,59590,595.90,0,0.00
