GIFI_Code,Description,Amount
1001,Cash,26292
1120,Inventories,2847
1480,Other current assets,649
2599,Total assets,29788
2781,Due to individual shareholder(s),3063
2680,"Taxes payable (GST/HST, etc.)",6767
2620,Amounts payable and accrued liabilities,2087
3499,Total liabilities,11917
3500,Common shares,100
3600,Retained earnings/deficit,17771
3620,Total shareholder equity,17871
3640,Total liabilities and shareholder equity,29788
8000,Trade sales of goods and services,181235
8299,Total revenue,181235
8518,Cost of sales,103343
8519,Gross profit/loss,77892
8300,GIFI 8300,1370
8520,Advertising and promotion,1606
8523,Meals and entertainment,518
8622,Employer's portion of employee benefits,1460
8690,Insurance,1851
8710,Interest and bank charges,2218
8810,Office expenses,10455
8860,Professional fees,879
8911,Real estate rental,8235
8960,Repairs and maintenance,834
9060,Salaries and wages,22888
9270,Other expenses,3820
9281,Vehicle expenses,3887
9801,Freight and trucking,100
9367,Total operating expenses,60121
9368,Total expenses,163464
9970,Net income/loss before taxes,17771
9999,Net income/loss after taxes,17771
3660,Retained earnings/deficit - Start,0
3680,Net income/loss,17771
3849,Retained earnings/deficit - End,17771
