fy,vendor_key,account_code,amount
FY2024,COSTCO,2210,3871.19
FY2024,COSTCO,5002,703.36
FY2024,COSTCO,5004,8306.79
FY2024,COSTCO,5005,593.65
FY2024,COSTCO,5007,391.51
FY2024,COSTCO,5013,927.06
FY2024,COSTCO,5014,623.22
FY2024,COSTCO,5016,581.73
FY2024,COSTCO,5021,474.79
FY2024,COSTCO,5031,77.12
FY2024,COSTCO,5032,9127.06
FY2024,COSTCO,5033,189.87
FY2024,COSTCO,5034,8546.63
FY2024,COSTCO,5035,498.47
FY2024,COSTCO,5039,468.86
FY2024,COSTCO,5099,3708.94
FY2024,COSTCO,5100,949.81
FY2024,COSTCO,5205,296.79
FY2024,COSTCO,9000,92.61
FY2025,COSTCO,2210,2381.33
FY2025,COSTCO,5002,706.44
FY2025,COSTCO,5004,8343.07
FY2025,COSTCO,5005,596.23
FY2025,COSTCO,5007,393.19
FY2025,COSTCO,5013,931.13
FY2025,COSTCO,5014,625.96
FY2025,COSTCO,5016,584.26
FY2025,COSTCO,5021,476.86
FY2025,COSTCO,5031,77.46
FY2025,COSTCO,5032,9166.92
FY2025,COSTCO,5033,190.72
FY2025,COSTCO,5034,8583.99
FY2025,COSTCO,5035,500.65
FY2025,COSTCO,5039,470.89
FY2025,COSTCO,5099,3725.13
FY2025,COSTCO,5100,954.04
FY2025,COSTCO,5205,298.11
FY2025,COSTCO,9000,92.99
