fy,vendor_key,account_code,amount
FY2024,COSTCO,2210,3788.69
FY2024,COSTCO,5002,680.31
FY2024,COSTCO,5004,8034.49
FY2024,COSTCO,5005,574.19
FY2024,COSTCO,5007,378.68
FY2024,COSTCO,5013,896.66
FY2024,COSTCO,5014,602.79
FY2024,COSTCO,5016,562.66
FY2024,COSTCO,5021,459.23
FY2024,COSTCO,5031,74.60
FY2024,COSTCO,5032,8827.88
FY2024,COSTCO,5033,183.64
FY2024,COSTCO,5034,8266.47
FY2024,COSTCO,5035,482.13
FY2024,COSTCO,5039,453.50
FY2024,COSTCO,5099,3587.35
FY2024,COSTCO,5100,918.67
FY2024,COSTCO,5205,287.06
FY2024,COSTCO,6600,648.39
FY2024,COSTCO,9000,89.58
