bank_txn_id,bank_date,bank_debit_cents,matched_wave_bill_ids,match_methods,matched_bill_total_cents,diff_cents,journal_entry_id
341,2025-05-30,22714,701,GFS_EFT_NOTICE,22714,0,WAVE_BILL_PAYMENT_341
345,2025-05-22,500,703,WAVE_BILL_FUNDING,500,0,WAVE_BILL_PAYMENT_345
353,2025-05-05,16477,698,WAVE_BILL_FUNDING,16477,0,WAVE_BILL_PAYMENT_353
360,2025-05-01,400,697,WAVE_BILL_FUNDING,400,0,WAVE_BILL_PAYMENT_360
361,2025-04-30,6500,694,WAVE_BILL_FUNDING,6500,0,WAVE_BILL_PAYMENT_361
383,2025-04-16,111996,661,WAVE_MATCHES,111996,0,WAVE_BILL_PAYMENT_383
392,2025-04-11,87094,672,GFS_EFT_NOTICE,87094,0,WAVE_BILL_PAYMENT_392
398,2025-04-11,41635,680,WAVE_MATCHES,41635,0,WAVE_BILL_PAYMENT_398
400,2025-04-09,147206,599,WAVE_BILL_FUNDING,147206,0,WAVE_BILL_PAYMENT_400
412,2025-04-04,97762,668,GFS_EFT_NOTICE,97762,0,WAVE_BILL_PAYMENT_412
416,2025-04-01,600,678,WAVE_BILL_FUNDING,600,0,WAVE_BILL_PAYMENT_416
418,2025-03-31,6500,676,WAVE_BILL_FUNDING,6500,0,WAVE_BILL_PAYMENT_418
424,2025-03-28,94764,654,GFS_EFT_NOTICE,94764,0,WAVE_BILL_PAYMENT_424
427,2025-03-26,111097,638,WAVE_MATCHES,111097,0,WAVE_BILL_PAYMENT_427
440,2025-03-21,97193,639,WAVE_BILL_FUNDING,97193,0,WAVE_BILL_PAYMENT_440
457,2025-03-17,65007,622,WAVE_MATCHES,65007,0,WAVE_BILL_PAYMENT_457
463,2025-03-17,88000,679,WAVE_MATCHES,88000,0,WAVE_BILL_PAYMENT_463
481,2025-03-14,64576,776,GFS_EFT_NOTICE,64576,0,WAVE_BILL_PAYMENT_481
487,2025-03-11,24063,"509,556",WAVE_BILL_FUNDING,24063,0,WAVE_BILL_PAYMENT_487
490,2025-03-10,88000,547,WAVE_MATCHES,88000,0,WAVE_BILL_PAYMENT_490
497,2025-03-07,88723,775,GFS_EFT_NOTICE,88723,0,WAVE_BILL_PAYMENT_497
500,2025-03-05,125074,615,WAVE_MATCHES,125074,0,WAVE_BILL_PAYMENT_500
511,2025-02-28,6500,676,WAVE_BILL_FUNDING,6500,0,WAVE_BILL_PAYMENT_511
512,2025-02-28,18,741,WAVE_BILL_FUNDING,18,0,WAVE_BILL_PAYMENT_512
513,2025-02-28,212495,"619,733",WAVE_BILL_FUNDING,212495,0,WAVE_BILL_PAYMENT_513
517,2025-02-27,2500,630,WAVE_MATCHES,2500,0,WAVE_BILL_PAYMENT_517
530,2025-02-26,2197,632,WAVE_MATCHES,2197,0,WAVE_BILL_PAYMENT_530
534,2025-02-24,88000,597,WAVE_MATCHES,88000,0,WAVE_BILL_PAYMENT_534
543,2025-02-21,24547,605,GFS_EFT_NOTICE,24547,0,WAVE_BILL_PAYMENT_543
551,2025-02-17,156771,765,WAVE_MATCHES,156771,0,WAVE_BILL_PAYMENT_551
552,2025-02-14,132273,595,GFS_EFT_NOTICE,132273,0,WAVE_BILL_PAYMENT_552
569,2025-02-11,13268,627,WAVE_MATCHES,13268,0,WAVE_BILL_PAYMENT_569
585,2025-02-07,93272,"584,585",GFS_EFT_NOTICE,93272,0,WAVE_BILL_PAYMENT_585
588,2025-02-05,100396,610,WAVE_BILL_FUNDING,100396,0,WAVE_BILL_PAYMENT_588
591,2025-02-03,200,731,WAVE_MATCHES,200,0,WAVE_BILL_PAYMENT_591
596,2025-01-31,6500,676,WAVE_BILL_FUNDING,6500,0,WAVE_BILL_PAYMENT_596
597,2025-01-31,886,740,WAVE_BILL_FUNDING,886,0,WAVE_BILL_PAYMENT_597
598,2025-01-31,130128,"572,573,574",GFS_EFT_NOTICE,130128,0,WAVE_BILL_PAYMENT_598
601,2025-01-29,82951,"560,561",WAVE_MATCHES,82951,0,WAVE_BILL_PAYMENT_601
626,2025-01-24,159320,"562,563",GFS_EFT_NOTICE,159320,0,WAVE_BILL_PAYMENT_626
640,2025-01-17,128865,"546,548",GFS_EFT_NOTICE,128865,0,WAVE_BILL_PAYMENT_640
643,2025-01-16,56013,764,WAVE_MATCHES,56013,0,WAVE_BILL_PAYMENT_643
655,2025-01-16,195100,317,WAVE_MATCHES,195100,0,WAVE_BILL_PAYMENT_655
670,2025-01-08,162525,539,WAVE_MATCHES,162525,0,WAVE_BILL_PAYMENT_670
692,2025-01-03,46643,540,GFS_EFT_NOTICE,46643,0,WAVE_BILL_PAYMENT_692
694,2025-01-02,82006,735,WAVE_BILL_FUNDING,82006,0,WAVE_BILL_PAYMENT_694
696,2024-12-31,6500,542,WAVE_BILL_FUNDING,6500,0,WAVE_BILL_PAYMENT_696
705,2024-12-27,116393,"521,529",GFS_EFT_NOTICE,116393,0,WAVE_BILL_PAYMENT_705
711,2024-12-20,208562,"517,518",GFS_EFT_NOTICE,208562,0,WAVE_BILL_PAYMENT_711
721,2024-12-18,10061,510,WAVE_BILL_FUNDING,10061,0,WAVE_BILL_PAYMENT_721
724,2024-12-16,76105,474,WAVE_MATCHES,76633,-528,WAVE_BILL_PAYMENT_724
737,2024-12-16,20000,728,WAVE_BILL_FUNDING,20000,0,WAVE_BILL_PAYMENT_737
738,2024-12-13,127503,497,GFS_EFT_NOTICE,127503,0,WAVE_BILL_PAYMENT_738
759,2024-12-06,119351,"484,485",GFS_EFT_NOTICE,119351,0,WAVE_BILL_PAYMENT_759
764,2024-12-04,41221,512,SPLIT_PAYMENTS,41221,0,WAVE_BILL_PAYMENT_764
767,2024-12-04,4600,514,SPLIT_PAYMENTS,4600,0,WAVE_BILL_PAYMENT_767
768,2024-12-04,4600,514,SPLIT_PAYMENTS,4600,0,WAVE_BILL_PAYMENT_768
796,2024-11-29,6500,542,WAVE_BILL_FUNDING,6500,0,WAVE_BILL_PAYMENT_796
797,2024-11-29,178427,"471,472,479",GFS_EFT_NOTICE,178427,0,WAVE_BILL_PAYMENT_797
