bank_txn_id,bank_date,bank_debit_cents,bank_debit,evidence_category,category,allocation_scaled,raw_allocated_to_bills_cents,raw_allocated_to_bills,shareholder_account,matched_wave_bill_ids,match_methods,allocated_to_bills_cents,allocated_to_bills,remainder_cents,remainder,remainder_account,journal_entry_id
367,2025-04-24,10499,104.99,REIMBURSEMENT,REIMBURSEMENT,0,10499,104.99,2400,684,WAVE_MATCHES,10499,104.99,0,0.00,,WAVE_BILL_REIMBURSE_367
370,2025-04-24,11834,118.34,REIMBURSEMENT,REIMBURSEMENT,0,11834,118.34,2400,688,WAVE_MATCHES,11834,118.34,0,0.00,,WAVE_BILL_REIMBURSE_370
403,2025-04-08,5190,51.90,REIMBURSEMENT,REIMBURSEMENT,0,5190,51.90,2400,677,WAVE_MATCHES,5190,51.90,0,0.00,,WAVE_BILL_REIMBURSE_403
405,2025-04-08,11351,113.51,REIMBURSEMENT,REIMBURSEMENT,0,11351,113.51,2400,682,WAVE_MATCHES,11351,113.51,0,0.00,,WAVE_BILL_REIMBURSE_405
432,2025-03-26,3000,30.00,REIMBURSEMENT,REIMBURSEMENT,0,2180,21.80,2400,645,WAVE_MATCHES,2180,21.80,820,8.20,9100,WAVE_BILL_REIMBURSE_432
445,2025-03-20,20446,204.46,REIMBURSEMENT,REIMBURSEMENT,0,20446,204.46,2400,662,WAVE_MATCHES,20446,204.46,0,0.00,,WAVE_BILL_REIMBURSE_445
465,2025-03-17,7145,71.45,REIMBURSEMENT,REIMBURSEMENT,0,7145,71.45,2400,652,WAVE_MATCHES,7145,71.45,0,0.00,,WAVE_BILL_REIMBURSE_465
467,2025-03-17,12967,129.67,REIMBURSEMENT,REIMBURSEMENT,0,12967,129.67,2400,646,WAVE_MATCHES,12967,129.67,0,0.00,,WAVE_BILL_REIMBURSE_467
473,2025-03-17,5033,50.33,REIMBURSEMENT,REIMBURSEMENT,0,5034,50.34,2400,640,WAVE_MATCHES,5034,50.34,-1,-0.01,,WAVE_BILL_REIMBURSE_473
474,2025-03-17,27224,272.24,REIMBURSEMENT,REIMBURSEMENT,0,27224,272.24,2400,637,WAVE_MATCHES,27224,272.24,0,0.00,,WAVE_BILL_REIMBURSE_474
515,2025-02-27,109518,1095.18,REIMBURSEMENT,REIMBURSEMENT,0,109518,1095.18,2410,635,WAVE_MATCHES,109518,1095.18,0,0.00,,WAVE_BILL_REIMBURSE_515
518,2025-02-27,13726,137.26,REIMBURSEMENT,REIMBURSEMENT,0,13089,130.89,2400,631,WAVE_MATCHES,13089,130.89,637,6.37,9100,WAVE_BILL_REIMBURSE_518
521,2025-02-27,5997,59.97,REIMBURSEMENT,REIMBURSEMENT,0,5997,59.97,2400,715,WAVE_MATCHES,5997,59.97,0,0.00,,WAVE_BILL_REIMBURSE_521
522,2025-02-27,6301,63.01,REIMBURSEMENT,REIMBURSEMENT,0,6300,63.00,2400,624,WAVE_MATCHES,6300,63.00,1,0.01,9100,WAVE_BILL_REIMBURSE_522
527,2025-02-27,7364,73.64,REIMBURSEMENT,REIMBURSEMENT,0,7365,73.65,2400,612,WAVE_MATCHES,7365,73.65,-1,-0.01,,WAVE_BILL_REIMBURSE_527
561,2025-02-12,7942,79.42,REIMBURSEMENT,REIMBURSEMENT,0,7942,79.42,2400,602,WAVE_MATCHES,7942,79.42,0,0.00,,WAVE_BILL_REIMBURSE_561
563,2025-02-12,14652,146.52,REIMBURSEMENT,REIMBURSEMENT,0,14652,146.52,2400,611,WAVE_MATCHES,14652,146.52,0,0.00,,WAVE_BILL_REIMBURSE_563
