fy,vendor_key,wave_bill_id,source_row,invoice_date,vendor_raw,invoice_number,net_amount,tax_amount,account_code,amount,method,profile_id
FY2024,ATLANTIC_SUPERSTORE,47,48,2023-09-09,Atlantic Superstore - Bill,,94.96,12.44,2210,12.44,TAX_ITC,
FY2024,ATLANTIC_SUPERSTORE,47,48,2023-09-09,Atlantic Superstore - Bill,,94.96,12.44,5004,7.41,VENDOR_PROFILE_ESTIMATE,33
FY2024,ATLANTIC_SUPERSTORE,47,48,2023-09-09,Atlantic Superstore - Bill,,94.96,12.44,5007,11.78,VENDOR_PROFILE_ESTIMATE,33
FY2024,ATLANTIC_SUPERSTORE,47,48,2023-09-09,Atlantic Superstore - Bill,,94.96,12.44,5011,13.47,VENDOR_PROFILE_ESTIMATE,33
FY2024,ATLANTIC_SUPERSTORE,47,48,2023-09-09,Atlantic Superstore - Bill,,94.96,12.44,5014,58.39,VENDOR_PROFILE_ESTIMATE,33
FY2024,ATLANTIC_SUPERSTORE,47,48,2023-09-09,Atlantic Superstore - Bill,,94.96,12.44,9000,3.91,VENDOR_PROFILE_ESTIMATE,33
FY2024,ATLANTIC_SUPERSTORE,52,53,2023-09-15,Atlantic Superstore - Bill,,67.60,9.24,2210,9.24,TAX_ITC,
FY2024,ATLANTIC_SUPERSTORE,52,53,2023-09-15,Atlantic Superstore - Bill,,67.60,9.24,5004,5.27,VENDOR_PROFILE_ESTIMATE,33
FY2024,ATLANTIC_SUPERSTORE,52,53,2023-09-15,Atlantic Superstore - Bill,,67.60,9.24,5007,8.39,VENDOR_PROFILE_ESTIMATE,33
FY2024,ATLANTIC_SUPERSTORE,52,53,2023-09-15,Atlantic Superstore - Bill,,67.60,9.24,5011,9.59,VENDOR_PROFILE_ESTIMATE,33
FY2024,ATLANTIC_SUPERSTORE,52,53,2023-09-15,Atlantic Superstore - Bill,,67.60,9.24,5014,41.57,VENDOR_PROFILE_ESTIMATE,33
FY2024,ATLANTIC_SUPERSTORE,52,53,2023-09-15,Atlantic Superstore - Bill,,67.60,9.24,9000,2.78,VENDOR_PROFILE_ESTIMATE,33
FY2024,ATLANTIC_SUPERSTORE,75,76,2023-10-01,Atlantic Superstore - Bill,,92.34,11.69,2210,11.69,TAX_ITC,
FY2024,ATLANTIC_SUPERSTORE,75,76,2023-10-01,Atlantic Superstore - Bill,,92.34,11.69,5004,7.20,VENDOR_PROFILE_ESTIMATE,33
FY2024,ATLANTIC_SUPERSTORE,75,76,2023-10-01,Atlantic Superstore - Bill,,92.34,11.69,5007,11.46,VENDOR_PROFILE_ESTIMATE,33
FY2024,ATLANTIC_SUPERSTORE,75,76,2023-10-01,Atlantic Superstore - Bill,,92.34,11.69,5011,13.10,VENDOR_PROFILE_ESTIMATE,33
FY2024,ATLANTIC_SUPERSTORE,75,76,2023-10-01,Atlantic Superstore - Bill,,92.34,11.69,5014,56.78,VENDOR_PROFILE_ESTIMATE,33
FY2024,ATLANTIC_SUPERSTORE,75,76,2023-10-01,Atlantic Superstore - Bill,,92.34,11.69,9000,3.80,VENDOR_PROFILE_ESTIMATE,33
FY2024,ATLANTIC_SUPERSTORE,81,82,2023-10-06,Atlantic Superstore - Bill,,94.73,7.20,2210,7.20,TAX_ITC,
FY2024,ATLANTIC_SUPERSTORE,81,82,2023-10-06,Atlantic Superstore - Bill,,94.73,7.20,5004,7.39,VENDOR_PROFILE_ESTIMATE,33
FY2024,ATLANTIC_SUPERSTORE,81,82,2023-10-06,Atlantic Superstore - Bill,,94.73,7.20,5007,11.76,VENDOR_PROFILE_ESTIMATE,33
FY2024,ATLANTIC_SUPERSTORE,81,82,2023-10-06,Atlantic Superstore - Bill,,94.73,7.20,5011,13.43,VENDOR_PROFILE_ESTIMATE,33
FY2024,ATLANTIC_SUPERSTORE,81,82,2023-10-06,Atlantic Superstore - Bill,,94.73,7.20,5014,58.25,VENDOR_PROFILE_ESTIMATE,33
