fy,vendor_key,account_code,amount
FY2024,COSTCO,2210,3788.69
FY2024,COSTCO,5002,692.78
FY2024,COSTCO,5004,8181.82
FY2024,COSTCO,5005,584.72
FY2024,COSTCO,5007,385.62
FY2024,COSTCO,5013,913.11
FY2024,COSTCO,5014,613.84
FY2024,COSTCO,5016,572.98
FY2024,COSTCO,5021,467.65
FY2024,COSTCO,5031,75.96
FY2024,COSTCO,5032,8989.75
FY2024,COSTCO,5033,187.01
FY2024,COSTCO,5034,8418.05
FY2024,COSTCO,5035,490.97
FY2024,COSTCO,5039,461.81
FY2024,COSTCO,5099,3653.14
FY2024,COSTCO,5100,935.52
FY2024,COSTCO,5205,292.33
FY2024,COSTCO,9000,91.22
