vendor_group,invoice_date,wave_bill_id,vendor_raw,vendor_category,invoice_number,net_amount,tax_amount,total_amount,source_row
WHOLESALE_CLUB,2023-08-11,26,Wholesale Club - Bill,WHOLESALE_CLUB,,575.67,68.01,643.68,27
DOLLARAMA,2023-08-14,718,Dollarama - Bill,DOLLARAMA,STUB-DOLLARAMA-COGS-20230814,50.14,0.00,50.14,
WHOLESALE_CLUB,2023-09-01,35,Wholesale Club - Bill,WHOLESALE_CLUB,,1723.76,219.15,1942.91,36
WHOLESALE_CLUB,2023-09-03,39,Wholesale Club - Bill,WHOLESALE_CLUB,,290.14,13.83,303.97,40
DOLLARAMA,2023-09-08,46,Dollarama - Bill,DOLLARAMA,,119.93,17.97,137.90,47
CANADIAN_TIRE,2023-09-12,49,Canadian Tire Gas - Bill,OTHER,,60.96,9.14,70.10,50
CANADIAN_TIRE,2023-09-12,50,Canadian Tire Gas - Bill,OTHER,,60.96,9.14,70.10,51
DOLLARAMA,2023-09-24,65,Dollarama - Bill,DOLLARAMA,,468.48,70.27,538.75,66
CANADIAN_TIRE,2023-09-25,69,Canadian Tire - Bill,OTHER,,32.79,4.92,37.71,70
DOLLARAMA,2023-09-25,68,Dollarama - Bill,DOLLARAMA,,49.00,7.35,56.35,69
DOLLARAMA,2023-10-23,747,Dollarama - Duplicate Reimbursement,DOLLARAMA,DOLLARAMA-DUP-001,538.75,0.00,538.75,
DOLLARAMA,2023-10-28,748,Dollarama - Bill,DOLLARAMA,DOLLARAMA-1028,88.80,0.00,88.80,
DOLLARAMA,2023-11-03,118,Dollarama - Bill 161.21,DOLLARAMA,161,161.21,24.18,185.39,119
DOLLARAMA,2023-11-17,752,Dollarama - Bill,DOLLARAMA,DOLLARAMA-1117,116.87,0.00,116.87,
DOLLARAMA,2024-01-05,158,Dollarama - Bill,DOLLARAMA,,271.65,40.75,312.40,159
DOLLARAMA,2024-01-23,177,Dollarama - Bill,DOLLARAMA,,10.25,1.54,11.79,178
DOLLARAMA,2024-02-07,194,Dollarama - Bill,DOLLARAMA,,179.07,26.86,205.93,195
CANADIAN_TIRE,2024-02-08,196,Canadian Tire Gas - Bill,OTHER,,49.94,7.49,57.43,197
WHOLESALE_CLUB,2024-02-15,206,Wholesale Club - Bill,WHOLESALE_CLUB,,875.23,86.20,961.43,207
DOLLARAMA,2024-02-17,214,Dollarama - Bill,DOLLARAMA,,313.70,47.06,360.76,215
DOLLARAMA,2024-03-07,244,Dollarama - Bill,DOLLARAMA,,702.24,105.31,807.55,245
CANADIAN_TIRE,2024-04-21,300,Canadian Tire - Bill,OTHER,,35.97,5.40,41.37,301
CANADIAN_TIRE,2024-05-06,309,Canadian Tire - Bill,OTHER,,17.46,2.62,20.08,310
CANADIAN_TIRE,2024-08-13,332,Canadian Tire - Bill,OTHER,,82.94,12.44,95.38,333
CANADIAN_TIRE,2024-08-21,337,Canadian Tire - Bill,OTHER,,35.24,5.29,40.53,338
CANADIAN_TIRE,2024-09-06,355,Canadian Tire - Bill,OTHER,,19.48,2.92,22.40,356
DOLLARAMA,2024-09-12,365,Dollarama - Bill,DOLLARAMA,,280.35,41.30,321.65,366
CANADIAN_TIRE,2024-09-17,370,Canadian Tire - Bill,OTHER,,74.97,11.25,86.22,371
CANADIAN_TIRE,2024-09-20,377,Canadian Tire - Bill,OTHER,,327.66,49.15,376.81,378
DOLLARAMA,2024-09-20,376,Dollarama - Bill,DOLLARAMA,,98.00,14.70,112.70,377
WHOLESALE_CLUB,2024-09-25,384,Wholesale Club - Bill,WHOLESALE_CLUB,,979.91,134.54,1114.45,385
DOLLARAMA,2024-09-28,394,Dollarama - Bill,DOLLARAMA,,294.84,44.23,339.07,395
WHOLESALE_CLUB,2024-10-05,406,Wholesale Club - Bill,WHOLESALE_CLUB,,831.06,101.27,932.33,407
CANADIAN_TIRE,2024-10-13,419,Canadian Tire - Bill,OTHER,,49.47,7.42,56.89,420
CANADIAN_TIRE,2024-10-25,444,Canadian Tire - Bill,OTHER,,80.89,12.13,93.02,445
CANADIAN_TIRE,2024-10-25,445,Canadian Tire - Bill,OTHER,,191.58,28.74,220.32,446
CANADIAN_TIRE,2024-11-10,470,Canadian Tire - Bill,OTHER,,92.40,13.86,106.26,471
WHOLESALE_CLUB,2024-11-13,478,Wholesale Club - Bill,WHOLESALE_CLUB,,974.16,116.80,1090.96,479
DOLLARAMA,2024-11-24,493,Dollarama - Bill,DOLLARAMA,,300.34,44.51,344.85,494
CANADIAN_TIRE,2024-12-17,535,Canadian Tire - Bill,OTHER,,14.99,2.25,17.24,536
CANADIAN_TIRE,2025-01-04,553,Canadian Tire - Bill,OTHER,,94.26,14.14,108.40,554
WHOLESALE_CLUB,2025-01-09,559,Wholesale Club - Bill,WHOLESALE_CLUB,,635.69,7.20,642.89,560
DOLLARAMA,2025-01-12,567,Dollarama - Bill,DOLLARAMA,,407.02,0.08,407.10,568
CANADIAN_TIRE,2025-01-18,579,Canadian Tire - Bill,OTHER,,72.72,4.19,76.91,580
DOLLARAMA,2025-01-18,581,Dollarama - Bill,DOLLARAMA,,72.50,7.20,79.70,582
CANADIAN_TIRE,2025-02-02,598,Canadian Tire - Bill,OTHER,,33.93,5.09,39.02,599
CANADIAN_TIRE,2025-02-28,637,Canadian Tire - Bill,OTHER,,236.73,35.51,272.24,638
CANADIAN_TIRE,2025-03-17,657,Canadian Tire - Bill,OTHER,,104.94,15.74,120.68,658
CANADIAN_TIRE,2025-03-18,658,Canadian Tire - Bill,OTHER,,17.98,2.70,20.68,659
CANADIAN_TIRE,2025-03-19,663,Canadian Tire - Bill,OTHER,,29.99,4.50,34.49,664
DOLLARAMA,2025-03-20,666,Dollarama - Bill,DOLLARAMA,,593.20,88.98,682.18,667
DOLLARAMA,2025-03-20,667,Dollarama - Bill,DOLLARAMA,,148.50,17.78,166.28,668
CANADIAN_TIRE,2025-04-03,681,Canadian Tire - Bill,OTHER,,63.39,8.87,72.26,682
CANADIAN_TIRE,2025-04-22,689,Canadian Tire - Bill,OTHER,,292.90,41.01,333.91,690
